method,config,instance,avg_best8,best8,worst8,std8
EA,"pop=10;gen=2000;tour=3;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.64267e+06,1.614e+06,1.68404e+06,22425.7
EA,"pop=10;gen=2000;tour=3;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.23898e+06,1.20002e+06,1.30181e+06,33250.1
EA,"pop=10;gen=2000;tour=3;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.22564e+06,1.18739e+06,1.24909e+06,18458.2
EA,"pop=10;gen=2000;tour=3;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.60493e+06,1.57336e+06,1.63591e+06,21244.7
EA,"pop=10;gen=2000;tour=3;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.21085e+06,1.19754e+06,1.22849e+06,11232.6
EA,"pop=10;gen=2000;tour=3;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.20679e+06,1.18935e+06,1.2467e+06,16447.6
EA,"pop=10;gen=2000;tour=3;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.59639e+06,1.5735e+06,1.6404e+06,25363.2
EA,"pop=10;gen=2000;tour=3;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.20042e+06,1.18804e+06,1.21649e+06,9499.68
EA,"pop=10;gen=2000;tour=3;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.19607e+06,1.18101e+06,1.23878e+06,17535.1
EA,"pop=10;gen=2000;tour=3;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.58451e+06,1.56844e+06,1.62618e+06,18007.5
EA,"pop=10;gen=2000;tour=3;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.1987e+06,1.19091e+06,1.21085e+06,5936.7
EA,"pop=10;gen=2000;tour=3;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.22421e+06,1.21091e+06,1.23908e+06,7849.12
EA,"pop=10;gen=2000;tour=3;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.58539e+06,1.57467e+06,1.59507e+06,6973.29
EA,"pop=10;gen=2000;tour=3;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.22011e+06,1.21247e+06,1.24548e+06,10094.4
EA,"pop=10;gen=2000;tour=3;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.25289e+06,1.22905e+06,1.26523e+06,10928.4
