generation,best,avg,worst,std
1,2.61889e+06,3838956.632,5101784.425,585513.361
2,2094449.512,3002562.421,4168230.550,408511.596
3,2015646.475,2507247.928,3791283.812,346563.133
4,1824779.950,2287303.079,3373673.425,352100.042
5,1761442.863,2059970.674,3412178.675,275664.258
6,1663632.200,1980603.409,3017013.825,273388.064
7,1584103.575,1805524.621,2813738.000,201142.339
8,1533723.988,1742523.203,2560309.712,206396.884
9,1475624.438,1640793.329,2372849.962,139354.519
10,1455166.488,1573648.566,2132695.938,99456.068
11,1403680.950,1538705.757,1825079.200,80478.671
12,1364759.988,1503109.380,2644453.775,179149.821
13,1320713.563,1441236.361,1875268.488,97515.089
14,1301209.987,1398685.858,1985641.975,87552.279
15,1301209.987,1401819.769,2645912.500,208323.106
16,1272527.250,1389805.990,2272648.438,176247.935
17,1265841.400,1375712.323,2568529.850,186811.435
18,1255013.588,1356230.268,2572555.825,183704.711
19,1251275.663,1355541.585,2179508.625,187486.911
20,1248082.837,1325393.116,1959756.562,150016.269
21,1242653.375,1319181.582,2463133.913,192164.902
22,1237282.113,1296177.052,2540390.462,160320.250
23,1224135.262,1292180.335,1836683.000,98014.747
24,1229121.750,1272005.326,1804771.713,77928.383
25,1225496.850,1291831.026,1787242.825,102262.754
26,1220531.800,1282931.932,2430688.150,148899.491
27,1220281.650,1257246.545,1657067.538,65799.662
28,1218975.025,1291639.000,2541770.475,172288.738
29,1219175.475,1267163.737,1854901.325,100447.272
30,1217165.038,1248728.926,1540741.450,53118.963
31,1215132.763,1278223.469,2446813.475,155063.222
32,1215132.763,1256297.634,1540904.150,82765.007
33,1214090.588,1260361.893,1670855.075,84628.844
34,1213339.350,1246322.541,1513950.137,65966.879
35,1212555.575,1249356.311,1710006.213,77873.210
36,1204472.825,1257792.076,2083164.300,111116.668
37,1205302.263,1255966.653,1764419.900,90285.086
38,1205699.638,1272843.356,1692773.588,94344.761
39,1205649.675,1271193.267,2445871.687,151927.296
40,1205056.300,1311525.915,1825208.350,129679.885
41,1200081.712,1267196.216,1538854.663,92507.700
42,1200081.712,1261588.527,1508991.688,85391.922
43,1198603.100,1259943.847,1793561.263,106079.738
44,1198603.100,1238187.869,1750752.413,91900.886
45,1199013.212,1256720.151,2487786.825,170921.958
46,1197211.488,1233111.492,1582406.400,77877.841
47,1194881.913,1226321.122,1480321.300,55347.717
48,1196215.875,1242916.765,1838629.700,90104.481
49,1196621.263,1247448.706,2101944.087,121418.834
50,1196639.000,1239367.822,2104850.013,112232.802
51,1196696.713,1261127.622,2484465.462,170763.193
52,1196010.988,1230926.444,1503151.300,56510.407
53,1193414.075,1252778.571,1802612.200,107516.315
54,1193807.513,1252411.227,1794603.300,113373.716
55,1193654.000,1242148.223,1714663.138,90823.748
56,1193594.188,1251418.736,1754534.488,99934.641
57,1193078.713,1226681.626,1636745.288,64005.352
58,1192630.475,1232324.890,1691213.500,71996.706
59,1192630.475,1228573.089,1873103.300,82262.618
60,1192630.475,1236351.986,1838217.488,99761.010
61,1192630.475,1250882.680,2469427.662,179351.507
62,1191713.825,1244996.423,2455452.462,153575.171
63,1191115.888,1218977.091,1468410.788,44627.448
64,1191397.888,1250973.095,1871201.400,118341.934
65,1191808.250,1221370.387,1431670.050,39202.277
66,1191298.613,1230201.536,1591784.113,67358.399
67,1191645.463,1224699.220,1463016.300,47756.521
68,1191645.463,1230084.493,1622732.963,62458.508
69,1191560.363,1226437.074,1710619.850,77120.093
70,1191560.363,1238220.663,1686739.300,84152.094
71,1191338.075,1221640.688,1396471.463,45510.190
72,1191118.575,1236802.751,1831535.725,107854.882
73,1190637.738,1219420.619,1422369.850,43304.143
74,1190953.675,1242396.338,2418375.988,169668.696
75,1191013.488,1256708.145,2372945.862,171134.230
76,1190637.738,1247778.282,1789804.288,120535.473
77,1190637.738,1243154.768,1499621.638,72762.933
78,1190637.738,1238856.890,1870773.975,100810.257
79,1190637.738,1223807.032,1488051.100,54389.770
80,1190637.738,1219510.129,1432488.963,47982.161
81,1190953.675,1222437.740,1500830.988,58272.065
82,1190637.738,1216503.662,1438256.263,46438.825
83,1190637.738,1248543.508,2467309.075,206358.079
84,1190637.738,1218200.222,1411168.200,43396.401
85,1190637.738,1216006.459,1395892.700,37913.878
86,1190637.738,1234968.143,2427364.337,142364.777
87,1190260.538,1212422.029,1441307.338,34766.434
88,1190637.738,1225519.254,1706562.163,69103.346
89,1190637.738,1216332.103,1519386.888,49822.374
90,1190637.738,1214370.940,1459832.975,38777.016
91,1190380.988,1224453.792,1685671.763,71474.515
92,1189999.363,1213687.665,1415125.475,38499.532
93,1190637.738,1219345.926,1333412.563,31844.354
94,1189774.138,1232820.889,1686787.988,88003.915
95,1189774.138,1244995.693,2453863.438,160499.699
96,1190637.738,1237308.171,2501458.300,147178.434
97,1190637.738,1224448.167,1338174.188,37894.504
98,1190637.738,1230118.633,1685896.513,75021.760
99,1190637.738,1225741.312,1878100.062,82653.017
100,1190637.738,1226408.437,1664906.538,62574.556
101,1190637.738,1234582.890,1855767.138,94025.882
102,1190637.738,1215911.449,1387201.338,39509.225
103,1190637.738,1248938.779,2453268.100,158755.063
104,1190637.738,1214859.444,1410687.363,33724.591
105,1190637.738,1227811.971,1704535.338,76716.985
106,1190637.738,1247520.443,1833655.975,109404.348
107,1190637.738,1220590.049,1397426.150,38851.379
108,1190637.738,1237155.525,2374493.987,136478.876
109,1190637.738,1219905.357,1396276.338,42507.529
110,1190637.738,1218140.525,1362682.338,36587.760
111,1190637.738,1231595.223,1527156.738,61258.902
112,1190637.738,1222156.878,1527260.475,52424.867
113,1190637.738,1219172.141,1773614.538,76387.614
114,1190637.738,1235507.954,1788140.538,94789.613
115,1190637.738,1229819.741,1673342.387,68972.576
116,1190637.738,1238085.332,2419061.850,151907.759
117,1190637.738,1251542.472,2427754.188,171882.900
118,1189971.350,1231933.357,1790758.750,99221.272
119,1190637.738,1234988.961,1693012.312,87076.372
120,1190637.738,1237354.464,2478736.900,155986.666
121,1190637.738,1251557.942,2478736.900,198847.469
122,1190637.738,1231619.516,1788140.538,82937.801
123,1190637.738,1249257.752,2478370.900,200954.184
124,1190637.738,1261163.999,2427364.337,191768.360
125,1190637.738,1233627.065,2109619.237,116823.422
126,1190637.738,1221424.305,1425550.538,46387.880
127,1190637.738,1248337.284,2454353.800,154536.086
128,1190603.713,1222058.799,1398112.338,48878.842
129,1190637.738,1249865.101,2427364.337,156314.251
130,1190637.738,1222445.893,1530490.588,50547.774
131,1190637.738,1219829.136,1471756.350,44451.852
132,1189684.588,1221016.982,1664906.538,60884.556
133,1189684.588,1234701.296,1591824.200,78648.350
134,1189684.588,1219007.535,1676933.800,63748.891
135,1190637.738,1242655.311,1690009.338,88464.180
136,1189744.400,1244499.836,2418831.300,167276.635
137,1189684.588,1214737.468,1373907.313,35381.796
138,1189339.913,1218059.531,2065646.950,98730.871
139,1189684.588,1220486.752,1645812.387,66154.640
140,1189684.588,1229438.128,1510774.988,63895.418
141,1189684.588,1241386.475,2371132.587,145426.619
142,1189684.588,1225443.312,1489523.813,57339.361
143,1189684.588,1229272.885,1787462.888,79774.650
144,1189684.588,1216738.352,1489450.588,48942.317
145,1189684.588,1242741.736,1787187.388,105501.875
146,1189684.588,1236988.320,1774410.325,110860.108
147,1189684.588,1229252.221,2426411.188,141221.990
148,1189684.588,1220453.647,1620138.388,57495.282
149,1189684.588,1247902.159,2098662.088,150995.959
150,1189684.588,1233216.736,2433970.138,149364.174
151,1189684.588,1218291.340,2065093.100,98403.493
152,1189684.588,1238202.401,1869339.988,110872.677
153,1189684.588,1235087.507,2426411.188,170071.784
154,1189684.588,1227112.144,2371132.587,136125.655
155,1189684.588,1227602.307,2109656.837,115637.788
156,1189684.588,1234265.898,1618225.900,81379.794
157,1189684.588,1224299.207,1621174.988,62552.475
158,1189684.588,1236567.898,1642129.150,88660.733
159,1189684.588,1228709.811,1747558.588,82013.398
160,1189684.588,1210596.637,1277274.088,24978.335
161,1189684.588,1224290.718,1854813.988,88446.394
162,1189684.588,1239788.990,2432871.263,147637.034
163,1189684.588,1218168.802,1487493.450,45511.092
164,1189684.588,1215235.483,1637121.388,54583.877
165,1189684.588,1210325.027,1526203.588,42006.756
166,1189684.588,1222109.139,1365914.188,41295.535
167,1189684.588,1244137.188,1854813.988,114011.948
168,1189684.588,1216068.706,1431002.150,41039.528
169,1189684.588,1225719.295,1565469.538,59652.479
170,1189684.588,1234194.448,2372264.475,140667.043
171,1189684.588,1218234.299,1397159.188,39177.845
172,1189684.588,1223508.657,1595035.588,58607.846
173,1189684.588,1230127.591,1855914.038,113800.858
174,1189684.588,1229978.898,1747558.588,90651.673
175,1189684.588,1258334.393,2451513.988,163607.658
176,1189684.588,1205748.296,1392163.488,31650.785
177,1189684.588,1220828.640,1832794.188,79330.755
178,1189684.588,1229773.364,1518936.988,64422.312
