iteration,constructed,improved,best
1,1.30285e+06,1.28107e+06,1.28107e+06
2,1.35904e+06,1.27201e+06,1.27201e+06
3,1.281e+06,1.25476e+06,1.25476e+06
4,1.30337e+06,1.26876e+06,1.25476e+06
5,1.23173e+06,1.22274e+06,1.22274e+06
6,1.26624e+06,1.22042e+06,1.22042e+06
7,1.35117e+06,1.29509e+06,1.22042e+06
8,1.31379e+06,1.24309e+06,1.22042e+06
9,1.26521e+06,1.23188e+06,1.22042e+06
10,1.26967e+06,1.2508e+06,1.22042e+06
11,1.24746e+06,1.21272e+06,1.21272e+06
12,1.27479e+06,1.24785e+06,1.21272e+06
13,1.30252e+06,1.25254e+06,1.21272e+06
14,1.35672e+06,1.27267e+06,1.21272e+06
15,1.28432e+06,1.26538e+06,1.21272e+06
16,1.28721e+06,1.26746e+06,1.21272e+06
17,1.26479e+06,1.23159e+06,1.21272e+06
18,1.36662e+06,1.34468e+06,1.21272e+06
19,1.3904e+06,1.33345e+06,1.21272e+06
20,1.33467e+06,1.24313e+06,1.21272e+06
21,1.32773e+06,1.23922e+06,1.21272e+06
22,1.31871e+06,1.24786e+06,1.21272e+06
23,1.36848e+06,1.28527e+06,1.21272e+06
24,1.36475e+06,1.26142e+06,1.21272e+06
25,1.29843e+06,1.24986e+06,1.21272e+06
26,1.32223e+06,1.27759e+06,1.21272e+06
27,1.23785e+06,1.22741e+06,1.21272e+06
28,1.32739e+06,1.31562e+06,1.21272e+06
29,1.34173e+06,1.28076e+06,1.21272e+06
30,1.2582e+06,1.2285e+06,1.21272e+06
31,1.33666e+06,1.28407e+06,1.21272e+06
32,1.28978e+06,1.22392e+06,1.21272e+06
33,1.24671e+06,1.21408e+06,1.21272e+06
34,1.33459e+06,1.32219e+06,1.21272e+06
35,1.30948e+06,1.27495e+06,1.21272e+06
36,1.34609e+06,1.24301e+06,1.21272e+06
37,1.26134e+06,1.24654e+06,1.21272e+06
38,1.27342e+06,1.24837e+06,1.21272e+06
39,1.35826e+06,1.31825e+06,1.21272e+06
40,1.31379e+06,1.27147e+06,1.21272e+06
