iteration,current,best,temp
1,5.77373e+06,5.77373e+06,180000.000000
2,5765206.325000,5765206.325000,180000.000000
3,5783568.762500,5765206.325000,180000.000000
4,5783058.162500,5765206.325000,180000.000000
5,5779136.325000,5765206.325000,180000.000000
6,5770915.925000,5765206.325000,180000.000000
7,5774901.050000,5765206.325000,180000.000000
8,5776268.350000,5765206.325000,179460.000000
9,4545593.350000,4545593.350000,179460.000000
10,4544576.225000,4544576.225000,179460.000000
11,4609194.025000,4544576.225000,179460.000000
12,4609194.025000,4544576.225000,179460.000000
13,4549212.862500,4544576.225000,179460.000000
14,4559669.737500,4544576.225000,179460.000000
15,4523628.862500,4523628.862500,178921.620000
16,4492635.812500,4492635.812500,178921.620000
17,4496292.437500,4492635.812500,178921.620000
18,4486864.750000,4486864.750000,178921.620000
19,4479575.162500,4479575.162500,178921.620000
20,4479575.162500,4479575.162500,178921.620000
21,4542856.562500,4479575.162500,178921.620000
22,4570067.950000,4479575.162500,178384.855140
23,4571507.325000,4479575.162500,178384.855140
24,4572950.325000,4479575.162500,178384.855140
25,4572950.325000,4479575.162500,178384.855140
26,4552996.575000,4479575.162500,178384.855140
27,4554348.300000,4479575.162500,178384.855140
28,4554348.300000,4479575.162500,178384.855140
29,4549990.500000,4479575.162500,177849.700575
30,4565777.625000,4479575.162500,177849.700575
31,4560351.125000,4479575.162500,177849.700575
32,4568451.762500,4479575.162500,177849.700575
33,4552512.912500,4479575.162500,177849.700575
34,4546896.912500,4479575.162500,177849.700575
35,4576767.862500,4479575.162500,177849.700575
36,4576767.862500,4479575.162500,177316.151473
37,4630063.237500,4479575.162500,177316.151473
38,4500111.337500,4479575.162500,177316.151473
39,4541934.937500,4479575.162500,177316.151473
40,4534453.687500,4479575.162500,177316.151473
41,4545068.062500,4479575.162500,177316.151473
42,4545741.675000,4479575.162500,177316.151473
43,4548592.162500,4479575.162500,176784.203018
44,4648649.900000,4479575.162500,176784.203018
45,4591364.525000,4479575.162500,176784.203018
46,4527754.775000,4479575.162500,176784.203018
47,4577476.062500,4479575.162500,176784.203018
48,4622225.962500,4479575.162500,176784.203018
49,4605763.162500,4479575.162500,176784.203018
50,4612647.562500,4479575.162500,176253.850409
51,4613118.362500,4479575.162500,176253.850409
52,4620082.425000,4479575.162500,176253.850409
53,4655593.862500,4479575.162500,176253.850409
54,4696471.712500,4479575.162500,176253.850409
55,4665833.012500,4479575.162500,176253.850409
56,4665833.012500,4479575.162500,176253.850409
57,4677135.887500,4479575.162500,175725.088858
58,4674377.437500,4479575.162500,175725.088858
59,4691165.837500,4479575.162500,175725.088858
60,4698231.037500,4479575.162500,175725.088858
61,4689882.412500,4479575.162500,175725.088858
62,4694435.937500,4479575.162500,175725.088858
63,4709449.625000,4479575.162500,175725.088858
64,4588572.687500,4479575.162500,175197.913592
65,4581547.375000,4479575.162500,175197.913592
66,4585075.287500,4479575.162500,175197.913592
67,4585545.712500,4479575.162500,175197.913592
68,4577880.412500,4479575.162500,175197.913592
69,3547901.212500,3547901.212500,175197.913592
70,3436051.612500,3436051.612500,175197.913592
71,3447250.025000,3436051.612500,174672.319851
72,3438030.175000,3436051.612500,174672.319851
73,3418673.962500,3418673.962500,174672.319851
74,3429814.187500,3418673.962500,174672.319851
75,3399044.012500,3399044.012500,174672.319851
76,3398189.012500,3398189.012500,174672.319851
77,3406187.762500,3398189.012500,174672.319851
78,3429632.062500,3398189.012500,174148.302891
79,3427918.162500,3398189.012500,174148.302891
80,3483818.462500,3398189.012500,174148.302891
81,3460712.087500,3398189.012500,174148.302891
82,3466328.087500,3398189.012500,174148.302891
83,3455647.587500,3398189.012500,174148.302891
84,2734851.462500,2734851.462500,174148.302891
85,2739989.962500,2734851.462500,173625.857983
86,2730960.275000,2730960.275000,173625.857983
87,2716378.475000,2716378.475000,173625.857983
88,2747508.875000,2716378.475000,173625.857983
89,2726218.437500,2716378.475000,173625.857983
90,2724362.737500,2716378.475000,173625.857983
91,2723584.712500,2716378.475000,173625.857983
92,2730808.912500,2716378.475000,173104.980409
93,2698230.050000,2698230.050000,173104.980409
94,2691995.800000,2691995.800000,173104.980409
95,2382026.362500,2382026.362500,173104.980409
96,2378085.862500,2378085.862500,173104.980409
97,2378484.975000,2378085.862500,173104.980409
98,2377827.300000,2377827.300000,173104.980409
99,2364811.237500,2364811.237500,172585.665467
100,2360490.862500,2360490.862500,172585.665467
101,2370197.662500,2360490.862500,172585.665467
102,2374883.600000,2360490.862500,172585.665467
103,2406551.600000,2360490.862500,172585.665467
104,2426769.175000,2360490.862500,172585.665467
105,2472072.062500,2360490.862500,172585.665467
106,2469767.837500,2360490.862500,172067.908471
107,2476011.600000,2360490.862500,172067.908471
108,2401115.625000,2360490.862500,172067.908471
109,2401115.625000,2360490.862500,172067.908471
