iteration,shaken,after_local_search,best
1,3.57134e+06,1.53001e+06,1.53001e+06
2,1.55812e+06,1.40574e+06,1.40574e+06
3,1.4037e+06,1.28292e+06,1.28292e+06
4,1.33231e+06,1.28444e+06,1.28292e+06
5,1.2926e+06,1.27891e+06,1.27891e+06
6,1.33506e+06,1.27613e+06,1.27613e+06
7,1.27762e+06,1.23384e+06,1.23384e+06
8,1.31742e+06,1.31573e+06,1.23384e+06
9,1.24903e+06,1.23414e+06,1.23384e+06
10,1.2725e+06,1.24349e+06,1.23384e+06
11,1.38147e+06,1.28537e+06,1.23384e+06
12,1.31361e+06,1.2478e+06,1.23384e+06
13,1.42789e+06,1.42463e+06,1.23384e+06
14,1.28968e+06,1.23135e+06,1.23135e+06
15,1.33327e+06,1.28155e+06,1.23135e+06
16,1.29894e+06,1.29531e+06,1.23135e+06
17,1.3048e+06,1.26437e+06,1.23135e+06
18,1.32249e+06,1.25254e+06,1.23135e+06
19,1.24429e+06,1.22724e+06,1.22724e+06
20,1.24246e+06,1.22411e+06,1.22411e+06
21,1.30833e+06,1.22183e+06,1.22183e+06
22,1.23443e+06,1.22245e+06,1.22183e+06
23,1.3005e+06,1.21548e+06,1.21548e+06
24,1.22158e+06,1.22158e+06,1.21548e+06
25,1.24923e+06,1.23331e+06,1.21548e+06
26,1.23395e+06,1.23035e+06,1.21548e+06
27,1.35337e+06,1.24038e+06,1.21548e+06
28,1.33783e+06,1.21238e+06,1.21238e+06
29,1.22173e+06,1.21191e+06,1.21191e+06
30,1.2346e+06,1.2147e+06,1.21191e+06
31,1.30395e+06,1.29245e+06,1.21191e+06
32,1.30272e+06,1.22917e+06,1.21191e+06
33,1.21224e+06,1.20549e+06,1.20549e+06
34,1.23696e+06,1.2223e+06,1.20549e+06
35,1.46994e+06,1.28034e+06,1.20549e+06
36,1.32032e+06,1.23979e+06,1.20549e+06
37,1.23419e+06,1.20984e+06,1.20549e+06
38,1.43086e+06,1.23196e+06,1.20549e+06
39,1.2466e+06,1.21342e+06,1.20549e+06
40,1.25037e+06,1.24399e+06,1.20549e+06
41,1.59222e+06,1.58833e+06,1.20549e+06
42,1.30327e+06,1.26569e+06,1.20549e+06
43,1.25432e+06,1.21956e+06,1.20549e+06
44,1.45791e+06,1.25874e+06,1.20549e+06
45,1.32605e+06,1.20788e+06,1.20549e+06
46,1.19941e+06,1.19461e+06,1.19461e+06
47,1.24042e+06,1.2311e+06,1.19461e+06
48,1.26114e+06,1.2028e+06,1.19461e+06
49,1.21241e+06,1.20664e+06,1.19461e+06
50,1.32755e+06,1.26144e+06,1.19461e+06
51,1.2625e+06,1.20757e+06,1.19461e+06
52,1.19836e+06,1.19274e+06,1.19274e+06
53,1.30205e+06,1.26584e+06,1.19274e+06
54,1.23168e+06,1.19456e+06,1.19274e+06
55,1.30915e+06,1.261e+06,1.19274e+06
56,1.23423e+06,1.22999e+06,1.19274e+06
57,1.25817e+06,1.19426e+06,1.19274e+06
58,1.40122e+06,1.35192e+06,1.19274e+06
59,1.25332e+06,1.20269e+06,1.19274e+06
60,1.32063e+06,1.28866e+06,1.19274e+06
61,1.19337e+06,1.19337e+06,1.19274e+06
62,1.19422e+06,1.19422e+06,1.19274e+06
63,1.25129e+06,1.20161e+06,1.19274e+06
64,1.41538e+06,1.40609e+06,1.19274e+06
65,1.26236e+06,1.25398e+06,1.19274e+06
66,1.20251e+06,1.19561e+06,1.19274e+06
67,1.22749e+06,1.19672e+06,1.19274e+06
68,1.22473e+06,1.19697e+06,1.19274e+06
69,1.20209e+06,1.19858e+06,1.19274e+06
70,1.64723e+06,1.37701e+06,1.19274e+06
71,1.22406e+06,1.19848e+06,1.19274e+06
72,1.26204e+06,1.2233e+06,1.19274e+06
73,1.29654e+06,1.25686e+06,1.19274e+06
74,1.27902e+06,1.24082e+06,1.19274e+06
75,1.2108e+06,1.20569e+06,1.19274e+06
76,1.3579e+06,1.3407e+06,1.19274e+06
77,1.19505e+06,1.19505e+06,1.19274e+06
78,1.28218e+06,1.22137e+06,1.19274e+06
79,1.23229e+06,1.20942e+06,1.19274e+06
80,1.19483e+06,1.19475e+06,1.19274e+06
81,1.19667e+06,1.19667e+06,1.19274e+06
82,1.51856e+06,1.49679e+06,1.19274e+06
83,1.21084e+06,1.19928e+06,1.19274e+06
84,1.23088e+06,1.21187e+06,1.19274e+06
85,1.24211e+06,1.23647e+06,1.19274e+06
86,1.28032e+06,1.22192e+06,1.19274e+06
87,1.26574e+06,1.20865e+06,1.19274e+06
88,1.59801e+06,1.29658e+06,1.19274e+06
89,1.41778e+06,1.38092e+06,1.19274e+06
90,1.29848e+06,1.20919e+06,1.19274e+06
91,1.23452e+06,1.22831e+06,1.19274e+06
92,1.21273e+06,1.20842e+06,1.19274e+06
93,1.22492e+06,1.22279e+06,1.19274e+06
94,1.25878e+06,1.22745e+06,1.19274e+06
95,1.19987e+06,1.19708e+06,1.19274e+06
96,1.19408e+06,1.19394e+06,1.19274e+06
97,1.21148e+06,1.20358e+06,1.19274e+06
98,1.19454e+06,1.19454e+06,1.19274e+06
99,1.31774e+06,1.1984e+06,1.19274e+06
100,1.19486e+06,1.19274e+06,1.19274e+06
101,1.27535e+06,1.19247e+06,1.19247e+06
102,1.22316e+06,1.19324e+06,1.19247e+06
103,1.27438e+06,1.23835e+06,1.19247e+06
104,1.22054e+06,1.19141e+06,1.19141e+06
105,1.29147e+06,1.2582e+06,1.19141e+06
106,1.21094e+06,1.19255e+06,1.19141e+06
107,1.23354e+06,1.22405e+06,1.19141e+06
108,1.59519e+06,1.24258e+06,1.19141e+06
109,1.27487e+06,1.27049e+06,1.19141e+06
110,1.22929e+06,1.20959e+06,1.19141e+06
111,1.33076e+06,1.20238e+06,1.19141e+06
112,1.25183e+06,1.19959e+06,1.19141e+06
113,1.29192e+06,1.23035e+06,1.19141e+06
114,1.20396e+06,1.19416e+06,1.19141e+06
115,1.20417e+06,1.19093e+06,1.19093e+06
116,1.2101e+06,1.209e+06,1.19093e+06
117,1.32295e+06,1.27538e+06,1.19093e+06
118,1.58168e+06,1.52211e+06,1.19093e+06
119,1.21708e+06,1.20507e+06,1.19093e+06
120,1.21475e+06,1.21311e+06,1.19093e+06
121,1.31096e+06,1.22081e+06,1.19093e+06
122,1.20137e+06,1.19455e+06,1.19093e+06
123,1.1966e+06,1.19596e+06,1.19093e+06
124,1.33892e+06,1.29695e+06,1.19093e+06
125,1.19277e+06,1.1927e+06,1.19093e+06
126,1.22511e+06,1.19265e+06,1.19093e+06
127,1.22585e+06,1.20098e+06,1.19093e+06
128,1.21025e+06,1.18988e+06,1.18988e+06
129,1.19639e+06,1.19098e+06,1.18988e+06
130,1.2437e+06,1.23751e+06,1.18988e+06
131,1.20098e+06,1.19389e+06,1.18988e+06
132,1.2918e+06,1.29041e+06,1.18988e+06
133,1.27425e+06,1.20285e+06,1.18988e+06
134,1.82996e+06,1.34624e+06,1.18988e+06
135,1.20454e+06,1.1947e+06,1.18988e+06
136,1.20433e+06,1.20412e+06,1.18988e+06
137,1.35639e+06,1.31653e+06,1.18988e+06
138,1.28081e+06,1.2593e+06,1.18988e+06
139,1.20817e+06,1.19481e+06,1.18988e+06
140,1.34032e+06,1.24729e+06,1.18988e+06
141,1.23258e+06,1.23258e+06,1.18988e+06
142,1.20161e+06,1.20078e+06,1.18988e+06
143,1.24484e+06,1.22814e+06,1.18988e+06
144,1.19679e+06,1.19034e+06,1.18988e+06
145,1.21311e+06,1.20719e+06,1.18988e+06
146,1.30778e+06,1.22994e+06,1.18988e+06
147,1.23933e+06,1.19186e+06,1.18988e+06
148,1.42184e+06,1.23247e+06,1.18988e+06
149,1.30065e+06,1.29922e+06,1.18988e+06
150,1.23569e+06,1.22638e+06,1.18988e+06
151,1.22171e+06,1.22148e+06,1.18988e+06
152,1.22699e+06,1.2156e+06,1.18988e+06
153,1.22279e+06,1.22019e+06,1.18988e+06
154,1.29538e+06,1.28323e+06,1.18988e+06
155,1.29614e+06,1.26818e+06,1.18988e+06
156,1.38785e+06,1.32653e+06,1.18988e+06
157,1.38004e+06,1.19743e+06,1.18988e+06
158,1.20072e+06,1.19877e+06,1.18988e+06
159,1.20884e+06,1.19965e+06,1.18988e+06
160,1.19882e+06,1.19265e+06,1.18988e+06
161,1.58493e+06,1.57902e+06,1.18988e+06
162,1.20429e+06,1.20008e+06,1.18988e+06
163,1.23288e+06,1.18988e+06,1.18988e+06
164,1.21152e+06,1.21152e+06,1.18988e+06
165,1.18971e+06,1.18854e+06,1.18854e+06
166,1.19067e+06,1.18933e+06,1.18854e+06
167,1.24235e+06,1.21203e+06,1.18854e+06
168,1.23028e+06,1.212e+06,1.18854e+06
169,1.35912e+06,1.20834e+06,1.18854e+06
170,1.2102e+06,1.20951e+06,1.18854e+06
171,1.19792e+06,1.18849e+06,1.18849e+06
172,1.37597e+06,1.19377e+06,1.18849e+06
173,1.21838e+06,1.21437e+06,1.18849e+06
174,1.4083e+06,1.27956e+06,1.18849e+06
175,1.216e+06,1.19505e+06,1.18849e+06
176,1.30033e+06,1.23692e+06,1.18849e+06
177,1.21223e+06,1.2012e+06,1.18849e+06
178,1.28187e+06,1.28177e+06,1.18849e+06
179,1.23854e+06,1.18849e+06,1.18849e+06
180,1.20156e+06,1.20156e+06,1.18849e+06
181,1.24254e+06,1.24237e+06,1.18849e+06
182,2.51727e+06,1.24133e+06,1.18849e+06
183,1.22124e+06,1.1908e+06,1.18849e+06
