instance,method,runs,best,worst,avg,std,time_ms
cap41_ss,random,20000,2.19676e+06,5.11171e+06,3491742.238,455697.827,0
cap41_ss,greedy,1,1.68485e+06,1.68485e+06,1684845.613,0.000,0
cap41_ss,EA,10,1.56256e+06,1.58884e+06,1570089.094,7878.009,0
cap41_ss,SA,10,1.55975e+06,1.58519e+06,1568129.696,7696.069,0
cap41_ss,VNS,10,1.56185e+06,1.58125e+06,1569865.918,6447.369,0
cap41_ss,GRASP,10,1.59719e+06,1.63333e+06,1620742.600,10408.164,0
cap42_ss,random,20000,2.16416e+06,5.26679e+06,3567030.160,457068.983,0
cap42_ss,greedy,1,1.80538e+06,1.80538e+06,1805377.175,0.000,0
cap42_ss,EA,10,1.61975e+06,1.64701e+06,1632080.941,8087.785,0
cap42_ss,SA,10,1.62113e+06,1.63991e+06,1626195.938,6244.644,0
cap42_ss,VNS,10,1.62063e+06,1.63512e+06,1627467.986,4474.346,0
cap42_ss,GRASP,10,1.65835e+06,1.70591e+06,1683023.061,15953.289,0
cap81_ss,random,20000,2.22645e+06,6.44726e+06,3836389.509,642328.430,0
cap81_ss,greedy,1,1.25621e+06,1.25621e+06,1256212.350,0.000,0
cap81_ss,EA,10,1.18341e+06,1.19751e+06,1189411.831,4358.401,0
cap81_ss,SA,10,1.18074e+06,1.19629e+06,1189879.446,4389.728,0
cap81_ss,VNS,10,1.18314e+06,1.19509e+06,1187269.604,3662.538,0
cap81_ss,GRASP,10,1.20188e+06,1.22975e+06,1211731.444,9059.793,0
cap82_ss,random,20000,2.26711e+06,6.42597e+06,3955214.427,637700.218,0
cap82_ss,greedy,1,1.38825e+06,1.38825e+06,1388245.238,0.000,0
cap82_ss,EA,10,1.2684e+06,1.28972e+06,1278217.116,6922.306,0
cap82_ss,SA,10,1.26314e+06,1.28796e+06,1273372.338,7045.452,0
cap82_ss,VNS,10,1.26479e+06,1.28436e+06,1273030.656,5914.993,0
cap82_ss,GRASP,10,1.29358e+06,1.31622e+06,1308523.339,6727.189,0
cap111_ss,random,20000,2.52598e+06,6.79111e+06,4217380.631,635237.484,0
cap111_ss,greedy,1,1.22173e+06,1.22173e+06,1221731.437,0.000,0
cap111_ss,EA,10,1.17745e+06,1.20237e+06,1188124.774,6800.333,0
cap111_ss,SA,10,1.17024e+06,1.18998e+06,1179681.270,6302.950,0
cap111_ss,VNS,10,1.17782e+06,1.22214e+06,1192662.204,11864.241,0
cap111_ss,GRASP,10,1.19613e+06,1.21456e+06,1207910.799,5298.234,0
cap112_ss,random,20000,2.61102e+06,7.12074e+06,4384497.487,637088.886,0
cap112_ss,greedy,1,1.3244e+06,1.3244e+06,1324402.525,0.000,0
cap112_ss,EA,10,1.25836e+06,1.28922e+06,1271955.773,9349.829,0
cap112_ss,SA,10,1.25686e+06,1.27412e+06,1265710.700,4816.910,0
cap112_ss,VNS,10,1.27581e+06,1.29794e+06,1289588.455,6809.660,0
cap112_ss,GRASP,10,1.29685e+06,1.3199e+06,1306554.120,7478.305,0
