method,config,instance,avg_best8,best8,worst8,std8
GRASP,"iter=40;rcl=2;ls=460",cap41_ss,1.61716e+06,1.59873e+06,1.63622e+06,14039.3
GRASP,"iter=40;rcl=2;ls=460",cap81_ss,1.215e+06,1.19714e+06,1.23168e+06,10942.2
GRASP,"iter=40;rcl=2;ls=460",cap111_ss,1.21071e+06,1.20056e+06,1.21464e+06,4669.09
GRASP,"iter=40;rcl=3;ls=460",cap41_ss,1.63801e+06,1.62514e+06,1.6535e+06,9773.65
GRASP,"iter=40;rcl=3;ls=460",cap81_ss,1.23223e+06,1.21522e+06,1.24381e+06,8287.87
GRASP,"iter=40;rcl=3;ls=460",cap111_ss,1.23434e+06,1.21297e+06,1.25132e+06,13182.1
GRASP,"iter=40;rcl=4;ls=460",cap41_ss,1.65606e+06,1.63335e+06,1.67458e+06,11380
GRASP,"iter=40;rcl=4;ls=460",cap81_ss,1.25492e+06,1.2378e+06,1.27039e+06,13127.3
GRASP,"iter=40;rcl=4;ls=460",cap111_ss,1.26134e+06,1.24126e+06,1.28144e+06,13134.3
GRASP,"iter=40;rcl=5;ls=460",cap41_ss,1.66405e+06,1.63002e+06,1.69164e+06,22162.1
GRASP,"iter=40;rcl=5;ls=460",cap81_ss,1.25964e+06,1.24547e+06,1.27156e+06,8294.08
GRASP,"iter=40;rcl=5;ls=460",cap111_ss,1.28231e+06,1.25973e+06,1.29505e+06,11777.1
GRASP,"iter=40;rcl=6;ls=460",cap41_ss,1.65881e+06,1.63064e+06,1.68764e+06,17552.1
GRASP,"iter=40;rcl=6;ls=460",cap81_ss,1.27498e+06,1.25303e+06,1.29907e+06,14444.5
GRASP,"iter=40;rcl=6;ls=460",cap111_ss,1.29106e+06,1.26273e+06,1.31987e+06,19892.2
GRASP,"iter=40;rcl=2;ls=480",cap41_ss,1.61489e+06,1.57423e+06,1.63596e+06,20896.4
GRASP,"iter=40;rcl=2;ls=480",cap81_ss,1.21124e+06,1.20487e+06,1.2211e+06,5696.37
GRASP,"iter=40;rcl=2;ls=480",cap111_ss,1.21056e+06,1.19876e+06,1.21514e+06,5188.28
GRASP,"iter=40;rcl=3;ls=480",cap41_ss,1.63769e+06,1.6064e+06,1.66451e+06,16849.8
GRASP,"iter=40;rcl=3;ls=480",cap81_ss,1.22745e+06,1.2136e+06,1.23591e+06,7441.98
GRASP,"iter=40;rcl=3;ls=480",cap111_ss,1.23244e+06,1.20112e+06,1.25105e+06,14342.3
GRASP,"iter=40;rcl=4;ls=480",cap41_ss,1.65246e+06,1.63226e+06,1.67024e+06,14106.4
GRASP,"iter=40;rcl=4;ls=480",cap81_ss,1.24835e+06,1.22592e+06,1.27068e+06,17141.2
GRASP,"iter=40;rcl=4;ls=480",cap111_ss,1.24741e+06,1.22934e+06,1.26853e+06,11956.2
GRASP,"iter=40;rcl=5;ls=480",cap41_ss,1.6574e+06,1.63336e+06,1.67711e+06,17406.1
GRASP,"iter=40;rcl=5;ls=480",cap81_ss,1.26306e+06,1.24002e+06,1.29074e+06,17936.7
GRASP,"iter=40;rcl=5;ls=480",cap111_ss,1.27492e+06,1.2672e+06,1.28891e+06,6580.02
GRASP,"iter=40;rcl=6;ls=480",cap41_ss,1.66851e+06,1.65019e+06,1.69173e+06,13841
GRASP,"iter=40;rcl=6;ls=480",cap81_ss,1.26852e+06,1.24114e+06,1.29362e+06,18608.4
GRASP,"iter=40;rcl=6;ls=480",cap111_ss,1.29337e+06,1.25003e+06,1.31783e+06,18378.7
GRASP,"iter=40;rcl=2;ls=500",cap41_ss,1.61766e+06,1.59074e+06,1.63732e+06,14034
GRASP,"iter=40;rcl=2;ls=500",cap81_ss,1.21299e+06,1.20568e+06,1.22209e+06,5504.47
GRASP,"iter=40;rcl=2;ls=500",cap111_ss,1.21137e+06,1.20028e+06,1.22232e+06,6189.81
GRASP,"iter=40;rcl=3;ls=500",cap41_ss,1.62663e+06,1.60193e+06,1.64626e+06,13064.6
GRASP,"iter=40;rcl=3;ls=500",cap81_ss,1.23188e+06,1.21977e+06,1.24229e+06,8954.76
GRASP,"iter=40;rcl=3;ls=500",cap111_ss,1.23141e+06,1.22111e+06,1.2503e+06,10638
GRASP,"iter=40;rcl=4;ls=500",cap41_ss,1.64803e+06,1.62178e+06,1.66294e+06,14166.4
GRASP,"iter=40;rcl=4;ls=500",cap81_ss,1.23525e+06,1.21777e+06,1.26035e+06,12115
GRASP,"iter=40;rcl=4;ls=500",cap111_ss,1.25371e+06,1.23322e+06,1.26861e+06,10788.5
GRASP,"iter=40;rcl=5;ls=500",cap41_ss,1.64659e+06,1.59211e+06,1.67675e+06,25272.9
GRASP,"iter=40;rcl=5;ls=500",cap81_ss,1.24745e+06,1.21346e+06,1.29358e+06,21143.6
GRASP,"iter=40;rcl=5;ls=500",cap111_ss,1.27715e+06,1.2601e+06,1.30644e+06,13473.1
