method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=120000;cool=0.994;tmin=8;iter=11",cap41_ss,1.57219e+06,1.5622e+06,1.58673e+06,7365.38
SA,"t0=120000;cool=0.994;tmin=8;iter=11",cap81_ss,1.19066e+06,1.18329e+06,1.20289e+06,5630.17
SA,"t0=120000;cool=0.994;tmin=8;iter=11",cap111_ss,1.17754e+06,1.1638e+06,1.18575e+06,6812.52
SA,"t0=120000;cool=0.994;tmin=8;iter=12",cap41_ss,1.5704e+06,1.56107e+06,1.58222e+06,6536.6
SA,"t0=120000;cool=0.994;tmin=8;iter=12",cap81_ss,1.19072e+06,1.18569e+06,1.19717e+06,3776.61
SA,"t0=120000;cool=0.994;tmin=8;iter=12",cap111_ss,1.18133e+06,1.16761e+06,1.18769e+06,5659.11
SA,"t0=120000;cool=0.994;tmin=8;iter=13",cap41_ss,1.56927e+06,1.55975e+06,1.58543e+06,10216.5
SA,"t0=120000;cool=0.994;tmin=8;iter=13",cap81_ss,1.19023e+06,1.18487e+06,1.19828e+06,3691.02
SA,"t0=120000;cool=0.994;tmin=8;iter=13",cap111_ss,1.18195e+06,1.16703e+06,1.1927e+06,8339.08
SA,"t0=120000;cool=0.994;tmin=8;iter=14",cap41_ss,1.56878e+06,1.56085e+06,1.58833e+06,9046.44
SA,"t0=120000;cool=0.994;tmin=8;iter=14",cap81_ss,1.18918e+06,1.18329e+06,1.19472e+06,3359.61
SA,"t0=120000;cool=0.994;tmin=8;iter=14",cap111_ss,1.18046e+06,1.16752e+06,1.19945e+06,8834.68
SA,"t0=120000;cool=0.995;tmin=8;iter=8",cap41_ss,1.57745e+06,1.56324e+06,1.59302e+06,10692.9
SA,"t0=120000;cool=0.995;tmin=8;iter=8",cap81_ss,1.19291e+06,1.19004e+06,1.19717e+06,2293.98
SA,"t0=120000;cool=0.995;tmin=8;iter=8",cap111_ss,1.18318e+06,1.17105e+06,1.21194e+06,11878.2
SA,"t0=120000;cool=0.995;tmin=8;iter=9",cap41_ss,1.57048e+06,1.56139e+06,1.57916e+06,5894.74
SA,"t0=120000;cool=0.995;tmin=8;iter=9",cap81_ss,1.18965e+06,1.18341e+06,1.20011e+06,4938.88
SA,"t0=120000;cool=0.995;tmin=8;iter=9",cap111_ss,1.18248e+06,1.17461e+06,1.1955e+06,7138.51
SA,"t0=120000;cool=0.995;tmin=8;iter=10",cap41_ss,1.56701e+06,1.5612e+06,1.57868e+06,5369.07
