method,config,instance,avg_best8,best8,worst8,std8
VNS,"iter=40;shake=2;ls=460",cap41_ss,1.56832e+06,1.56032e+06,1.57848e+06,6527.43
VNS,"iter=40;shake=2;ls=460",cap81_ss,1.187e+06,1.18341e+06,1.19383e+06,3232.2
VNS,"iter=40;shake=2;ls=460",cap111_ss,1.19814e+06,1.18453e+06,1.20813e+06,7305.6
VNS,"iter=40;shake=4;ls=460",cap41_ss,1.56984e+06,1.56193e+06,1.58005e+06,6374.48
VNS,"iter=40;shake=4;ls=460",cap81_ss,1.18788e+06,1.18594e+06,1.19099e+06,1902.35
VNS,"iter=40;shake=4;ls=460",cap111_ss,1.19647e+06,1.18223e+06,1.20925e+06,8438.07
VNS,"iter=40;shake=6;ls=460",cap41_ss,1.56651e+06,1.55975e+06,1.58215e+06,6528.83
VNS,"iter=40;shake=6;ls=460",cap81_ss,1.18822e+06,1.18326e+06,1.19501e+06,3598.1
VNS,"iter=40;shake=6;ls=460",cap111_ss,1.19221e+06,1.17739e+06,1.21396e+06,12524
VNS,"iter=40;shake=8;ls=460",cap41_ss,1.56758e+06,1.56064e+06,1.57558e+06,4136.36
VNS,"iter=40;shake=8;ls=460",cap81_ss,1.18933e+06,1.1829e+06,1.19562e+06,3598.38
VNS,"iter=40;shake=8;ls=460",cap111_ss,1.19587e+06,1.17856e+06,1.21558e+06,12425.8
VNS,"iter=40;shake=10;ls=460",cap41_ss,1.56894e+06,1.5609e+06,1.58707e+06,8967.72
VNS,"iter=40;shake=10;ls=460",cap81_ss,1.18887e+06,1.18074e+06,1.19558e+06,4114.96
VNS,"iter=40;shake=10;ls=460",cap111_ss,1.195e+06,1.18388e+06,1.21156e+06,9243.54
VNS,"iter=40;shake=2;ls=480",cap41_ss,1.56992e+06,1.55975e+06,1.57734e+06,6969.1
VNS,"iter=40;shake=2;ls=480",cap81_ss,1.18643e+06,1.18341e+06,1.18883e+06,1949.34
VNS,"iter=40;shake=2;ls=480",cap111_ss,1.19004e+06,1.18191e+06,1.19988e+06,6110.61
VNS,"iter=40;shake=4;ls=480",cap41_ss,1.56316e+06,1.55975e+06,1.56998e+06,3282.6
VNS,"iter=40;shake=4;ls=480",cap81_ss,1.18706e+06,1.18314e+06,1.19256e+06,3325.76
VNS,"iter=40;shake=4;ls=480",cap111_ss,1.19659e+06,1.18227e+06,1.20305e+06,6831.51
VNS,"iter=40;shake=6;ls=480",cap41_ss,1.56481e+06,1.56123e+06,1.57338e+06,3669.32
VNS,"iter=40;shake=6;ls=480",cap81_ss,1.18998e+06,1.18546e+06,1.19616e+06,3886.4
VNS,"iter=40;shake=6;ls=480",cap111_ss,1.19655e+06,1.18101e+06,1.21103e+06,9966.2
VNS,"iter=40;shake=8;ls=480",cap41_ss,1.56643e+06,1.56185e+06,1.57734e+06,5053.64
VNS,"iter=40;shake=8;ls=480",cap81_ss,1.18989e+06,1.18511e+06,1.19629e+06,4134.59
VNS,"iter=40;shake=8;ls=480",cap111_ss,1.19628e+06,1.18148e+06,1.20895e+06,9694.52
VNS,"iter=40;shake=10;ls=480",cap41_ss,1.56661e+06,1.56436e+06,1.57251e+06,2834.52
