instance,method,config_tag,runs,best,worst,avg,std,time_ms
cap41_ss,random,default,10000,2.19235e+06,5.08389e+06,3492850.889,453017.375,61
cap41_ss,greedy,default,1,1.68485e+06,1.68485e+06,1684845.613,1684845.613,0
cap41_ss,EA,default,10,1.56233e+06,1.60013e+06,1578797.875,10654.085,153
cap41_ss,SA,default,10,1.56505e+06,1.59518e+06,1578259.391,11236.107,211
cap41_ss,VNS,default,10,1.57782e+06,1.67079e+06,1609917.831,26630.284,46
cap41_ss,GRASP,default,10,1.64407e+06,1.6836e+06,1665535.771,10883.645,46
cap81_ss,random,default,10000,2.03588e+06,6.21943e+06,3839177.976,645099.660,29
cap81_ss,greedy,default,1,1.25621e+06,1.25621e+06,1256212.350,1256212.350,0
cap81_ss,EA,default,10,1.1864e+06,1.20254e+06,1190522.133,4620.207,149
cap81_ss,SA,default,10,1.18487e+06,1.19692e+06,1190702.885,4481.055,220
cap81_ss,VNS,default,10,1.19835e+06,1.25344e+06,1217741.909,16742.195,40
cap81_ss,GRASP,default,10,1.21198e+06,1.24799e+06,1232598.161,10011.980,50
cap111_ss,random,default,10000,2.46597e+06,6.64547e+06,4215693.722,651396.945,35
cap111_ss,greedy,default,1,1.22173e+06,1.22173e+06,1221731.437,1221731.437,0
cap111_ss,EA,default,10,1.17971e+06,1.20448e+06,1192029.541,6955.741,151
cap111_ss,SA,default,10,1.17385e+06,1.19982e+06,1188289.501,7210.218,202
cap111_ss,VNS,default,10,1.22088e+06,1.26343e+06,1244868.251,13823.917,46
cap111_ss,GRASP,default,10,1.20119e+06,1.23196e+06,1220100.543,9817.502,75
cap41_ss,EA,pop20,10,1.56946e+06,1.66679e+06,1612015.155,33464.220,81
cap41_ss,EA,pop80,10,1.56583e+06,1.58481e+06,1571323.105,6295.887,310
cap41_ss,EA,gen100,10,1.57362e+06,1.64839e+06,1604159.399,25736.710,67
cap41_ss,EA,gen500,10,1.56209e+06,1.60017e+06,1571241.589,10730.490,296
cap41_ss,EA,pm050,10,1.56796e+06,1.62744e+06,1585409.444,17896.070,134
cap41_ss,EA,pm070,10,1.56737e+06,1.6306e+06,1588915.831,22423.591,140
cap41_ss,EA,tour3,10,1.57597e+06,1.63116e+06,1590089.936,15482.338,151
cap41_ss,EA,tour10,10,1.56643e+06,1.63967e+06,1593883.806,25649.388,150
cap41_ss,SA,t0_50k,10,1.56271e+06,1.61008e+06,1585511.536,15832.060,181
cap41_ss,SA,t0_500k,10,1.56256e+06,1.59452e+06,1572754.553,8588.918,239
cap41_ss,SA,cool990,10,1.56589e+06,1.64969e+06,1596521.991,24959.910,105
cap41_ss,SA,cool999,10,1.55975e+06,1.5779e+06,1563832.664,5794.651,1032
cap41_ss,SA,iter2,10,1.57567e+06,1.6434e+06,1608455.720,25345.169,89
cap41_ss,SA,iter10,10,1.56059e+06,1.57738e+06,1567135.526,5104.615,428
cap41_ss,VNS,iter20,10,1.59473e+06,1.66027e+06,1629813.988,20056.142,25
cap41_ss,VNS,iter100,10,1.57126e+06,1.60786e+06,1585622.949,11703.595,81
cap41_ss,VNS,shake3,10,1.57934e+06,1.63436e+06,1601545.236,16477.424,44
cap41_ss,VNS,shake8,10,1.577e+06,1.65573e+06,1610091.650,25807.043,48
cap41_ss,VNS,ls30,10,1.60234e+06,1.73663e+06,1660576.175,41881.205,30
cap41_ss,VNS,ls120,10,1.56595e+06,1.63413e+06,1585064.276,18335.372,79
cap41_ss,GRASP,iter50,10,1.66027e+06,1.70462e+06,1676490.750,15319.206,26
cap41_ss,GRASP,iter200,10,1.63809e+06,1.66816e+06,1653350.890,8717.848,88
cap41_ss,GRASP,rcl1,10,1.63324e+06,1.64767e+06,1641912.561,5252.388,40
cap41_ss,GRASP,rcl4,10,1.71101e+06,1.76498e+06,1743563.402,17547.358,49
cap41_ss,GRASP,ls50,10,1.63199e+06,1.69524e+06,1668272.236,18072.273,31
cap41_ss,GRASP,ls200,10,1.61281e+06,1.64701e+06,1635030.891,10892.879,79
