generation,best,avg,worst,std
1,3.28301e+06,4272561.613,5129777.075,535539.983
2,2802218.513,3332517.967,4587673.225,395275.823
3,2445462.188,2863477.557,3356607.725,190173.247
4,2081954.712,2610990.368,3140314.588,226111.332
5,1913860.212,2320451.521,3466196.775,237659.946
6,1752295.438,2138194.273,2886994.700,169783.454
7,1679270.725,1956205.137,2589421.225,163461.066
8,1614581.125,1811565.917,2142167.725,89490.463
9,1564227.675,1746653.825,2293341.450,120781.137
10,1559532.575,1686544.474,2420037.275,142826.247
11,1514261.287,1607373.382,1854625.587,61156.554
12,1485653.850,1569379.494,2401413.025,138046.661
13,1482814.588,1552579.735,2769324.375,198347.159
14,1461988.275,1511659.181,1665894.087,40349.431
15,1443497.200,1531974.229,2663732.275,188941.998
16,1422875.625,1528794.537,2686978.263,201374.085
17,1409627.550,1468551.178,1857271.500,71313.523
18,1397831.687,1471681.696,2213681.663,128928.461
19,1395598.887,1473644.839,1912091.200,123145.328
20,1395328.087,1430201.194,1639865.862,49280.090
21,1377920.012,1458816.742,2279902.800,157102.651
22,1367257.450,1403694.031,1557612.737,28272.212
23,1365469.637,1425068.364,2038129.725,117403.802
24,1350699.437,1443747.331,2655527.125,209784.431
25,1354271.862,1403732.860,1908573.437,93600.151
26,1344853.512,1421766.646,2182398.250,143144.978
27,1338686.412,1405083.251,2011973.200,116151.658
28,1336622.337,1370812.512,1658967.837,50334.792
29,1324573.750,1406390.318,2402308.913,182503.494
30,1327346.987,1373512.206,1601441.987,51714.706
31,1312784.400,1359336.391,1598878.675,52240.230
32,1305552.725,1354607.717,1550292.512,45606.447
33,1300262.938,1361602.673,1743678.150,86964.324
34,1285299.900,1340471.405,1801781.737,80767.279
35,1284529.600,1378051.554,2539955.425,218465.893
36,1289170.862,1360942.829,2522965.800,192535.063
37,1280014.362,1353594.636,2068653.450,155543.921
38,1281125.700,1325261.762,1716729.487,81601.748
39,1280257.850,1322421.870,1483425.925,43635.691
40,1270839.637,1321238.324,1488268.112,58289.370
41,1274906.725,1323905.179,1745108.437,74260.911
42,1274937.837,1315423.555,1682787.412,72660.433
43,1271717.800,1296563.703,1414684.000,25557.684
44,1269417.337,1290939.620,1415394.375,27227.048
45,1264242.038,1322866.937,2331520.400,164790.302
46,1266107.738,1296709.540,1388839.700,32454.929
47,1263557.288,1304439.752,1481881.187,51070.424
48,1259900.600,1290055.757,1406463.762,37724.103
49,1253769.350,1306898.864,1829886.225,93793.820
50,1256943.375,1314651.134,1944901.712,141493.431
51,1260125.900,1292767.112,1397267.325,38748.346
52,1253805.950,1304581.283,1917934.562,106660.623
53,1247991.350,1303885.004,2092710.462,131994.449
54,1243321.988,1290946.036,1493242.437,54613.987
55,1250797.700,1277026.864,1392889.712,29531.750
56,1239689.025,1294996.302,1801623.150,115906.625
57,1239689.025,1286121.470,2303637.825,163491.986
58,1242272.638,1275951.699,1505224.800,45665.539
59,1238395.125,1320350.760,2493516.212,214661.078
60,1238916.800,1296164.061,1758243.500,102377.349
61,1240666.700,1289784.685,2046068.025,125485.106
62,1237523.887,1305198.654,1882599.300,139473.153
63,1237705.087,1305156.451,2426471.887,195245.828
64,1234819.325,1293436.089,1700219.812,90318.918
65,1234695.988,1303554.438,2476712.275,196852.222
66,1234695.988,1292722.842,1882343.900,115316.348
67,1234695.988,1275321.038,1605716.525,64765.779
68,1231268.250,1264672.342,1407916.213,39479.046
69,1231268.250,1257442.015,1374642.300,26035.873
70,1231268.250,1295013.890,2475099.450,196426.622
71,1232022.713,1277216.070,1459795.250,46903.354
72,1231770.713,1320426.390,2499680.400,234569.447
73,1226722.137,1302461.680,2222834.262,167919.432
74,1226722.137,1282706.276,1709643.025,101721.607
75,1225945.488,1325827.135,2468108.112,232263.327
76,1224855.213,1287441.290,2043881.550,131460.906
77,1225582.813,1286127.472,2115462.013,140200.116
78,1225309.238,1287929.586,1838837.475,127495.422
79,1223733.638,1266646.669,1606774.150,64138.597
80,1223733.638,1277276.628,1867762.412,106830.011
81,1222986.013,1259949.238,1664913.450,71749.589
82,1221692.075,1283868.542,2099998.500,138163.306
83,1224650.463,1255396.348,1377202.275,37299.833
84,1225627.550,1300398.337,2177394.350,156692.872
85,1220245.387,1279005.135,1653052.775,81283.581
86,1217142.363,1287337.138,1780674.138,106252.631
87,1215500.713,1267640.562,1505048.462,70850.547
88,1214134.838,1265432.649,2012110.325,123143.410
89,1212781.238,1257246.604,1457281.650,54163.982
90,1214066.413,1283284.722,1878230.025,118261.418
91,1216511.813,1263374.140,1691102.238,85868.514
92,1216101.963,1252201.573,1449903.313,43611.662
93,1212372.200,1291825.388,2449920.512,193880.226
94,1212538.138,1264294.713,1727078.588,86845.267
95,1212393.425,1254718.046,1550201.825,60145.897
96,1212636.200,1258117.657,1734298.188,103564.840
97,1211190.688,1251877.510,1602097.475,74616.602
98,1210466.750,1283119.817,1880994.100,133605.798
99,1209477.600,1277232.891,2443578.412,190982.924
100,1212636.200,1276624.044,1855247.938,127888.278
101,1211968.138,1239029.876,1364602.938,28009.710
102,1210849.325,1271662.214,1688447.087,90063.279
103,1211347.900,1236032.684,1291803.938,18929.138
104,1209599.313,1291161.252,1895302.025,146906.062
105,1209599.313,1250598.436,1813235.538,93218.349
106,1209994.188,1287215.307,2402100.788,189989.166
107,1209994.188,1263349.828,2248445.312,161768.270
108,1209599.313,1275478.762,2114649.787,153853.375
109,1209599.313,1271060.383,1699157.137,110570.987
110,1209599.313,1291042.303,2052340.788,162565.577
111,1207345.913,1278584.533,1854972.725,127998.319
112,1209533.762,1270792.525,1596347.338,83827.132
113,1209533.762,1252876.918,1506634.912,57578.057
114,1209428.188,1283232.844,2446743.425,197458.589
115,1207506.938,1285180.514,2115827.625,182402.673
116,1214656.438,1272433.006,2295330.050,166357.406
117,1213881.563,1291968.343,2090515.788,147486.547
118,1211908.625,1275133.622,1816140.563,112989.836
119,1218884.888,1331458.727,2112134.612,210968.206
120,1216643.550,1271807.324,1596074.500,81760.019
121,1219225.838,1270255.503,1693309.288,78939.287
122,1209083.563,1332953.570,2252648.012,227629.727
123,1216635.075,1248848.278,1397663.738,36796.604
124,1217671.188,1316599.566,2459395.750,227793.123
125,1213418.350,1254938.189,1348858.850,33085.499
126,1212889.600,1261949.148,1513800.050,62891.768
127,1210644.450,1281041.727,2313512.812,176466.108
128,1209983.613,1266539.788,1896651.075,114508.260
129,1209093.188,1263849.631,2158713.387,146633.727
130,1209158.938,1246502.081,1426173.350,49917.232
131,1212467.563,1240979.080,1351802.675,32953.668
132,1213802.825,1268555.613,1459794.100,64853.216
133,1216287.775,1244667.557,1365492.650,31247.125
134,1211832.000,1248224.515,1459775.012,43919.558
135,1210964.775,1272766.928,2022325.950,146990.083
136,1207557.425,1276417.479,1855198.638,126560.943
137,1208634.513,1248118.699,1509138.275,63692.109
138,1207557.425,1263279.557,1843521.137,110276.080
139,1207557.425,1290444.681,2121689.025,170014.986
140,1206231.688,1266830.997,1526654.200,68058.224
141,1207903.100,1297894.443,2432124.987,230745.077
142,1208495.163,1256678.896,1479049.562,50789.840
143,1205996.975,1270002.890,1663846.250,99247.676
144,1207903.100,1257264.240,1491841.150,59308.273
145,1205618.262,1243798.838,1560263.325,61801.965
146,1206663.350,1278109.250,2279495.287,173003.772
147,1209313.813,1242504.211,1440534.088,39991.332
148,1206119.000,1277172.994,2452555.587,191178.634
149,1207158.988,1258790.504,1850944.888,108425.077
150,1206548.262,1251971.587,1649407.525,75216.879
151,1205808.662,1278320.020,1755992.262,126630.932
152,1205808.662,1263096.378,1891401.325,129832.589
153,1206885.750,1241649.625,1385800.338,42809.084
154,1206885.750,1250662.397,1564993.150,64404.043
155,1202893.688,1258187.994,1584877.988,71262.223
156,1206712.625,1253349.652,1633153.900,77270.590
157,1206480.662,1286106.206,2470022.987,212891.746
158,1207740.438,1227640.129,1301934.550,17701.544
159,1207740.438,1318885.874,2469293.712,254670.161
160,1206663.350,1247917.030,1400579.712,45806.940
161,1210020.438,1327198.857,2507651.513,262123.102
162,1210020.438,1266559.213,1855518.025,110144.763
163,1207448.838,1272212.855,1840980.125,117794.385
164,1209821.100,1274428.624,2429875.138,194649.044
165,1209821.100,1245065.197,1399816.550,43497.803
166,1208879.688,1270248.392,1653248.150,81763.237
167,1207538.838,1241148.162,1469251.413,53234.498
168,1207424.900,1286409.262,2398075.113,203201.920
169,1207260.137,1245662.383,1412883.825,50002.310
170,1206749.312,1252198.031,1581170.925,80680.816
171,1205653.637,1236277.521,1337160.512,30862.420
172,1204379.462,1278527.444,2091715.088,149608.259
173,1204557.438,1280083.235,2248893.850,166370.162
174,1204181.487,1247769.196,1642664.562,69661.369
175,1206375.962,1279949.865,2426013.962,189362.497
176,1203342.250,1249094.927,1600135.587,77380.899
177,1204870.887,1252931.052,1688664.425,81358.837
178,1205546.475,1242719.936,1766234.088,86117.568
179,1204456.675,1251115.919,1442123.175,50244.964
180,1205572.500,1263554.977,1662401.862,85906.162
181,1201965.137,1275916.760,2202255.437,167212.332
182,1201823.562,1293480.503,2477262.650,217767.286
183,1201610.537,1261667.486,2048121.687,137885.686
184,1198588.137,1227537.311,1381478.987,30237.816
185,1199052.862,1302483.274,2245218.912,204649.933
186,1201289.550,1244597.908,1477231.325,61374.440
187,1201752.825,1253566.620,1704463.700,96620.867
188,1201332.300,1243648.597,1629530.387,81970.844
189,1199792.137,1280136.517,2454739.050,210902.043
190,1200068.025,1241097.609,1579161.750,67382.727
191,1199511.150,1239227.510,1579767.387,67528.105
192,1199022.937,1235325.381,1568022.225,64571.293
193,1197394.887,1261105.543,2018291.925,132920.649
194,1199853.187,1276216.866,2278327.987,185541.650
195,1197733.125,1277988.648,2418796.425,196095.906
196,1198502.525,1260954.526,1996708.762,143316.340
197,1198035.125,1264187.561,2188431.925,158072.839
198,1197445.700,1240465.150,1579152.100,66634.066
199,1197445.700,1256910.256,2429379.813,196873.155
200,1197445.700,1249373.387,1758212.762,90005.340
201,1198035.125,1270454.248,2070758.112,173303.058
202,1199234.988,1231937.727,1429380.637,46302.765
203,1197478.250,1272805.381,2468416.375,201637.422
204,1194633.025,1247209.416,1498075.925,60943.152
205,1198420.650,1300580.406,2497042.375,236216.643
206,1198420.650,1261443.017,2017337.688,157032.514
207,1198798.500,1255334.966,1878468.962,115602.600
208,1199830.150,1232498.443,1337302.250,32468.077
209,1199437.350,1272868.207,2108717.288,164897.435
210,1196024.300,1260427.975,2459637.450,195147.067
211,1196024.300,1304484.780,2412990.075,252906.271
212,1195146.525,1237443.149,1594843.475,71323.123
213,1191164.600,1243146.843,1877373.550,105781.613
214,1191164.600,1273727.272,2012714.875,144251.477
215,1191393.762,1254128.322,1792956.500,121030.160
216,1190361.600,1272718.942,1834977.662,151016.286
217,1189325.300,1245429.574,2072290.300,135985.226
218,1190559.187,1268119.138,2275169.850,171776.418
219,1190559.187,1238788.130,1746798.775,91529.209
220,1190304.200,1242947.020,1855491.000,107153.728
221,1189206.200,1243818.083,1861531.475,111594.509
222,1188630.887,1249447.507,2458855.463,195759.683
223,1188167.587,1238846.802,1576830.087,79384.967
224,1188839.725,1250500.840,1663407.425,102777.341
225,1188839.725,1229630.028,1392060.737,52061.506
226,1188986.125,1231677.497,1747323.425,93387.330
227,1188986.125,1234716.696,1834158.900,104584.980
228,1189183.712,1229152.256,1481461.475,61423.474
229,1189183.712,1207774.503,1278793.100,20148.076
230,1189183.712,1220962.715,1421796.112,42086.701
231,1188986.125,1233970.325,1595326.462,69415.208
232,1189247.125,1293294.038,2373570.625,232737.003
233,1189776.887,1239320.967,1486496.312,69915.582
234,1189776.887,1251269.902,1845705.925,125538.056
235,1189398.362,1261753.428,2384654.338,208556.531
236,1189841.387,1239186.529,1666441.850,82310.455
237,1189175.812,1305426.505,2442562.487,294624.212
238,1190066.137,1221076.345,1419041.325,44345.908
239,1192310.675,1247739.463,2408794.538,187655.611
240,1189841.387,1226723.524,1504680.112,60095.038
241,1189248.212,1309603.311,2073860.350,207279.642
242,1189037.312,1230141.234,1391059.100,45696.416
243,1188085.712,1237591.382,1423083.212,52655.078
244,1190904.800,1248485.917,1579775.812,83574.523
245,1193579.200,1215117.435,1307255.975,27268.952
246,1190576.312,1226351.869,1617969.250,67499.737
247,1191500.750,1236463.051,1576008.750,74002.662
248,1191983.612,1257246.841,1676445.512,102435.019
249,1191148.012,1235798.411,1458270.262,58244.824
250,1191148.012,1241860.198,2008420.750,129464.230
