generation,best,avg,worst,std
1,2.40492e+06,3426143.936,4464320.675,459638.240
2,2236044.487,2778121.630,3403285.287,252061.125
3,2218089.700,2438234.513,2758033.888,134984.887
4,2054362.513,2298979.474,3456684.600,215143.074
5,2019710.325,2163703.719,2641048.950,129279.498
6,1951059.225,2106435.605,2442764.300,95266.764
7,1924230.063,2100205.971,2490042.712,150317.839
8,1899289.625,2079472.183,2427198.350,140697.064
9,1896253.313,1983180.555,2334544.200,93050.216
10,1841920.062,1938162.269,2369743.513,82736.876
11,1827583.613,1933911.278,2253425.663,108487.800
12,1763238.613,1901495.649,2213571.700,92296.210
13,1764151.813,1853364.350,2038790.300,54503.299
14,1744727.775,1815359.142,1963156.925,38919.477
15,1708566.513,1818479.887,2361662.625,120798.551
16,1708566.513,1757397.061,1873328.038,35189.007
17,1694285.350,1734111.896,1840750.000,32980.002
18,1662256.338,1726836.143,2070950.200,67384.021
19,1662256.338,1704910.583,1827599.975,34933.931
20,1658387.975,1694529.842,1819464.125,38336.912
21,1658815.363,1697491.956,2115087.837,74497.580
22,1658815.363,1699677.233,2141527.062,93205.262
23,1654506.163,1700025.046,1968410.938,81055.760
24,1654659.963,1703565.318,2004761.013,78815.999
25,1650089.638,1681393.500,1820384.713,35588.645
26,1645624.988,1677212.725,1808732.925,35869.789
27,1645624.988,1674691.666,1814933.588,36827.184
28,1644645.313,1708295.427,3087034.325,229274.880
29,1643397.575,1667073.913,2016373.875,58336.776
30,1642829.113,1678080.138,2022390.900,74964.313
31,1640155.375,1675260.742,1899897.450,56035.962
32,1638729.663,1656346.027,1719410.663,19215.206
33,1637085.625,1695476.311,2879697.663,195968.249
34,1635659.913,1667613.796,2082822.450,71267.502
35,1635887.150,1683943.324,2107952.575,107503.737
36,1635151.125,1680044.336,2092471.925,86837.906
37,1634288.725,1705146.564,2066382.238,122181.048
38,1633837.775,1696641.644,2107131.600,117711.803
39,1633837.775,1728858.304,2098099.388,139948.583
40,1633837.775,1682716.457,2213353.375,113861.625
41,1633310.350,1690655.082,2025770.263,111779.165
42,1633310.350,1697784.555,2279990.775,137349.946
43,1617324.375,1711928.501,2237667.375,147324.735
44,1621274.338,1739033.137,2129079.300,160626.586
45,1617260.850,1759086.066,2092300.688,179802.458
46,1619884.763,1791838.726,2061723.000,193205.181
47,1618760.000,1688089.209,2055075.450,124409.750
48,1618072.200,1748054.436,2108823.938,179468.693
49,1617558.688,1661989.541,2012024.775,75286.831
50,1613569.800,1729282.417,2077678.688,167213.970
51,1613569.800,1658743.166,2137937.825,108172.885
52,1613569.800,1663887.871,2040209.775,92868.888
53,1613569.800,1689320.934,2064063.275,118941.308
54,1613569.800,1663142.966,2146837.288,88729.376
55,1613001.338,1639021.296,2040779.363,67538.562
56,1613001.338,1682378.740,2079745.313,128470.749
57,1613001.338,1666145.147,2046187.425,99992.693
58,1613001.338,1685825.174,2860528.025,205255.971
59,1613001.338,1699520.506,2217322.925,154354.285
60,1612937.813,1675408.345,2063997.450,125592.550
61,1613001.338,1688488.252,2049285.088,127320.634
62,1613001.338,1680677.874,2061401.450,121057.629
63,1613001.338,1690973.749,2273438.775,154407.746
64,1613001.338,1692380.098,2266098.525,144634.699
65,1613001.338,1677377.326,2043115.238,128538.420
66,1613001.338,1716892.348,2079755.175,155383.641
67,1613001.338,1659472.074,2049452.738,91716.656
68,1612937.813,1652666.168,2025056.213,93756.311
69,1612937.813,1676891.768,2198205.938,129592.108
70,1612937.813,1649893.311,2028894.338,94692.492
71,1612937.813,1678170.285,2070327.338,122471.684
72,1612937.813,1679234.494,2177943.163,141173.521
73,1612937.813,1685996.136,2894232.413,204802.203
74,1612937.813,1705504.695,2071134.338,145337.770
75,1612937.813,1685071.810,2275066.463,151686.978
76,1612937.813,1706809.765,2860908.413,214767.324
77,1612937.813,1721559.933,2869726.450,277371.564
78,1612937.813,1688234.386,2044011.413,136089.047
79,1612937.813,1678564.676,2178468.038,144416.718
80,1612937.813,1695246.571,2035055.013,128780.331
81,1612937.813,1696639.908,2111341.013,145317.856
82,1612937.813,1679868.495,2137504.088,124010.442
83,1589388.213,1689887.039,2315301.238,156709.210
84,1587048.863,1694686.289,2061926.488,131400.076
85,1588520.213,1662145.785,2028615.800,94761.105
86,1586976.488,1678367.317,2192273.337,137688.606
87,1584753.913,1716190.446,2115131.563,173145.824
88,1584753.913,1661733.166,2231855.550,152461.978
89,1584746.925,1673156.518,2151251.600,130295.799
90,1585555.113,1675753.194,2271514.188,153606.893
91,1584687.113,1661802.731,2111572.713,139059.756
92,1584687.113,1684949.159,2100260.375,165715.914
93,1584687.113,1621109.094,1984494.063,78618.058
94,1584687.113,1647430.559,2017569.925,104816.657
95,1584687.113,1625917.169,2041575.150,100521.152
96,1584687.113,1656687.084,2055952.763,129516.867
97,1584687.113,1645206.315,2038666.388,117737.800
98,1584687.113,1641506.050,2011199.213,118115.041
99,1584687.113,1666576.621,2065742.513,147280.829
100,1584687.113,1646631.379,2018596.713,119662.379
