generation,best,avg,worst,std
1,2.65535e+06,3352066.274,4374706.987,430001.504
2,2333971.525,2726451.239,3133921.762,198379.551
3,2149366.088,2447693.380,2838811.163,156843.285
4,2091862.225,2312099.173,2919540.225,164767.013
5,1942105.338,2183476.170,2645343.062,151128.640
6,1904464.613,2086869.895,2527614.600,146341.651
7,1868461.725,1965865.072,2254967.188,74770.450
8,1823879.738,1968276.176,2527284.437,133561.419
9,1802766.825,1906748.978,2347903.175,112445.302
10,1786217.825,1876153.002,2347380.738,114725.474
11,1767076.650,1842956.704,2098371.925,83841.260
12,1765177.850,1791837.846,1881851.725,20214.939
13,1743969.375,1791809.170,2281725.113,80454.896
14,1743969.375,1790744.058,2149781.837,77039.648
15,1729513.188,1793177.927,2248481.013,121028.281
16,1728169.600,1797051.493,2215427.013,131461.959
17,1686025.900,1772893.162,2181853.088,112480.236
18,1673409.750,1809060.508,2183438.325,145013.346
19,1653749.725,1761169.612,2199520.188,127479.750
20,1644958.988,1740504.310,2165685.312,100588.032
21,1644958.988,1724755.430,2164885.025,122055.544
22,1644386.425,1697401.432,2250641.975,116009.821
23,1643628.288,1672221.867,2039680.588,82694.711
24,1643457.663,1707398.414,2075529.638,119179.826
25,1643143.263,1715319.092,2169993.188,159135.362
26,1642062.725,1734324.577,3045559.075,243355.677
27,1642062.725,1659427.223,1764776.263,29045.512
28,1640257.150,1701440.522,2078564.050,129723.600
29,1640257.150,1699869.311,2031283.825,118026.388
30,1638240.163,1704082.939,2089186.150,117370.819
31,1638240.163,1707864.813,2882786.812,205863.406
32,1638081.588,1672472.459,2013217.225,74975.139
33,1637160.263,1657824.435,1998776.738,62080.450
34,1637160.263,1701218.559,2940842.800,214089.189
35,1635989.188,1675064.528,1998224.763,82120.186
36,1635181.488,1692721.349,2024588.238,112481.755
37,1635181.488,1707867.184,2073624.875,120889.542
38,1634772.688,1703802.198,2092808.738,136839.476
39,1631183.525,1648530.152,1818157.325,32293.333
40,1631183.525,1684891.063,2169608.013,120684.494
41,1630774.725,1661141.711,2026372.763,84466.044
42,1630774.725,1646380.374,1806296.450,36832.730
43,1630774.725,1662842.131,2163717.725,99680.962
44,1630774.725,1708715.331,2109252.938,137876.220
45,1628309.125,1689699.099,2849854.725,199569.284
46,1628309.125,1663403.494,1986230.775,77424.506
47,1628309.125,1675396.408,2068267.075,94603.531
48,1619344.075,1699621.788,2079703.725,134165.390
49,1619344.075,1668221.162,1994785.388,71101.505
50,1619344.075,1703627.211,2163308.925,141522.772
51,1619344.075,1673726.623,2019638.188,93813.927
52,1619344.075,1670804.552,1994786.800,106708.422
53,1619344.075,1687210.666,2152804.375,124644.230
54,1619344.075,1673789.697,1955059.050,92529.705
55,1618839.675,1658270.733,2154014.337,98480.256
56,1618839.675,1662615.022,2007943.125,87972.695
57,1618779.863,1640508.643,1808624.625,40871.944
58,1616653.425,1655593.835,2005554.075,83911.528
59,1616653.425,1685179.911,1990306.963,108562.783
60,1616593.613,1690190.872,2059638.075,138861.642
61,1616593.613,1670612.775,2149187.625,114197.966
62,1616593.613,1664438.446,2218942.800,122788.676
63,1616593.613,1691901.590,1998493.050,124536.298
64,1615703.925,1660871.885,1943317.013,78114.231
65,1615703.925,1712354.826,2835673.613,211898.713
66,1615703.925,1651595.048,1975953.700,84376.194
67,1615703.925,1648609.417,1831026.213,56559.193
68,1615703.925,1656338.723,2002418.325,91839.372
69,1615703.925,1665765.343,1995715.125,105339.049
70,1615703.925,1674135.816,2086023.525,114015.586
71,1615703.925,1660945.331,2128518.488,100300.856
72,1615703.925,1672917.941,2297279.138,127646.442
73,1615703.925,1681757.596,2114914.125,122624.385
74,1615703.925,1659371.451,2038844.425,97745.818
75,1615703.925,1666654.676,1995715.125,98110.312
76,1615703.925,1663562.973,2002562.250,89673.059
77,1615703.925,1667117.700,2096759.325,109413.933
78,1615703.925,1672513.435,1997543.550,110602.410
79,1615703.925,1685204.421,2052419.050,113870.414
80,1615703.925,1672123.903,1953470.213,109254.613
81,1615703.925,1652305.789,1978238.325,75057.999
82,1615703.925,1660336.828,1945717.088,81334.332
83,1615703.925,1658924.223,1999497.125,94966.196
84,1615703.925,1675973.799,2064632.925,125372.402
85,1615703.925,1696657.413,2896998.525,217661.725
86,1615703.925,1652469.686,1993134.875,85908.714
87,1615691.350,1655369.096,1995715.125,95241.098
88,1615691.350,1646701.373,1977671.175,65363.595
89,1615703.925,1673248.431,2003674.163,108779.055
90,1615691.350,1657472.867,1996232.400,86667.837
91,1615691.350,1674326.147,1971339.925,104346.437
92,1615691.350,1718546.723,2834783.925,217940.467
93,1615691.350,1676407.971,2148225.550,112161.132
94,1615691.350,1671683.154,1991696.613,99211.175
95,1615691.350,1646435.849,1988221.275,67158.002
96,1615691.350,1649189.822,1802611.363,51832.666
97,1615691.350,1657053.109,1995702.550,79967.513
98,1615691.350,1653547.857,2250086.975,114545.677
99,1615691.350,1654903.610,2064620.350,92059.271
100,1615691.350,1670469.185,1995702.550,96315.758
101,1615691.350,1665843.631,2098871.350,114937.733
102,1615691.350,1661810.290,1975051.438,93702.754
103,1615691.350,1652150.344,1942414.750,78330.808
104,1615691.350,1656394.521,1984555.988,92966.343
105,1615691.350,1672172.333,1997345.350,95647.424
106,1615691.350,1675413.317,2002405.750,122162.163
107,1615691.350,1673852.260,2278965.000,134201.072
108,1615691.350,1652810.148,2031296.350,81690.161
109,1615691.350,1648369.648,1954456.450,74456.204
110,1615691.350,1657699.567,2002159.850,98730.046
111,1615691.350,1695948.018,2098871.350,135008.807
112,1615691.350,1657440.968,1978225.750,102628.710
113,1615691.350,1639760.210,1945704.513,57708.650
114,1615691.350,1639528.974,2098871.350,76998.605
115,1609487.325,1659528.139,1942691.425,91642.092
116,1609487.325,1704864.065,2086010.950,135676.359
117,1609487.325,1686690.911,2064760.125,130942.862
118,1609487.325,1657159.985,1989562.050,96186.010
119,1609487.325,1650655.377,1989498.525,94327.332
120,1609487.325,1655758.247,1931869.838,86572.494
121,1609487.325,1652334.972,1932514.163,81255.548
122,1609487.325,1631583.076,1803895.975,50179.526
123,1609487.325,1639859.014,1934257.488,61630.561
124,1609487.325,1633963.383,2108697.525,79119.255
125,1609487.325,1642656.801,2089854.075,94087.558
126,1609487.325,1631915.206,1994588.800,67793.581
127,1609487.325,1640287.817,1940549.875,62409.501
128,1609487.325,1693159.673,2857457.925,225112.044
129,1609487.325,1676461.876,2108697.525,132775.272
130,1609487.325,1641401.018,1928959.325,67467.809
131,1609487.325,1648288.113,1965123.325,91444.907
132,1609487.325,1666951.590,2076578.925,116609.030
133,1609487.325,1666576.814,1992438.000,99762.731
134,1609487.325,1655906.744,1940672.475,91904.452
135,1609487.325,1707988.123,2076578.925,147283.158
136,1609487.325,1668171.480,1989498.525,104623.898
137,1609487.325,1645992.298,1932161.075,81523.767
138,1609487.325,1673970.714,2890781.925,213108.352
139,1609487.325,1635060.503,1973059.575,65420.903
140,1609487.325,1657589.394,2019334.463,104604.123
141,1609487.325,1632719.215,1971454.575,61484.965
142,1609487.325,1656692.886,2108697.525,118182.547
143,1609487.325,1637925.052,1931145.925,61707.651
144,1609487.325,1660361.490,1933964.175,89439.592
145,1609487.325,1628824.186,1965847.063,61272.541
146,1609487.325,1651602.424,1940352.700,87320.421
147,1609487.325,1666912.378,2046202.450,115271.098
148,1609487.325,1655948.391,2825339.325,193670.781
