generation,best,avg,worst,std
1,2.90684e+06,3391116.101,4310752.463,411990.873
2,2500898.850,2935891.428,3619195.325,236920.305
3,2365021.625,2653274.945,2896766.163,138922.915
4,2257189.400,2483652.503,2813305.338,133971.333
5,2148126.775,2360053.963,2674320.663,126829.208
6,2156279.175,2253511.392,2663936.950,107613.863
7,2057978.838,2178038.483,2417122.400,71545.386
8,1992117.113,2106281.816,2192017.425,46854.307
9,1985778.863,2072793.504,2391178.225,83315.901
10,1947941.300,2024577.038,2117511.088,42343.899
11,1915544.350,2006640.539,2206760.113,70460.034
12,1896725.775,1959668.508,2051677.388,39189.693
13,1892427.463,1934171.130,2003567.575,30780.068
14,1894259.913,1932322.732,2023879.675,36731.929
15,1874637.200,1901211.753,1933972.250,16285.059
16,1864369.750,1914394.462,2134568.938,55517.672
17,1857708.450,1900495.772,2125258.712,55574.800
18,1853489.950,1914901.832,2136970.237,95081.028
19,1838489.750,1887329.575,2378524.150,113805.898
20,1837021.900,1912874.360,2412141.350,149844.179
21,1829870.613,1866472.598,2215322.038,81491.917
22,1829119.163,1937746.294,3260145.775,313427.753
23,1828896.763,1877578.595,2197793.688,90081.928
24,1825014.213,1835373.584,1872198.125,11678.798
25,1814072.213,1907696.683,3243225.163,307865.540
26,1813182.063,1839239.796,2043830.975,49128.126
27,1811266.863,1865378.633,2167616.575,99990.928
28,1803777.638,1924188.339,2288253.700,178813.688
29,1803777.638,1893050.129,2297929.950,156339.809
30,1797037.113,1854308.341,2232603.712,94251.181
31,1801106.388,1935503.850,2335784.775,186364.140
32,1800615.325,1883840.532,2264325.200,133665.495
33,1801397.138,1916300.876,2452590.963,193321.939
34,1796950.850,1872627.078,2291530.962,130425.723
35,1789268.100,1871271.598,2279699.150,140122.353
36,1789268.100,1886431.369,2249425.862,158881.577
37,1791063.375,1842817.182,2225966.938,100833.140
38,1791619.975,1921205.920,2258753.187,179755.356
39,1791753.075,1864391.753,2224366.162,107333.277
40,1791198.113,1899139.034,2270090.462,156763.700
41,1791198.113,1819560.046,1916262.638,36386.176
42,1791534.163,1852629.156,2233286.362,131760.264
43,1788451.488,1850825.843,2235848.575,125581.405
44,1785631.913,1858374.825,2282715.500,139727.312
45,1785631.913,1959347.192,3005319.712,297517.844
46,1783535.175,1798731.143,1844439.088,16810.810
47,1783535.175,1863410.894,2255698.437,145815.926
48,1782589.925,1878709.299,2346674.587,177026.059
49,1782112.175,1816222.121,2252074.475,101753.659
50,1782260.400,1869814.592,2250077.925,158348.972
51,1781633.913,1947923.344,2438917.487,216458.631
52,1781633.913,1799753.935,1897969.963,25912.562
53,1774624.738,1835862.613,2267584.337,141770.792
54,1775815.000,1862275.311,2248641.887,157478.622
55,1779924.600,1837829.313,2242452.600,130815.383
56,1779924.600,1819091.134,2325531.075,118857.146
57,1772237.413,1825421.115,2196023.913,103710.542
58,1771853.475,1801044.134,1953825.938,48098.640
59,1771853.475,1823415.565,2033850.550,73760.786
60,1771538.550,1855335.071,2256651.638,119023.014
61,1704815.737,1826793.351,2199579.937,127588.270
62,1771777.000,1829513.709,2257621.962,117046.098
63,1771475.762,1817756.184,2198708.250,106823.126
64,1771274.875,1835585.499,2232631.475,132573.886
65,1770908.375,1826252.015,2210891.975,128389.706
66,1770908.375,1796625.523,1922624.825,43649.925
67,1770121.975,1817373.023,2206813.850,97694.184
68,1770008.950,1809591.659,2237652.925,101313.256
69,1770370.925,1881673.779,2219362.575,157567.242
70,1769755.475,1817721.496,2332328.962,121897.306
71,1769755.475,1783577.252,1861348.838,25566.866
72,1769419.425,1812141.049,2243668.525,102560.112
73,1769419.425,1853194.424,3022431.225,271188.373
74,1769180.975,1822280.723,2238056.325,130939.615
75,1769009.438,1834733.896,2222939.525,104254.119
76,1769180.975,1803949.261,1983296.800,52297.614
77,1769180.975,1827911.501,2195935.150,124749.928
78,1769180.975,1781282.848,1825240.413,15392.992
79,1769180.975,1821838.447,2196337.050,96124.692
80,1767784.500,1813750.348,2354656.875,127183.156
81,1767678.325,1848961.894,2273458.600,159414.679
82,1767309.262,1807813.787,2282424.850,110804.518
83,1761441.113,1851326.168,2195192.387,144048.575
84,1762326.150,1855116.030,2254275.450,151630.567
85,1762195.375,1823824.959,2194676.925,99822.447
86,1761334.938,1816250.142,2197033.712,128093.422
87,1757950.875,1776448.018,1876375.913,25977.695
88,1757950.875,1870966.338,2240457.350,170195.884
89,1759402.062,1839032.068,2234517.538,157666.891
90,1729349.538,1844207.655,2233135.425,154827.027
91,1727562.300,1946054.981,2246899.400,211671.020
92,1726929.600,1837821.987,2278265.837,164336.905
93,1727265.650,1852913.732,2201098.075,184283.532
94,1727182.750,1778043.968,2168694.650,103592.930
95,1726823.425,1764939.922,2199745.775,103455.640
96,1726929.600,1762801.759,2157928.850,92439.359
97,1726929.600,1745712.878,1828606.875,27330.177
98,1726929.600,1784944.309,2191960.887,107136.859
99,1724373.025,1826058.654,2225801.475,181028.150
100,1724863.288,1823273.983,2251963.800,168406.567
101,1723491.762,1754526.127,2175194.562,96826.797
102,1723491.762,1796581.427,2219100.688,136185.559
103,1722665.450,1798240.907,2165802.025,101039.332
104,1722665.450,1885930.206,2230280.863,194137.510
105,1722887.175,1821867.316,2237752.275,169426.228
106,1722665.450,1833043.360,2193276.825,177318.582
107,1722774.150,1798063.289,2210151.750,138909.127
108,1718588.875,1863477.196,2959445.812,288190.816
109,1719093.275,1809432.577,2196315.075,162276.009
110,1723019.788,1839179.374,2208448.763,180442.115
111,1722478.488,1813489.378,2257693.538,177157.714
112,1721586.663,1785013.256,2220483.775,143281.388
113,1721396.250,1777455.656,2222978.300,119052.671
114,1720873.575,1820846.132,2248860.663,144481.339
115,1721980.887,1779229.614,2010927.938,75449.094
116,1722374.713,1747446.493,1889223.375,36766.653
117,1721783.525,1808186.271,2232010.775,154166.805
118,1722807.200,1813644.400,2211073.525,157559.841
119,1722193.650,1816959.429,2214596.812,165798.369
120,1721305.875,1761376.051,2180043.375,101279.361
121,1721928.450,1737729.286,1789232.575,19292.721
122,1721788.188,1807429.493,2226500.887,171923.443
123,1721788.188,1789141.759,2152977.425,123087.357
124,1721734.562,1872353.019,2229498.188,177821.309
125,1721788.188,1830169.257,2347318.438,167214.212
126,1722907.988,1813648.527,2300575.113,164160.765
127,1723446.450,1767659.608,2212020.400,105423.741
128,1722584.725,1816685.834,2499628.662,194004.046
129,1722347.813,1827722.868,2223916.600,161632.929
130,1719267.325,1869511.145,2263732.038,201892.008
131,1718602.375,1804110.521,2189113.137,159639.645
132,1718013.975,1884010.609,2216044.162,212714.544
133,1718496.200,1773078.896,2202479.812,116040.769
134,1718602.375,1773869.889,2195463.862,139143.540
