generation,best,avg,worst,std
1,2.85753e+06,3583116.782,4604532.988,451387.511
2,2459384.938,2909337.452,3447562.212,223374.991
3,2055063.588,2591159.778,3142410.225,205296.732
4,2046105.688,2420563.816,3582461.013,295765.888
5,1987527.538,2238325.888,3560571.763,285672.529
6,1958955.775,2063068.161,2423144.113,85338.812
7,1904090.475,2019266.243,2215197.037,68219.067
8,1883431.350,1973864.345,2151014.675,64532.999
9,1856223.563,1923143.089,2104949.288,46495.955
10,1825673.700,1916202.804,2364727.175,88594.718
11,1808028.062,1908640.953,2325067.550,109783.608
12,1795876.863,1871918.814,2211120.850,100500.285
13,1791299.312,1859601.862,2419579.200,102207.027
14,1773112.663,1837815.175,2245246.962,106087.420
15,1763900.750,1821224.285,2167745.887,78965.103
16,1751937.413,1851350.608,2358704.612,146673.442
17,1753309.963,1840819.994,2145319.750,120265.803
18,1739795.375,1801611.627,2152031.625,98055.910
19,1723254.375,1833379.169,2179162.587,133955.896
20,1719879.150,1770285.906,2052047.287,69856.483
21,1719879.150,1754376.048,1937921.988,47864.424
22,1708100.975,1750005.115,2139841.950,71968.226
23,1704714.600,1773599.320,2186970.750,116783.404
24,1689052.075,1790610.046,3059545.450,234436.486
25,1689052.075,1725421.802,2088201.000,61983.090
26,1688265.625,1727416.273,2062753.413,81563.319
27,1687996.000,1728516.982,2052167.038,76066.003
28,1687814.700,1714151.448,2108573.513,67616.964
29,1683533.625,1738095.125,2136997.700,102177.271
30,1683533.625,1721521.178,2158810.075,76596.544
31,1683052.788,1737754.997,2058104.938,89117.846
32,1679914.863,1764586.006,3100954.475,226884.698
33,1679726.163,1734600.672,2285483.663,120230.171
34,1679513.663,1706018.693,1995351.462,53852.095
35,1679144.263,1705269.962,2074226.463,63120.999
36,1678939.713,1714276.447,1995524.738,71790.195
37,1676699.650,1716195.976,1992786.200,81390.024
38,1675905.250,1722998.591,2271095.225,111972.981
39,1675905.250,1704833.975,1991426.400,54359.373
40,1675905.250,1700716.666,2039766.413,59676.417
41,1675050.113,1707139.518,2047172.038,77022.689
42,1670984.775,1707835.595,1986752.375,62238.617
43,1671181.950,1710923.264,2133066.425,92951.921
44,1670757.638,1705161.840,2202850.038,99124.749
45,1670757.638,1744854.429,2208049.312,141789.177
46,1670757.638,1725454.550,2207526.488,123036.367
47,1670757.638,1729884.966,2218087.325,136590.333
48,1670757.638,1709011.315,1896644.425,57201.906
49,1667687.888,1721514.244,2103768.075,100485.263
50,1667687.888,1719354.614,2215546.325,117602.063
51,1667687.888,1719727.275,2122710.788,86488.684
52,1667687.888,1727222.291,2181085.950,125647.207
53,1667687.888,1771934.052,2192254.163,156020.041
54,1667687.888,1731531.508,2133635.587,133498.370
55,1667687.888,1753968.318,2192722.087,151381.511
56,1667687.888,1772951.889,2891039.888,219435.517
57,1667687.888,1730814.711,2121528.663,121714.308
58,1667687.888,1770720.966,2260166.738,173639.079
59,1667687.888,1724257.753,2126750.612,118788.747
60,1667687.888,1724261.938,2120851.538,101476.163
61,1667687.888,1722463.477,2101740.888,112108.770
62,1667687.888,1750777.235,2130598.138,139616.481
63,1667687.888,1735365.675,2192254.163,121199.644
64,1667687.888,1736185.235,2122885.325,130757.347
65,1667687.888,1741932.188,2128084.263,139654.359
66,1667687.888,1747754.421,2227277.087,170370.347
67,1667687.888,1731931.365,2058674.288,97112.149
68,1667687.888,1737658.764,2366011.688,145689.517
69,1667687.888,1751646.742,2192254.163,159134.824
70,1667687.888,1709515.126,1988587.775,75500.097
71,1667687.888,1752054.686,2117881.700,142666.248
72,1667687.888,1717808.018,2130314.562,108813.621
73,1667687.888,1724868.037,2139812.800,114132.689
74,1667687.888,1736906.933,2128972.938,127263.058
75,1667687.888,1734333.372,2199540.350,130201.099
76,1667687.888,1773992.814,2310918.488,177219.292
77,1649026.938,1749992.118,2120502.713,139095.731
78,1649436.938,1740199.657,2136182.150,128022.832
79,1649436.938,1720371.266,2174471.138,127701.445
80,1649436.938,1723968.480,2347760.738,153602.930
81,1649026.938,1709487.487,2173613.938,123617.867
82,1649026.938,1715760.820,2179801.625,145176.674
83,1649026.938,1687525.489,2075632.525,81828.300
84,1648711.000,1690580.949,2174471.138,108481.274
85,1648711.000,1706435.421,2084510.900,108540.583
86,1648711.000,1741621.459,2292257.538,183597.084
87,1648711.000,1699354.170,2157586.750,109125.356
88,1648711.000,1699706.544,2102867.712,94899.109
89,1648711.000,1734175.838,2229649.237,148523.354
90,1648711.000,1712520.085,2291941.600,145746.036
91,1648711.000,1695917.226,2084194.963,106813.647
92,1648711.000,1733340.783,2118793.487,157758.573
93,1648711.000,1758774.473,2347034.800,176386.175
94,1648711.000,1700680.502,2265102.625,133077.825
95,1648711.000,1727367.327,2157586.750,154214.643
96,1644288.113,1679104.035,2071009.000,77311.172
97,1645459.188,1725776.309,2183398.925,136607.964
98,1647544.338,1663336.183,1756209.763,21516.529
99,1644820.450,1736342.702,2116220.625,149446.870
100,1642978.175,1723214.261,2161015.663,145109.337
101,1642978.175,1678122.784,2083247.863,74915.696
102,1642947.475,1715300.667,2082952.200,107637.768
103,1641105.200,1713611.646,2171333.325,125958.726
104,1641105.200,1694681.694,2109393.775,90664.723
105,1641105.200,1692240.161,2095696.500,100489.369
106,1641105.200,1742345.165,2141504.212,171942.461
107,1641105.200,1685464.127,1986985.400,77427.429
108,1641105.200,1727169.515,2179910.175,145691.764
109,1641105.200,1698184.950,2104261.087,120429.140
110,1641105.200,1711788.387,2129280.400,136668.063
111,1641105.200,1686002.650,2079769.288,84720.115
112,1641105.200,1726587.459,2111803.513,145840.223
113,1641105.200,1698426.125,2106486.988,104483.252
114,1641105.200,1702143.792,2076169.700,110774.585
