iteration,constructed,improved,best
1,1.26297e+06,1.25287e+06,1.25287e+06
2,1.24605e+06,1.24084e+06,1.24084e+06
3,1.28389e+06,1.26451e+06,1.24084e+06
4,1.27198e+06,1.26315e+06,1.24084e+06
5,1.33321e+06,1.31709e+06,1.24084e+06
6,1.28406e+06,1.28013e+06,1.24084e+06
7,1.34579e+06,1.3347e+06,1.24084e+06
8,1.28275e+06,1.28275e+06,1.24084e+06
9,1.29722e+06,1.29696e+06,1.24084e+06
10,1.35515e+06,1.3503e+06,1.24084e+06
11,1.3058e+06,1.30453e+06,1.24084e+06
12,1.27498e+06,1.24923e+06,1.24084e+06
13,1.32345e+06,1.32281e+06,1.24084e+06
14,1.28977e+06,1.25812e+06,1.24084e+06
15,1.30301e+06,1.29846e+06,1.24084e+06
16,1.31809e+06,1.3107e+06,1.24084e+06
17,1.25288e+06,1.25278e+06,1.24084e+06
18,1.28899e+06,1.28434e+06,1.24084e+06
19,1.33196e+06,1.32985e+06,1.24084e+06
20,1.30131e+06,1.27655e+06,1.24084e+06
21,1.30705e+06,1.30285e+06,1.24084e+06
22,1.29461e+06,1.29379e+06,1.24084e+06
23,1.32268e+06,1.28076e+06,1.24084e+06
24,1.30324e+06,1.29923e+06,1.24084e+06
25,1.33489e+06,1.31066e+06,1.24084e+06
26,1.21478e+06,1.21415e+06,1.21415e+06
27,1.3111e+06,1.30374e+06,1.21415e+06
28,1.32632e+06,1.26756e+06,1.21415e+06
29,1.2639e+06,1.25895e+06,1.21415e+06
30,1.31507e+06,1.30426e+06,1.21415e+06
31,1.25737e+06,1.25603e+06,1.21415e+06
32,1.25857e+06,1.23999e+06,1.21415e+06
33,1.32727e+06,1.31053e+06,1.21415e+06
34,1.34988e+06,1.3461e+06,1.21415e+06
35,1.37386e+06,1.34757e+06,1.21415e+06
36,1.22901e+06,1.22466e+06,1.21415e+06
37,1.29102e+06,1.24815e+06,1.21415e+06
38,1.29088e+06,1.22197e+06,1.21415e+06
39,1.2797e+06,1.25529e+06,1.21415e+06
40,1.35123e+06,1.32862e+06,1.21415e+06
41,1.36106e+06,1.32896e+06,1.21415e+06
42,1.32518e+06,1.30036e+06,1.21415e+06
43,1.29171e+06,1.29171e+06,1.21415e+06
44,1.27884e+06,1.27194e+06,1.21415e+06
45,1.27048e+06,1.26075e+06,1.21415e+06
46,1.3636e+06,1.34777e+06,1.21415e+06
47,1.30284e+06,1.26636e+06,1.21415e+06
48,1.24881e+06,1.24534e+06,1.21415e+06
49,1.3354e+06,1.33273e+06,1.21415e+06
50,1.25198e+06,1.2473e+06,1.21415e+06
51,1.31224e+06,1.30744e+06,1.21415e+06
52,1.28945e+06,1.26318e+06,1.21415e+06
53,1.33237e+06,1.32311e+06,1.21415e+06
54,1.25673e+06,1.24102e+06,1.21415e+06
55,1.25656e+06,1.25645e+06,1.21415e+06
56,1.29622e+06,1.28296e+06,1.21415e+06
57,1.30059e+06,1.30036e+06,1.21415e+06
58,1.2407e+06,1.2387e+06,1.21415e+06
59,1.3143e+06,1.31185e+06,1.21415e+06
60,1.31043e+06,1.30574e+06,1.21415e+06
61,1.33658e+06,1.33334e+06,1.21415e+06
62,1.35197e+06,1.32693e+06,1.21415e+06
63,1.32133e+06,1.28357e+06,1.21415e+06
64,1.2813e+06,1.27096e+06,1.21415e+06
65,1.33113e+06,1.30494e+06,1.21415e+06
66,1.27513e+06,1.25631e+06,1.21415e+06
67,1.38658e+06,1.34505e+06,1.21415e+06
68,1.37522e+06,1.36952e+06,1.21415e+06
69,1.29551e+06,1.27406e+06,1.21415e+06
70,1.32319e+06,1.31236e+06,1.21415e+06
71,1.33092e+06,1.31566e+06,1.21415e+06
72,1.28921e+06,1.28906e+06,1.21415e+06
73,1.30845e+06,1.2765e+06,1.21415e+06
74,1.25206e+06,1.24723e+06,1.21415e+06
75,1.27903e+06,1.26205e+06,1.21415e+06
76,1.25126e+06,1.25126e+06,1.21415e+06
77,1.35522e+06,1.35244e+06,1.21415e+06
78,1.33434e+06,1.2784e+06,1.21415e+06
79,1.29389e+06,1.28703e+06,1.21415e+06
80,1.30247e+06,1.2972e+06,1.21415e+06
81,1.35369e+06,1.33902e+06,1.21415e+06
82,1.34908e+06,1.3456e+06,1.21415e+06
83,1.4062e+06,1.32996e+06,1.21415e+06
84,1.25382e+06,1.2477e+06,1.21415e+06
85,1.33502e+06,1.26548e+06,1.21415e+06
86,1.32892e+06,1.32295e+06,1.21415e+06
87,1.34779e+06,1.29546e+06,1.21415e+06
88,1.3214e+06,1.31675e+06,1.21415e+06
89,1.3275e+06,1.32031e+06,1.21415e+06
90,1.35043e+06,1.34271e+06,1.21415e+06
91,1.36539e+06,1.36525e+06,1.21415e+06
92,1.35534e+06,1.32147e+06,1.21415e+06
93,1.3423e+06,1.29092e+06,1.21415e+06
94,1.28155e+06,1.27631e+06,1.21415e+06
95,1.32145e+06,1.31368e+06,1.21415e+06
96,1.28651e+06,1.2609e+06,1.21415e+06
97,1.36909e+06,1.36812e+06,1.21415e+06
98,1.34726e+06,1.33785e+06,1.21415e+06
99,1.29779e+06,1.29513e+06,1.21415e+06
100,1.24882e+06,1.24557e+06,1.21415e+06
