iteration,constructed,improved,best
1,1.77352e+06,1.7566e+06,1.7566e+06
2,1.7985e+06,1.67846e+06,1.67846e+06
3,2.00734e+06,1.88151e+06,1.67846e+06
4,1.78168e+06,1.73129e+06,1.67846e+06
5,1.79642e+06,1.76341e+06,1.67846e+06
6,1.86706e+06,1.77461e+06,1.67846e+06
7,1.83593e+06,1.79915e+06,1.67846e+06
8,1.67546e+06,1.66253e+06,1.66253e+06
9,1.94474e+06,1.74901e+06,1.66253e+06
10,1.82915e+06,1.78351e+06,1.66253e+06
11,1.97548e+06,1.88171e+06,1.66253e+06
12,1.88111e+06,1.80266e+06,1.66253e+06
13,1.88352e+06,1.87954e+06,1.66253e+06
14,1.86205e+06,1.71213e+06,1.66253e+06
15,1.83913e+06,1.77245e+06,1.66253e+06
16,1.93204e+06,1.83086e+06,1.66253e+06
17,1.89279e+06,1.83921e+06,1.66253e+06
18,1.78975e+06,1.76644e+06,1.66253e+06
19,1.74985e+06,1.6685e+06,1.66253e+06
20,1.85446e+06,1.78402e+06,1.66253e+06
21,1.97314e+06,1.86123e+06,1.66253e+06
22,1.88897e+06,1.81578e+06,1.66253e+06
23,2.00657e+06,1.86856e+06,1.66253e+06
24,1.75618e+06,1.70221e+06,1.66253e+06
25,1.89624e+06,1.78147e+06,1.66253e+06
26,1.83074e+06,1.81148e+06,1.66253e+06
27,1.85459e+06,1.7303e+06,1.66253e+06
28,1.98521e+06,1.92967e+06,1.66253e+06
29,1.96635e+06,1.80803e+06,1.66253e+06
30,1.79983e+06,1.79953e+06,1.66253e+06
31,1.98017e+06,1.95886e+06,1.66253e+06
32,1.91437e+06,1.87595e+06,1.66253e+06
33,1.85432e+06,1.77407e+06,1.66253e+06
34,1.84528e+06,1.80729e+06,1.66253e+06
35,1.87505e+06,1.76429e+06,1.66253e+06
36,1.91195e+06,1.86679e+06,1.66253e+06
37,1.75041e+06,1.73703e+06,1.66253e+06
38,1.76067e+06,1.73322e+06,1.66253e+06
39,1.89924e+06,1.81336e+06,1.66253e+06
40,1.84336e+06,1.70263e+06,1.66253e+06
