iteration,constructed,improved,best
1,1.95661e+06,1.95263e+06,1.95263e+06
2,2.04241e+06,1.90968e+06,1.90968e+06
3,1.78425e+06,1.78338e+06,1.78338e+06
4,1.9375e+06,1.92262e+06,1.78338e+06
5,1.89793e+06,1.86112e+06,1.78338e+06
6,1.80858e+06,1.72094e+06,1.72094e+06
7,1.75753e+06,1.74555e+06,1.72094e+06
8,1.99319e+06,1.94342e+06,1.72094e+06
9,1.82808e+06,1.82133e+06,1.72094e+06
10,1.74691e+06,1.71827e+06,1.71827e+06
11,1.93843e+06,1.85201e+06,1.71827e+06
12,1.82529e+06,1.81441e+06,1.71827e+06
13,1.84181e+06,1.76634e+06,1.71827e+06
14,1.75793e+06,1.75731e+06,1.71827e+06
15,1.90396e+06,1.89613e+06,1.71827e+06
16,1.98924e+06,1.7828e+06,1.71827e+06
17,1.85415e+06,1.82817e+06,1.71827e+06
18,1.9486e+06,1.92612e+06,1.71827e+06
19,1.8202e+06,1.80137e+06,1.71827e+06
20,1.83881e+06,1.83127e+06,1.71827e+06
21,1.75592e+06,1.75592e+06,1.71827e+06
22,1.85324e+06,1.84289e+06,1.71827e+06
23,1.92363e+06,1.78774e+06,1.71827e+06
24,1.75534e+06,1.75533e+06,1.71827e+06
25,1.78125e+06,1.77787e+06,1.71827e+06
26,1.9103e+06,1.89113e+06,1.71827e+06
27,1.71733e+06,1.7137e+06,1.7137e+06
28,1.83887e+06,1.8388e+06,1.7137e+06
29,1.84169e+06,1.78304e+06,1.7137e+06
30,1.81562e+06,1.7969e+06,1.7137e+06
31,1.93832e+06,1.92765e+06,1.7137e+06
32,1.71155e+06,1.69128e+06,1.69128e+06
33,1.8708e+06,1.82187e+06,1.69128e+06
34,1.81519e+06,1.75601e+06,1.69128e+06
35,1.9276e+06,1.92087e+06,1.69128e+06
36,1.90717e+06,1.85849e+06,1.69128e+06
37,1.78951e+06,1.77673e+06,1.69128e+06
38,1.94943e+06,1.93903e+06,1.69128e+06
39,1.86462e+06,1.86245e+06,1.69128e+06
40,1.99581e+06,1.86981e+06,1.69128e+06
41,1.75069e+06,1.73525e+06,1.69128e+06
42,1.83454e+06,1.82411e+06,1.69128e+06
43,1.99009e+06,1.92831e+06,1.69128e+06
44,1.8926e+06,1.84579e+06,1.69128e+06
45,1.76575e+06,1.76026e+06,1.69128e+06
46,1.81898e+06,1.81761e+06,1.69128e+06
47,1.66122e+06,1.66122e+06,1.66122e+06
48,1.90414e+06,1.86211e+06,1.66122e+06
49,1.79166e+06,1.7767e+06,1.66122e+06
50,1.70764e+06,1.70723e+06,1.66122e+06
51,1.83838e+06,1.78718e+06,1.66122e+06
52,1.91932e+06,1.77298e+06,1.66122e+06
53,1.90819e+06,1.79461e+06,1.66122e+06
54,1.98893e+06,1.90888e+06,1.66122e+06
55,1.79698e+06,1.78131e+06,1.66122e+06
56,1.89517e+06,1.81467e+06,1.66122e+06
57,1.75571e+06,1.72175e+06,1.66122e+06
58,1.82834e+06,1.76415e+06,1.66122e+06
59,1.83946e+06,1.79509e+06,1.66122e+06
60,1.8449e+06,1.78346e+06,1.66122e+06
61,1.77724e+06,1.7464e+06,1.66122e+06
62,1.79986e+06,1.79381e+06,1.66122e+06
63,1.90118e+06,1.8852e+06,1.66122e+06
64,1.94541e+06,1.86472e+06,1.66122e+06
65,1.89669e+06,1.88779e+06,1.66122e+06
66,1.81273e+06,1.79991e+06,1.66122e+06
67,1.84654e+06,1.83086e+06,1.66122e+06
68,1.84998e+06,1.78195e+06,1.66122e+06
69,1.88643e+06,1.80724e+06,1.66122e+06
70,1.9031e+06,1.83854e+06,1.66122e+06
71,1.84584e+06,1.82902e+06,1.66122e+06
72,1.85524e+06,1.7977e+06,1.66122e+06
73,1.82544e+06,1.82358e+06,1.66122e+06
74,1.74674e+06,1.74674e+06,1.66122e+06
75,1.89276e+06,1.87172e+06,1.66122e+06
76,1.84042e+06,1.82995e+06,1.66122e+06
77,1.78628e+06,1.77402e+06,1.66122e+06
78,1.86978e+06,1.82876e+06,1.66122e+06
79,1.78326e+06,1.77026e+06,1.66122e+06
80,1.826e+06,1.81713e+06,1.66122e+06
81,1.84188e+06,1.81691e+06,1.66122e+06
82,1.8793e+06,1.87881e+06,1.66122e+06
83,1.8745e+06,1.87264e+06,1.66122e+06
84,1.85326e+06,1.8147e+06,1.66122e+06
85,2.04881e+06,1.98127e+06,1.66122e+06
86,2.05936e+06,1.9716e+06,1.66122e+06
87,1.77838e+06,1.77728e+06,1.66122e+06
88,1.83723e+06,1.8305e+06,1.66122e+06
89,1.76612e+06,1.73584e+06,1.66122e+06
90,1.939e+06,1.89806e+06,1.66122e+06
91,1.7794e+06,1.74139e+06,1.66122e+06
92,1.96403e+06,1.96403e+06,1.66122e+06
93,1.89553e+06,1.87518e+06,1.66122e+06
94,1.86711e+06,1.7845e+06,1.66122e+06
95,1.99591e+06,1.98353e+06,1.66122e+06
96,1.95267e+06,1.94643e+06,1.66122e+06
97,1.88296e+06,1.87235e+06,1.66122e+06
98,1.91968e+06,1.90531e+06,1.66122e+06
99,1.97215e+06,1.95467e+06,1.66122e+06
100,1.89696e+06,1.89696e+06,1.66122e+06
