iteration,constructed,improved,best
1,2.12847e+06,2.0354e+06,2.0354e+06
2,2.18184e+06,1.9746e+06,1.9746e+06
3,2.20041e+06,1.91878e+06,1.91878e+06
4,2.08799e+06,1.9079e+06,1.9079e+06
5,2.01109e+06,1.91199e+06,1.9079e+06
6,2.06281e+06,1.76646e+06,1.76646e+06
7,2.17562e+06,2.07868e+06,1.76646e+06
8,2.04806e+06,1.86323e+06,1.76646e+06
9,2.00184e+06,1.89922e+06,1.76646e+06
10,2.35795e+06,2.13736e+06,1.76646e+06
11,2.24684e+06,1.91474e+06,1.76646e+06
12,2.29421e+06,2.01983e+06,1.76646e+06
13,1.91002e+06,1.80431e+06,1.76646e+06
14,2.36207e+06,2.01781e+06,1.76646e+06
15,2.41647e+06,1.95722e+06,1.76646e+06
16,2.28683e+06,1.81425e+06,1.76646e+06
17,2.20003e+06,2.15063e+06,1.76646e+06
18,2.06624e+06,1.88759e+06,1.76646e+06
19,2.15225e+06,2.10258e+06,1.76646e+06
20,2.26765e+06,1.89306e+06,1.76646e+06
21,2.23088e+06,1.77241e+06,1.76646e+06
22,2.1991e+06,1.98725e+06,1.76646e+06
23,1.99884e+06,1.81811e+06,1.76646e+06
24,2.2045e+06,2.04805e+06,1.76646e+06
25,2.24219e+06,1.97045e+06,1.76646e+06
26,2.2801e+06,1.95237e+06,1.76646e+06
27,1.8158e+06,1.74608e+06,1.74608e+06
28,2.32056e+06,2.20987e+06,1.74608e+06
29,2.29644e+06,1.96862e+06,1.74608e+06
30,2.16287e+06,2.01674e+06,1.74608e+06
31,2.06135e+06,1.85922e+06,1.74608e+06
32,2.14852e+06,1.9264e+06,1.74608e+06
33,2.25053e+06,1.98076e+06,1.74608e+06
34,1.94517e+06,1.89623e+06,1.74608e+06
35,2.01373e+06,1.91948e+06,1.74608e+06
36,2.11118e+06,1.97868e+06,1.74608e+06
37,2.27583e+06,1.98594e+06,1.74608e+06
38,2.0818e+06,2.01086e+06,1.74608e+06
39,2.26857e+06,2.0212e+06,1.74608e+06
40,2.12024e+06,1.90705e+06,1.74608e+06
41,2.30769e+06,2.04085e+06,1.74608e+06
42,1.95026e+06,1.78187e+06,1.74608e+06
43,2.23405e+06,1.94246e+06,1.74608e+06
44,2.24657e+06,2.03333e+06,1.74608e+06
45,2.04275e+06,1.97029e+06,1.74608e+06
46,2.05743e+06,1.93003e+06,1.74608e+06
47,2.45982e+06,2.29538e+06,1.74608e+06
48,2.13121e+06,1.96184e+06,1.74608e+06
49,2.27797e+06,2.07866e+06,1.74608e+06
50,2.04742e+06,1.82616e+06,1.74608e+06
51,2.02739e+06,1.89136e+06,1.74608e+06
52,2.33683e+06,2.12892e+06,1.74608e+06
53,2.05662e+06,2.02639e+06,1.74608e+06
54,2.15779e+06,2.00734e+06,1.74608e+06
55,1.92926e+06,1.87145e+06,1.74608e+06
56,2.15341e+06,1.81101e+06,1.74608e+06
57,2.0533e+06,1.84631e+06,1.74608e+06
58,2.13984e+06,1.82991e+06,1.74608e+06
59,2.23958e+06,2.10447e+06,1.74608e+06
60,2.30509e+06,2.16185e+06,1.74608e+06
61,2.04511e+06,1.90181e+06,1.74608e+06
62,2.28751e+06,2.12108e+06,1.74608e+06
63,2.19739e+06,2.1178e+06,1.74608e+06
64,2.03856e+06,1.87239e+06,1.74608e+06
65,2.08114e+06,1.8091e+06,1.74608e+06
66,2.20798e+06,2.05246e+06,1.74608e+06
67,2.16646e+06,1.91051e+06,1.74608e+06
68,2.02682e+06,1.96591e+06,1.74608e+06
69,2.30101e+06,2.1727e+06,1.74608e+06
70,2.26805e+06,1.96846e+06,1.74608e+06
71,2.29088e+06,2.05354e+06,1.74608e+06
72,2.04088e+06,1.8236e+06,1.74608e+06
73,2.14869e+06,1.97929e+06,1.74608e+06
74,1.94123e+06,1.81936e+06,1.74608e+06
75,2.0718e+06,1.95023e+06,1.74608e+06
76,2.23965e+06,1.99516e+06,1.74608e+06
77,2.0488e+06,1.94917e+06,1.74608e+06
78,2.02567e+06,1.89648e+06,1.74608e+06
79,2.11304e+06,1.90605e+06,1.74608e+06
80,1.88405e+06,1.81618e+06,1.74608e+06
81,2.26425e+06,2.01901e+06,1.74608e+06
82,2.09904e+06,1.89311e+06,1.74608e+06
83,2.39029e+06,1.96325e+06,1.74608e+06
84,1.99028e+06,1.91769e+06,1.74608e+06
85,2.14859e+06,1.78049e+06,1.74608e+06
86,2.31056e+06,2.06092e+06,1.74608e+06
87,2.35911e+06,2.14867e+06,1.74608e+06
88,2.38308e+06,1.90928e+06,1.74608e+06
89,2.10715e+06,1.77719e+06,1.74608e+06
90,2.11687e+06,1.92336e+06,1.74608e+06
91,2.30321e+06,2.02598e+06,1.74608e+06
92,2.26835e+06,1.98841e+06,1.74608e+06
93,2.31206e+06,2.03348e+06,1.74608e+06
94,2.46049e+06,2.25425e+06,1.74608e+06
95,2.16175e+06,1.81659e+06,1.74608e+06
96,2.29978e+06,2.13291e+06,1.74608e+06
97,2.31791e+06,2.17783e+06,1.74608e+06
98,2.03142e+06,1.92742e+06,1.74608e+06
99,2.11605e+06,2.04583e+06,1.74608e+06
100,2.20952e+06,2.05251e+06,1.74608e+06
