iteration,current,best,temp
1,4.65346e+06,4.65346e+06,180000.000000
2,4655465.862500,4653461.937500,180000.000000
3,4650193.362500,4650193.362500,180000.000000
4,4650193.362500,4650193.362500,180000.000000
5,4638962.200000,4638962.200000,180000.000000
6,4588899.637500,4588899.637500,178200.000000
7,4537889.987500,4537889.987500,178200.000000
8,4545284.050000,4537889.987500,178200.000000
9,4545284.050000,4537889.987500,178200.000000
10,4575747.787500,4537889.987500,178200.000000
11,4577324.362500,4537889.987500,176418.000000
12,4506848.437500,4506848.437500,176418.000000
13,4502917.687500,4502917.687500,176418.000000
14,4581247.312500,4502917.687500,176418.000000
15,4581247.312500,4502917.687500,176418.000000
16,3481467.712500,3481467.712500,174653.820000
17,3481467.712500,3481467.712500,174653.820000
18,3478224.612500,3478224.612500,174653.820000
19,3477910.700000,3477910.700000,174653.820000
20,3479278.137500,3477910.700000,174653.820000
21,3484007.337500,3477910.700000,172907.281800
22,3491916.200000,3477910.700000,172907.281800
23,3491916.200000,3477910.700000,172907.281800
24,3510225.375000,3477910.700000,172907.281800
25,3477638.950000,3477638.950000,172907.281800
26,3481529.100000,3477638.950000,171178.208982
27,3476396.362500,3476396.362500,171178.208982
28,3471445.612500,3471445.612500,171178.208982
29,3471760.537500,3471445.612500,171178.208982
30,3511807.912500,3471445.612500,171178.208982
31,3496889.600000,3471445.612500,169466.426892
32,3525874.137500,3471445.612500,169466.426892
33,3527460.300000,3471445.612500,169466.426892
34,3506647.987500,3471445.612500,169466.426892
35,3498179.175000,3471445.612500,169466.426892
36,3459140.025000,3459140.025000,167771.762623
37,3422909.850000,3422909.850000,167771.762623
38,3434851.725000,3422909.850000,167771.762623
39,3430276.725000,3422909.850000,167771.762623
40,3420730.650000,3420730.650000,167771.762623
41,3407301.225000,3407301.225000,166094.044997
42,3293647.500000,3293647.500000,166094.044997
43,3227326.500000,3227326.500000,166094.044997
44,3195221.100000,3195221.100000,166094.044997
45,3187699.850000,3187699.850000,166094.044997
46,3175757.975000,3175757.975000,164433.104547
47,3172813.962500,3172813.962500,164433.104547
48,3173674.437500,3172813.962500,164433.104547
49,3181743.237500,3172813.962500,164433.104547
50,3181743.237500,3172813.962500,164433.104547
51,3241858.100000,3172813.962500,162788.773502
52,3100347.450000,3100347.450000,162788.773502
53,3100347.450000,3100347.450000,162788.773502
54,3091384.650000,3091384.650000,162788.773502
55,3089069.025000,3089069.025000,162788.773502
56,3088758.775000,3088758.775000,161160.885767
57,3088758.775000,3088758.775000,161160.885767
58,3092684.350000,3088758.775000,161160.885767
59,3064446.750000,3064446.750000,161160.885767
60,3104787.750000,3064446.750000,161160.885767
61,3104787.750000,3064446.750000,159549.276909
62,3104787.750000,3064446.750000,159549.276909
63,3109541.475000,3064446.750000,159549.276909
64,3109541.475000,3064446.750000,159549.276909
65,3148580.625000,3064446.750000,159549.276909
66,3150006.337500,3064446.750000,157953.784140
67,3193592.925000,3064446.750000,157953.784140
68,3193062.225000,3064446.750000,157953.784140
69,3193188.400000,3064446.750000,157953.784140
70,3150603.175000,3064446.750000,157953.784140
71,3113721.925000,3064446.750000,156374.246298
72,3114190.862500,3064446.750000,156374.246298
73,3114350.862500,3064446.750000,156374.246298
74,3110302.062500,3064446.750000,156374.246298
75,3110302.062500,3064446.750000,156374.246298
76,3103794.112500,3064446.750000,154810.503835
77,3068421.012500,3064446.750000,154810.503835
78,3066880.875000,3064446.750000,154810.503835
79,3064573.375000,3064446.750000,154810.503835
80,3025967.125000,3025967.125000,154810.503835
81,3025982.350000,3025967.125000,153262.398797
82,3025880.125000,3025880.125000,153262.398797
83,3034344.462500,3025880.125000,153262.398797
84,3035716.862500,3025880.125000,153262.398797
85,3035489.337500,3025880.125000,153262.398797
86,3040624.887500,3025880.125000,151729.774809
87,3052346.362500,3025880.125000,151729.774809
88,3056153.662500,3025880.125000,151729.774809
89,3053189.862500,3025880.125000,151729.774809
90,3053189.862500,3025880.125000,151729.774809
91,3054994.900000,3025880.125000,150212.477061
92,3010850.862500,3010850.862500,150212.477061
93,3002761.187500,3002761.187500,150212.477061
94,2954946.725000,2954946.725000,150212.477061
95,2954946.725000,2954946.725000,150212.477061
96,2963909.525000,2954946.725000,148710.352290
97,2946890.825000,2946890.825000,148710.352290
98,2946890.825000,2946890.825000,148710.352290
99,2977716.950000,2946890.825000,148710.352290
100,2995122.387500,2946890.825000,148710.352290
101,2995122.387500,2946890.825000,147223.248768
102,3012764.475000,2946890.825000,147223.248768
103,3000173.850000,2946890.825000,147223.248768
104,2982768.412500,2946890.825000,147223.248768
105,2962085.475000,2946890.825000,147223.248768
106,2952817.412500,2946890.825000,145751.016280
107,2984026.300000,2946890.825000,145751.016280
108,2984026.300000,2946890.825000,145751.016280
109,2985365.012500,2946890.825000,145751.016280
110,2985365.012500,2946890.825000,145751.016280
111,2985014.712500,2946890.825000,144293.506117
112,2984955.037500,2946890.825000,144293.506117
113,2998149.600000,2946890.825000,144293.506117
114,2996218.387500,2946890.825000,144293.506117
115,2985092.025000,2946890.825000,144293.506117
116,3040983.275000,2946890.825000,142850.571056
117,3040059.275000,2946890.825000,142850.571056
118,3028711.487500,2946890.825000,142850.571056
119,3046216.637500,2946890.825000,142850.571056
120,3044422.112500,2946890.825000,142850.571056
121,3047340.550000,2946890.825000,141422.065345
122,3053020.625000,2946890.825000,141422.065345
123,3053706.012500,2946890.825000,141422.065345
124,3052856.487500,2946890.825000,141422.065345
125,3052856.487500,2946890.825000,141422.065345
126,3048245.325000,2946890.825000,140007.844692
127,3061659.225000,2946890.825000,140007.844692
128,3028655.900000,2946890.825000,140007.844692
129,3028655.900000,2946890.825000,140007.844692
130,3029523.900000,2946890.825000,140007.844692
131,3029523.900000,2946890.825000,138607.766245
132,3029523.900000,2946890.825000,138607.766245
133,3019380.712500,2946890.825000,138607.766245
134,2969159.100000,2946890.825000,138607.766245
135,2969159.100000,2946890.825000,138607.766245
136,2982033.150000,2946890.825000,137221.688582
137,2982033.150000,2946890.825000,137221.688582
138,3012859.275000,2946890.825000,137221.688582
139,2999445.375000,2946890.825000,137221.688582
140,2995901.225000,2946890.825000,137221.688582
141,2997001.437500,2946890.825000,135849.471697
142,3014685.062500,2946890.825000,135849.471697
143,3023953.125000,2946890.825000,135849.471697
144,3015771.587500,2946890.825000,135849.471697
145,3015771.587500,2946890.825000,135849.471697
146,3006923.275000,2946890.825000,134490.976980
147,2782230.200000,2782230.200000,134490.976980
148,2783835.375000,2782230.200000,134490.976980
149,2784470.175000,2782230.200000,134490.976980
150,2785957.187500,2782230.200000,134490.976980
151,3036175.487500,2782230.200000,133146.067210
152,3036396.687500,2782230.200000,133146.067210
153,3036396.687500,2782230.200000,133146.067210
154,3036396.687500,2782230.200000,133146.067210
155,3030381.287500,2782230.200000,133146.067210
156,2975728.900000,2782230.200000,131814.606538
157,2975728.900000,2782230.200000,131814.606538
158,2975728.900000,2782230.200000,131814.606538
