iteration,current,best,temp
1,3.33148e+06,3.33148e+06,180000.000000
2,3330624.075000,3330624.075000,180000.000000
3,3329395.575000,3329395.575000,180000.000000
4,3324137.325000,3324137.325000,180000.000000
5,3319282.637500,3319282.637500,180000.000000
6,3315465.500000,3315465.500000,179100.000000
7,3314463.687500,3314463.687500,179100.000000
8,3317008.887500,3314463.687500,179100.000000
9,3323222.787500,3314463.687500,179100.000000
10,3322109.737500,3314463.687500,179100.000000
11,3345954.262500,3314463.687500,178204.500000
12,3344578.487500,3314463.687500,178204.500000
13,3344954.887500,3314463.687500,178204.500000
14,3345349.137500,3314463.687500,178204.500000
15,3343255.562500,3314463.687500,178204.500000
16,3342919.512500,3314463.687500,177313.477500
17,3302050.450000,3302050.450000,177313.477500
18,2921788.175000,2921788.175000,177313.477500
19,2921249.550000,2921249.550000,177313.477500
20,2920325.550000,2920325.550000,177313.477500
21,2918591.175000,2918591.175000,176426.910113
22,3008651.175000,2918591.175000,176426.910113
23,2959605.337500,2918591.175000,176426.910113
24,2959932.137500,2918591.175000,176426.910113
25,2949807.575000,2918591.175000,176426.910113
26,2946870.075000,2918591.175000,175544.775562
27,2946870.075000,2918591.175000,175544.775562
28,2944468.775000,2918591.175000,175544.775562
29,2944061.637500,2918591.175000,175544.775562
30,2939130.200000,2918591.175000,175544.775562
31,2939881.600000,2918591.175000,174667.051684
32,2941458.175000,2918591.175000,174667.051684
33,2945439.475000,2918591.175000,174667.051684
34,2955669.550000,2918591.175000,174667.051684
35,2954092.975000,2918591.175000,174667.051684
36,2922761.125000,2918591.175000,173793.716426
37,2906547.375000,2906547.375000,173793.716426
38,2906156.100000,2906156.100000,173793.716426
39,2906156.100000,2906156.100000,173793.716426
40,2906156.100000,2906156.100000,173793.716426
41,2919924.850000,2906156.100000,172924.747844
42,2921142.550000,2906156.100000,172924.747844
43,2922987.737500,2906156.100000,172924.747844
44,2909392.337500,2906156.100000,172924.747844
45,2909997.475000,2906156.100000,172924.747844
46,2903333.825000,2903333.825000,172060.124104
47,2906921.712500,2903333.825000,172060.124104
48,2909045.262500,2903333.825000,172060.124104
49,2882125.837500,2882125.837500,172060.124104
50,2882125.837500,2882125.837500,172060.124104
51,2883264.475000,2882125.837500,171199.823484
52,2886158.462500,2882125.837500,171199.823484
53,2886158.462500,2882125.837500,171199.823484
54,2886158.462500,2882125.837500,171199.823484
55,2885671.262500,2882125.837500,171199.823484
56,2795611.262500,2795611.262500,170343.824366
57,2797867.637500,2795611.262500,170343.824366
58,2793366.962500,2793366.962500,170343.824366
59,2791510.487500,2791510.487500,170343.824366
60,2790293.612500,2790293.612500,170343.824366
61,2793686.425000,2790293.612500,169492.105245
62,2781047.925000,2781047.925000,169492.105245
63,2776466.387500,2776466.387500,169492.105245
64,2765348.537500,2765348.537500,169492.105245
65,2763873.850000,2763873.850000,169492.105245
66,2763873.850000,2763873.850000,168644.644718
67,2763873.850000,2763873.850000,168644.644718
68,2753163.325000,2753163.325000,168644.644718
69,2748337.325000,2748337.325000,168644.644718
70,2744944.512500,2744944.512500,168644.644718
71,2735219.662500,2735219.662500,167801.421495
72,2735219.662500,2735219.662500,167801.421495
