iteration,current,best,temp
1,3.17861e+06,3.17229e+06,180000.000000
2,3177872.075000,3172291.275000,180000.000000
3,3193940.675000,3172291.275000,180000.000000
4,3198216.950000,3172291.275000,180000.000000
5,3198433.350000,3172291.275000,180000.000000
6,3026625.800000,3026625.800000,180000.000000
7,3011710.350000,3011710.350000,180000.000000
8,2978680.437500,2978680.437500,180000.000000
9,2975427.750000,2975427.750000,180000.000000
10,2971967.125000,2971967.125000,180000.000000
11,2898852.625000,2898852.625000,179100.000000
12,2904168.850000,2898852.625000,179100.000000
13,2899561.975000,2898852.625000,179100.000000
14,2894083.775000,2894083.775000,179100.000000
15,2897881.937500,2894083.775000,179100.000000
16,2800366.262500,2800366.262500,179100.000000
17,2787668.825000,2787668.825000,179100.000000
18,2787755.825000,2787668.825000,179100.000000
19,2787755.825000,2787668.825000,179100.000000
20,2783176.900000,2783176.900000,179100.000000
21,2782523.187500,2782523.187500,178204.500000
22,2789159.125000,2782523.187500,178204.500000
23,2729572.800000,2729572.800000,178204.500000
24,2706229.400000,2706229.400000,178204.500000
25,2713884.950000,2706229.400000,178204.500000
26,2724859.475000,2706229.400000,178204.500000
27,2724859.475000,2706229.400000,178204.500000
28,2733733.600000,2706229.400000,178204.500000
29,2685854.600000,2685854.600000,178204.500000
30,2672052.050000,2672052.050000,178204.500000
31,2657113.337500,2657113.337500,177313.477500
32,2657526.587500,2657113.337500,177313.477500
33,2734298.787500,2657113.337500,177313.477500
34,2734298.787500,2657113.337500,177313.477500
35,2780110.325000,2657113.337500,177313.477500
36,2770059.075000,2657113.337500,177313.477500
37,2769679.475000,2657113.337500,177313.477500
38,2769679.475000,2657113.337500,177313.477500
39,2765640.537500,2657113.337500,177313.477500
40,2765463.512500,2657113.337500,177313.477500
41,2778355.150000,2657113.337500,176426.910113
42,2780270.350000,2657113.337500,176426.910113
43,2774190.975000,2657113.337500,176426.910113
44,2774084.800000,2657113.337500,176426.910113
45,2798921.975000,2657113.337500,176426.910113
46,2801880.250000,2657113.337500,176426.910113
47,2790699.437500,2657113.337500,176426.910113
48,2786401.062500,2657113.337500,176426.910113
49,2785554.687500,2657113.337500,176426.910113
50,2757952.950000,2657113.337500,176426.910113
51,2698650.487500,2657113.337500,175544.775562
52,2699961.237500,2657113.337500,175544.775562
53,2689512.337500,2657113.337500,175544.775562
54,2686554.062500,2657113.337500,175544.775562
55,2696794.812500,2657113.337500,175544.775562
56,2696794.812500,2657113.337500,175544.775562
57,2711021.712500,2657113.337500,175544.775562
58,2711021.712500,2657113.337500,175544.775562
59,2751706.175000,2657113.337500,175544.775562
60,2751706.175000,2657113.337500,175544.775562
61,2765367.437500,2657113.337500,174667.051684
62,2717774.125000,2657113.337500,174667.051684
63,2718081.925000,2657113.337500,174667.051684
64,2743314.600000,2657113.337500,174667.051684
65,2742764.600000,2657113.337500,174667.051684
66,2735431.237500,2657113.337500,174667.051684
67,3091301.175000,2657113.337500,174667.051684
68,3092752.362500,2657113.337500,174667.051684
69,3073643.062500,2657113.337500,174667.051684
70,3076601.337500,2657113.337500,174667.051684
71,3076601.337500,2657113.337500,173793.716426
72,3071415.362500,2657113.337500,173793.716426
73,3071415.362500,2657113.337500,173793.716426
74,3073587.112500,2657113.337500,173793.716426
75,3059763.562500,2657113.337500,173793.716426
76,3069182.712500,2657113.337500,173793.716426
77,3115574.112500,2657113.337500,173793.716426
78,2967830.750000,2657113.337500,173793.716426
79,2946384.650000,2657113.337500,173793.716426
80,2948714.050000,2657113.337500,173793.716426
81,2948714.050000,2657113.337500,172924.747844
82,2946542.300000,2657113.337500,172924.747844
83,2945697.300000,2657113.337500,172924.747844
84,2908418.600000,2657113.337500,172924.747844
85,2907104.850000,2657113.337500,172924.747844
86,2802364.025000,2657113.337500,172924.747844
87,2802364.025000,2657113.337500,172924.747844
88,2798130.425000,2657113.337500,172924.747844
89,2797847.662500,2657113.337500,172924.747844
90,2870231.412500,2657113.337500,172924.747844
91,2870231.412500,2657113.337500,172060.124104
92,2863800.712500,2657113.337500,172060.124104
93,2878706.775000,2657113.337500,172060.124104
94,2885486.037500,2657113.337500,172060.124104
95,2906186.262500,2657113.337500,172060.124104
96,2949202.137500,2657113.337500,172060.124104
97,2953688.112500,2657113.337500,172060.124104
98,2920985.912500,2657113.337500,172060.124104
99,2869574.800000,2657113.337500,172060.124104
100,2866069.525000,2657113.337500,172060.124104
101,2864512.162500,2657113.337500,171199.823484
102,2866472.062500,2657113.337500,171199.823484
103,2869220.962500,2657113.337500,171199.823484
104,2967677.562500,2657113.337500,171199.823484
105,2979203.237500,2657113.337500,171199.823484
106,2974650.837500,2657113.337500,171199.823484
107,2971901.937500,2657113.337500,171199.823484
108,2971584.662500,2657113.337500,171199.823484
109,2972439.712500,2657113.337500,171199.823484
110,2996279.787500,2657113.337500,171199.823484
111,2987932.587500,2657113.337500,170343.824366
112,2584118.775000,2584118.775000,170343.824366
113,2582740.150000,2582740.150000,170343.824366
114,2597904.700000,2582740.150000,170343.824366
115,2570609.537500,2570609.537500,170343.824366
116,2570609.537500,2570609.537500,170343.824366
117,2570609.537500,2570609.537500,170343.824366
118,2570609.537500,2570609.537500,170343.824366
119,2573140.887500,2570609.537500,170343.824366
120,2563531.200000,2563531.200000,170343.824366
121,2563531.200000,2563531.200000,169492.105245
122,2563531.200000,2563531.200000,169492.105245
123,2563531.200000,2563531.200000,169492.105245
124,2566231.275000,2563531.200000,169492.105245
125,2566231.275000,2563531.200000,169492.105245
126,2566740.025000,2563531.200000,169492.105245
127,2566740.025000,2563531.200000,169492.105245
128,2681839.012500,2563531.200000,169492.105245
129,2662499.400000,2563531.200000,169492.105245
130,2679651.600000,2563531.200000,169492.105245
131,2679651.600000,2563531.200000,168644.644718
132,2682246.225000,2563531.200000,168644.644718
133,2682680.587500,2563531.200000,168644.644718
134,2610296.837500,2563531.200000,168644.644718
135,2610296.837500,2563531.200000,168644.644718
136,2622656.962500,2563531.200000,168644.644718
137,2622980.162500,2563531.200000,168644.644718
138,2623680.375000,2563531.200000,168644.644718
139,2624959.275000,2563531.200000,168644.644718
