iteration,current,best,temp
1,3.27579e+06,3.27579e+06,500000.000000
2,3233188.175000,3233188.175000,500000.000000
3,3230576.475000,3230576.475000,500000.000000
4,3231526.375000,3230576.475000,500000.000000
5,3230266.200000,3230266.200000,500000.000000
6,3208033.100000,3208033.100000,497500.000000
7,3206334.837500,3206334.837500,497500.000000
8,3300952.437500,3206334.837500,497500.000000
9,3300952.437500,3206334.837500,497500.000000
10,3300952.437500,3206334.837500,497500.000000
11,3301458.162500,3206334.837500,495012.500000
12,3301458.162500,3206334.837500,495012.500000
13,3340296.537500,3206334.837500,495012.500000
14,3344503.137500,3206334.837500,495012.500000
15,3358271.887500,3206334.837500,495012.500000
16,3358271.887500,3206334.837500,492537.437500
17,3340781.312500,3206334.837500,492537.437500
18,3625400.912500,3206334.837500,492537.437500
19,3624169.212500,3206334.837500,492537.437500
20,3387135.650000,3206334.837500,492537.437500
21,3387135.650000,3206334.837500,490074.750312
22,3387960.687500,3206334.837500,490074.750312
23,3392461.362500,3206334.837500,490074.750312
24,3391600.925000,3206334.837500,490074.750312
25,3366584.500000,3206334.837500,490074.750312
26,3371268.162500,3206334.837500,487624.376561
27,3367511.912500,3206334.837500,487624.376561
28,3367836.100000,3206334.837500,487624.376561
29,3367836.100000,3206334.837500,487624.376561
30,3367511.912500,3206334.837500,487624.376561
31,3365142.112500,3206334.837500,485186.254678
32,3364636.387500,3206334.837500,485186.254678
33,3364636.387500,3206334.837500,485186.254678
34,3366954.387500,3206334.837500,485186.254678
35,3362401.987500,3206334.837500,485186.254678
36,3361784.287500,3206334.837500,482760.323405
37,3361639.500000,3206334.837500,482760.323405
38,3363529.275000,3206334.837500,482760.323405
39,3363529.275000,3206334.837500,482760.323405
40,3374910.600000,3206334.837500,482760.323405
41,3392250.337500,3206334.837500,480346.521788
42,3299681.337500,3206334.837500,480346.521788
43,3306174.650000,3206334.837500,480346.521788
44,3370474.212500,3206334.837500,480346.521788
45,3369524.312500,3206334.837500,480346.521788
46,3547066.937500,3206334.837500,477944.789179
47,3547066.937500,3206334.837500,477944.789179
48,3535533.500000,3206334.837500,477944.789179
49,3525910.587500,3206334.837500,477944.789179
50,3603914.487500,3206334.837500,477944.789179
51,3606161.050000,3206334.837500,475555.065233
52,3605177.650000,3206334.837500,475555.065233
53,3584750.512500,3206334.837500,475555.065233
54,3584248.387500,3206334.837500,475555.065233
55,3592570.575000,3206334.837500,475555.065233
56,3595727.962500,3206334.837500,473177.289907
57,3620883.862500,3206334.837500,473177.289907
58,3621842.100000,3206334.837500,473177.289907
59,3467776.037500,3206334.837500,473177.289907
60,3467776.037500,3206334.837500,473177.289907
61,3467776.037500,3206334.837500,470811.403457
62,3465939.237500,3206334.837500,470811.403457
63,3465939.237500,3206334.837500,470811.403457
64,3464052.425000,3206334.837500,470811.403457
65,3485569.225000,3206334.837500,470811.403457
66,3489221.125000,3206334.837500,468457.346440
67,3481085.425000,3206334.837500,468457.346440
68,3473674.975000,3206334.837500,468457.346440
69,3593563.575000,3206334.837500,468457.346440
70,3586488.575000,3206334.837500,468457.346440
71,3508484.675000,3206334.837500,466115.059708
72,3492926.637500,3206334.837500,466115.059708
73,3282910.137500,3206334.837500,466115.059708
74,3282910.137500,3206334.837500,466115.059708
75,3309450.937500,3206334.837500,466115.059708
76,3309450.937500,3206334.837500,463784.484409
77,3182596.275000,3182596.275000,463784.484409
78,3182596.275000,3182596.275000,463784.484409
79,3181056.137500,3181056.137500,463784.484409
80,3184649.537500,3181056.137500,463784.484409
81,3184649.537500,3181056.137500,461465.561987
82,3186225.737500,3181056.137500,461465.561987
83,3186225.737500,3181056.137500,461465.561987
84,3179147.662500,3179147.662500,461465.561987
85,3188724.387500,3179147.662500,461465.561987
86,4327799.787500,3179147.662500,459158.234177
87,4317666.062500,3179147.662500,459158.234177
88,4317666.062500,3179147.662500,459158.234177
89,3461202.062500,3179147.662500,459158.234177
90,3352995.487500,3179147.662500,459158.234177
91,3352995.487500,3179147.662500,456862.443006
92,3352407.225000,3179147.662500,456862.443006
93,3151238.450000,3151238.450000,456862.443006
94,3151238.450000,3151238.450000,456862.443006
95,3147481.825000,3147481.825000,456862.443006
96,3148116.625000,3147481.825000,454578.130791
97,3156235.937500,3147481.825000,454578.130791
98,3156235.937500,3147481.825000,454578.130791
99,3161402.500000,3147481.825000,454578.130791
100,3161402.500000,3147481.825000,454578.130791
101,3156505.737500,3147481.825000,452305.240137
102,3156505.737500,3147481.825000,452305.240137
103,3156505.737500,3147481.825000,452305.240137
104,3154552.287500,3147481.825000,452305.240137
105,3154693.225000,3147481.825000,452305.240137
106,3141579.475000,3141579.475000,450043.713937
107,3459203.075000,3141579.475000,450043.713937
108,3464227.737500,3141579.475000,450043.713937
109,3468780.137500,3141579.475000,450043.713937
110,3468780.137500,3141579.475000,450043.713937
111,3462682.325000,3141579.475000,447793.495367
112,3434756.712500,3141579.475000,447793.495367
113,3441392.650000,3141579.475000,447793.495367
114,3445058.837500,3141579.475000,447793.495367
115,3366371.725000,3141579.475000,447793.495367
116,3380339.537500,3141579.475000,445554.527890
117,3380339.537500,3141579.475000,445554.527890
118,3371717.625000,3141579.475000,445554.527890
119,3378225.575000,3141579.475000,445554.527890
120,3381963.500000,3141579.475000,445554.527890
121,3382390.850000,3141579.475000,443326.755251
122,3378652.925000,3141579.475000,443326.755251
123,3397443.925000,3141579.475000,443326.755251
124,3391230.025000,3141579.475000,443326.755251
125,3398741.650000,3141579.475000,443326.755251
126,3382131.850000,3141579.475000,441110.121474
127,3378955.612500,3141579.475000,441110.121474
128,3382806.862500,3141579.475000,441110.121474
129,3382806.862500,3141579.475000,441110.121474
130,3382806.862500,3141579.475000,441110.121474
131,3382806.862500,3141579.475000,438904.570867
132,3382655.475000,3141579.475000,438904.570867
133,3509249.875000,3141579.475000,438904.570867
134,3520081.125000,3141579.475000,438904.570867
135,3528345.500000,3141579.475000,438904.570867
136,3530631.200000,3141579.475000,436710.048013
137,3528373.175000,3141579.475000,436710.048013
138,3552372.337500,3141579.475000,436710.048013
139,3538603.587500,3141579.475000,436710.048013
140,3534024.662500,3141579.475000,436710.048013
