generation,best,avg,worst,std
1,2.86566e+06,4149634.769,6391722.638,582953.241
2,2481060.800,3183726.606,4182261.700,365268.476
3,2236747.287,2664733.867,3824973.650,251223.606
4,1963524.638,2336227.091,2847916.987,165243.252
5,1785075.537,2110251.315,2571248.413,155275.202
6,1669357.450,1888395.419,2120100.713,99253.674
7,1602902.525,1780067.335,2034007.138,91886.084
8,1532052.562,1672227.941,1920783.587,61703.443
9,1490171.150,1634830.373,2178857.188,102818.973
10,1454870.050,1555411.904,1712958.550,52756.195
11,1417919.150,1534996.473,2519065.400,172858.497
12,1396043.550,1468025.481,1700256.425,44318.303
13,1372747.437,1459658.042,2036660.600,97147.810
14,1375960.712,1447894.168,2202042.950,120813.833
15,1360375.675,1428732.386,2654509.775,131374.177
16,1336129.887,1409537.736,2296421.075,101875.694
17,1335400.975,1407978.746,2412144.162,143100.271
18,1315497.612,1386252.702,2009300.625,97488.777
19,1286832.700,1358001.988,1716334.937,64984.897
20,1281462.262,1344978.435,2214734.462,104260.591
21,1275004.838,1312492.137,1726559.750,47792.238
22,1274796.713,1313816.372,2143705.300,103452.534
23,1265569.962,1303221.969,1664593.750,63972.557
24,1263140.387,1293959.281,1505405.162,40692.735
25,1258588.025,1289497.928,1581007.262,43452.091
26,1249696.587,1295918.909,2475770.113,148885.660
27,1249198.500,1277706.407,1643861.363,50550.779
28,1242141.675,1284933.721,1729664.387,79256.425
29,1238532.375,1280657.702,2132850.788,98602.789
30,1238532.375,1275561.319,2096801.513,94994.228
31,1234743.862,1261708.541,1686987.537,51486.506
32,1232684.887,1282658.375,2461472.625,147626.766
33,1229850.487,1278881.751,2187138.487,150125.466
34,1227942.887,1260444.114,2113372.288,96209.044
35,1227942.887,1296418.512,2446749.800,187366.997
36,1227480.600,1273044.872,2218293.287,124023.388
37,1226811.000,1258168.797,1664658.012,85990.462
38,1225671.825,1267742.819,2043819.887,120025.627
39,1222206.287,1257848.560,2289234.250,113447.283
40,1220680.737,1239663.868,1485565.350,35410.964
41,1220680.737,1245162.838,2016024.887,85448.545
42,1219095.200,1250204.739,2032456.200,89501.603
43,1219095.200,1263250.130,2212094.400,136664.908
44,1218107.262,1263150.643,2479021.500,139029.655
45,1211789.862,1243263.512,1479314.712,52819.108
46,1211789.862,1262475.880,2481698.412,148174.697
47,1210710.162,1265311.912,2010866.812,139085.141
48,1210710.162,1226840.005,1410434.112,27988.645
49,1204899.462,1230484.805,1697008.362,58406.552
50,1204899.462,1269533.885,2460170.912,203891.546
51,1204899.462,1236784.567,2022031.962,93353.602
52,1204899.462,1230699.818,1576844.462,65254.279
53,1201523.837,1226765.870,1532376.462,51468.775
