method,instance,runs,best,worst,avg,std,time_ms
EA,cap41_ss,30,1.55975e+06,1.58762e+06,1569399.674,6807.975,1554
EA,cap81_ss,30,1.18437e+06,1.20548e+06,1193273.531,5099.152,1508
EA,cap111_ss,30,1.17387e+06,1.20873e+06,1189152.795,7923.768,1575
SA,cap41_ss,30,1.55975e+06,1.58454e+06,1566278.310,6668.573,2410
SA,cap81_ss,30,1.18074e+06,1.19629e+06,1187746.925,3439.426,2310
SA,cap111_ss,30,1.16703e+06,1.18975e+06,1177576.405,6485.184,2310
VNS,cap41_ss,30,1.55975e+06,1.58021e+06,1565759.159,5448.395,1276
VNS,cap81_ss,30,1.18096e+06,1.19768e+06,1188119.651,3777.239,1210
VNS,cap111_ss,30,1.17604e+06,1.21707e+06,1194491.959,8759.285,1392
GRASP,cap41_ss,30,1.58866e+06,1.6164e+06,1604554.755,6302.690,792
GRASP,cap81_ss,30,1.19115e+06,1.20787e+06,1197534.351,3913.846,701
GRASP,cap111_ss,30,1.18455e+06,1.19202e+06,1187814.708,1888.037,765
