iteration,constructed,improved,best
1,1.68485e+06,1.68019e+06,1.68019e+06
2,1.68485e+06,1.64003e+06,1.64003e+06
3,1.68485e+06,1.68485e+06,1.64003e+06
4,1.68485e+06,1.64803e+06,1.64003e+06
5,1.68485e+06,1.68485e+06,1.64003e+06
6,1.68485e+06,1.68485e+06,1.64003e+06
7,1.68485e+06,1.67316e+06,1.64003e+06
8,1.68485e+06,1.68485e+06,1.64003e+06
9,1.68485e+06,1.67535e+06,1.64003e+06
10,1.68485e+06,1.68485e+06,1.64003e+06
11,1.68485e+06,1.62748e+06,1.62748e+06
12,1.68485e+06,1.65322e+06,1.62748e+06
13,1.68485e+06,1.68485e+06,1.62748e+06
14,1.68485e+06,1.67117e+06,1.62748e+06
15,1.68485e+06,1.64099e+06,1.62748e+06
16,1.68485e+06,1.65683e+06,1.62748e+06
17,1.68485e+06,1.65305e+06,1.62748e+06
18,1.68485e+06,1.66934e+06,1.62748e+06
19,1.68485e+06,1.68485e+06,1.62748e+06
20,1.68485e+06,1.68485e+06,1.62748e+06
21,1.68485e+06,1.68485e+06,1.62748e+06
22,1.68485e+06,1.67954e+06,1.62748e+06
23,1.68485e+06,1.67554e+06,1.62748e+06
24,1.68485e+06,1.68418e+06,1.62748e+06
25,1.68485e+06,1.68485e+06,1.62748e+06
26,1.68485e+06,1.68485e+06,1.62748e+06
27,1.68485e+06,1.64679e+06,1.62748e+06
28,1.68485e+06,1.67986e+06,1.62748e+06
29,1.68485e+06,1.64146e+06,1.62748e+06
30,1.68485e+06,1.68485e+06,1.62748e+06
31,1.68485e+06,1.68485e+06,1.62748e+06
32,1.68485e+06,1.68485e+06,1.62748e+06
33,1.68485e+06,1.68485e+06,1.62748e+06
34,1.68485e+06,1.66431e+06,1.62748e+06
35,1.68485e+06,1.68485e+06,1.62748e+06
36,1.68485e+06,1.68471e+06,1.62748e+06
37,1.68485e+06,1.63932e+06,1.62748e+06
38,1.68485e+06,1.68485e+06,1.62748e+06
39,1.68485e+06,1.66796e+06,1.62748e+06
40,1.68485e+06,1.6708e+06,1.62748e+06
41,1.68485e+06,1.68485e+06,1.62748e+06
42,1.68485e+06,1.66622e+06,1.62748e+06
43,1.68485e+06,1.64748e+06,1.62748e+06
44,1.68485e+06,1.68471e+06,1.62748e+06
45,1.68485e+06,1.67554e+06,1.62748e+06
46,1.68485e+06,1.68419e+06,1.62748e+06
47,1.68485e+06,1.62797e+06,1.62748e+06
48,1.68485e+06,1.65184e+06,1.62748e+06
49,1.68485e+06,1.67461e+06,1.62748e+06
50,1.68485e+06,1.66643e+06,1.62748e+06
51,1.68485e+06,1.67122e+06,1.62748e+06
52,1.68485e+06,1.64746e+06,1.62748e+06
53,1.68485e+06,1.6563e+06,1.62748e+06
54,1.68485e+06,1.68418e+06,1.62748e+06
55,1.68485e+06,1.64924e+06,1.62748e+06
56,1.68485e+06,1.68471e+06,1.62748e+06
57,1.68485e+06,1.65594e+06,1.62748e+06
58,1.68485e+06,1.68485e+06,1.62748e+06
59,1.68485e+06,1.66724e+06,1.62748e+06
60,1.68485e+06,1.67658e+06,1.62748e+06
61,1.68485e+06,1.66244e+06,1.62748e+06
62,1.68485e+06,1.67707e+06,1.62748e+06
63,1.68485e+06,1.62978e+06,1.62748e+06
64,1.68485e+06,1.6468e+06,1.62748e+06
65,1.68485e+06,1.65076e+06,1.62748e+06
66,1.68485e+06,1.67626e+06,1.62748e+06
67,1.68485e+06,1.63491e+06,1.62748e+06
68,1.68485e+06,1.68485e+06,1.62748e+06
69,1.68485e+06,1.67529e+06,1.62748e+06
70,1.68485e+06,1.68485e+06,1.62748e+06
71,1.68485e+06,1.6808e+06,1.62748e+06
72,1.68485e+06,1.68466e+06,1.62748e+06
73,1.68485e+06,1.66497e+06,1.62748e+06
74,1.68485e+06,1.68485e+06,1.62748e+06
75,1.68485e+06,1.68485e+06,1.62748e+06
76,1.68485e+06,1.68485e+06,1.62748e+06
77,1.68485e+06,1.68485e+06,1.62748e+06
78,1.68485e+06,1.6628e+06,1.62748e+06
79,1.68485e+06,1.63466e+06,1.62748e+06
80,1.68485e+06,1.68485e+06,1.62748e+06
81,1.68485e+06,1.64667e+06,1.62748e+06
82,1.68485e+06,1.68097e+06,1.62748e+06
83,1.68485e+06,1.64426e+06,1.62748e+06
84,1.68485e+06,1.68485e+06,1.62748e+06
85,1.68485e+06,1.66712e+06,1.62748e+06
86,1.68485e+06,1.64925e+06,1.62748e+06
87,1.68485e+06,1.67952e+06,1.62748e+06
88,1.68485e+06,1.65002e+06,1.62748e+06
89,1.68485e+06,1.68485e+06,1.62748e+06
90,1.68485e+06,1.67431e+06,1.62748e+06
91,1.68485e+06,1.67176e+06,1.62748e+06
92,1.68485e+06,1.67349e+06,1.62748e+06
93,1.68485e+06,1.67554e+06,1.62748e+06
94,1.68485e+06,1.68485e+06,1.62748e+06
95,1.68485e+06,1.68485e+06,1.62748e+06
96,1.68485e+06,1.65678e+06,1.62748e+06
97,1.68485e+06,1.65832e+06,1.62748e+06
98,1.68485e+06,1.68485e+06,1.62748e+06
99,1.68485e+06,1.68485e+06,1.62748e+06
100,1.68485e+06,1.61069e+06,1.61069e+06
101,1.68485e+06,1.68485e+06,1.61069e+06
102,1.68485e+06,1.67711e+06,1.61069e+06
103,1.68485e+06,1.68307e+06,1.61069e+06
