iteration,current,best,temp
1,3.9096e+06,3.9096e+06,210603.629542
2,3938505.537500,3909604.637500,210603.629542
3,4014660.400000,3909604.637500,210603.629542
4,4023542.200000,3909604.637500,210603.629542
5,4015208.450000,3909604.637500,210382.044039
6,4012142.075000,3909604.637500,210382.044039
7,3989505.975000,3909604.637500,210382.044039
8,3969525.337500,3909604.637500,210382.044039
9,3969525.337500,3909604.637500,210160.691676
10,3969525.337500,3909604.637500,210160.691676
11,3978062.912500,3909604.637500,210160.691676
12,3978589.312500,3909604.637500,210160.691676
13,3978025.562500,3909604.637500,209939.572208
14,3979382.437500,3909604.637500,209939.572208
15,3984134.812500,3909604.637500,209939.572208
16,3958971.012500,3909604.637500,209939.572208
17,3967815.712500,3909604.637500,209718.685389
18,3956549.787500,3909604.637500,209718.685389
19,3866111.987500,3866111.987500,209718.685389
20,3955527.587500,3866111.987500,209718.685389
21,3988324.187500,3866111.987500,209498.030975
22,3973800.275000,3866111.987500,209498.030975
23,3973800.275000,3866111.987500,209498.030975
24,3973031.475000,3866111.987500,209498.030975
25,3973031.475000,3866111.987500,209277.608722
26,3982723.725000,3866111.987500,209277.608722
27,3975959.825000,3866111.987500,209277.608722
28,3981238.025000,3866111.987500,209277.608722
29,3967146.925000,3866111.987500,209057.418385
30,3976894.575000,3866111.987500,209057.418385
31,4007604.687500,3866111.987500,209057.418385
32,4001629.687500,3866111.987500,209057.418385
33,3999601.725000,3866111.987500,208837.459720
34,4002783.037500,3866111.987500,208837.459720
35,3835545.062500,3835545.062500,208837.459720
36,3568367.462500,3568367.462500,208837.459720
37,3576472.737500,3568367.462500,208617.732483
38,3593194.012500,3568367.462500,208617.732483
39,3593194.012500,3568367.462500,208617.732483
40,3601166.262500,3568367.462500,208617.732483
41,3608510.012500,3568367.462500,208398.236432
42,3661524.550000,3568367.462500,208398.236432
43,3649850.625000,3568367.462500,208398.236432
44,3882750.825000,3568367.462500,208398.236432
45,3883580.200000,3568367.462500,208178.971321
46,3706274.462500,3568367.462500,208178.971321
47,3702347.837500,3568367.462500,208178.971321
48,3758747.037500,3568367.462500,208178.971321
49,3775956.937500,3568367.462500,207959.936910
50,3780773.900000,3568367.462500,207959.936910
51,3525380.712500,3525380.712500,207959.936910
52,3525380.712500,3525380.712500,207959.936910
53,3522734.187500,3522734.187500,207741.132954
