config_id,pop_size,gen,tour_size,mutation_pro,cross_pro,bias,best,avg,std,time_ms
1,44,488,15,0.7588,0.7993,0.3780,1568013.0500,1576174.6958,10383.5254,90
2,50,135,3,0.5133,0.6669,0.3714,1590865.1500,1609955.2250,14775.5963,22
3,74,408,2,0.9729,0.9162,0.4062,1610067.0750,1617274.5917,5336.6004,152
4,10,150,15,0.6557,0.8058,0.3035,1643110.9125,1705877.0542,57930.9350,5
5,49,62,6,0.6507,0.5697,0.4461,1590771.7875,1611721.5542,28689.4818,10
6,98,251,5,0.1815,0.8092,0.4912,1561851.1500,1579433.9500,12461.7885,79
7,56,591,10,0.1418,0.8038,0.3853,1581521.2500,1593195.4333,9292.4823,98
8,50,85,2,0.9480,0.7816,0.4927,1622059.2500,1651303.5792,21424.5858,21
9,37,58,3,0.7158,0.7201,0.3610,1618870.8750,1653094.0083,31263.9743,8
10,65,322,13,0.2560,0.6955,0.3911,1583951.5500,1587344.5208,2513.1243,61
11,70,466,6,0.5681,0.7734,0.3924,1563992.4750,1572115.5250,8641.7237,110
12,12,584,13,0.5048,0.6976,0.7633,1588915.2375,1618483.3750,21349.2400,19
13,64,450,14,0.1796,0.5980,0.3226,1569880.1250,1598050.7083,21328.1554,71
14,97,229,13,0.7726,0.7698,0.5934,1566583.0375,1574178.2375,7472.4777,84
15,42,581,5,0.5884,0.5705,0.7011,1559753.8875,1568660.1917,10659.4614,65
16,25,91,2,0.4811,0.6974,0.4467,1612580.5750,1667154.1292,39261.6640,8
17,10,57,13,0.7362,0.8645,0.6856,1653188.9875,1743615.1542,77320.6083,2
18,65,90,14,0.6860,0.9575,0.7250,1583359.3125,1591643.0792,11544.7051,22
19,66,297,6,0.1572,0.6555,0.4626,1599012.5625,1600779.4000,1534.0458,54
20,70,452,10,0.3472,0.7806,0.4915,1573441.3375,1577683.1667,3322.4284,106
21,20,585,11,0.7847,0.7806,0.6855,1570022.9250,1591819.4708,15964.5062,39
22,33,322,2,0.7396,0.5554,0.5197,1571396.7875,1586783.8542,12996.7707,35
23,19,161,2,0.6728,0.6572,0.5543,1614600.6625,1626452.9958,12689.1215,11
24,73,550,3,0.6440,0.7699,0.4015,1566959.8250,1573341.7500,4513.4026,138
25,30,569,3,0.3608,0.5806,0.7648,1579861.1000,1589163.9500,8781.4483,39
26,66,495,6,0.1949,0.7283,0.4092,1569075.5625,1570271.7500,1621.1109,92
27,26,279,14,0.5854,0.9037,0.7480,1592955.5625,1605827.0417,15035.4852,23
28,42,225,14,0.3449,0.8238,0.3003,1593543.6750,1617121.0042,17458.5727,29
29,84,244,14,0.1063,0.7554,0.5087,1606367.3000,1613485.1458,5245.2483,65
30,54,172,11,0.3425,0.6221,0.3841,1571445.6500,1591826.4292,15408.2707,28
31,39,170,9,0.7327,0.6818,0.7859,1573949.9375,1602025.8792,37269.1412,20
32,33,580,5,0.7267,0.8561,0.3740,1571026.1500,1579855.9500,7210.6959,69
