config_id,max_iterations,shake_attempts,local_search_attempts,best,avg,std,time_ms
1,145,10,39,1.60216e+06,1.61198e+06,9037.57,18
2,157,9,81,1.57295e+06,1.57431e+06,1472.02,38
3,125,2,91,1.57099e+06,1.57959e+06,10593.8,35
4,24,12,29,1.6342e+06,1.65424e+06,20097.8,3
5,188,13,186,1.56638e+06,1.57127e+06,3564.7,99
6,183,7,33,1.57754e+06,1.59367e+06,12821.8,21
7,31,4,198,1.56645e+06,1.5771e+06,11235.5,21
8,41,13,45,1.58744e+06,1.62948e+06,29734.9,8
9,33,13,185,1.5694e+06,1.57949e+06,9909.97,21
10,73,14,69,1.58113e+06,1.61e+06,34117.6,16
11,109,4,122,1.56744e+06,1.58063e+06,10022,41
12,126,6,82,1.56661e+06,1.60602e+06,30640.9,32
13,20,12,74,1.58707e+06,1.63779e+06,42292.4,6
14,49,13,160,1.56238e+06,1.58326e+06,15332.7,25
15,10,10,73,1.65409e+06,1.68859e+06,43083.1,3
16,31,6,89,1.60545e+06,1.6166e+06,14138.1,10
17,112,13,185,1.56481e+06,1.57473e+06,7030.69,62
18,186,6,98,1.57221e+06,1.603e+06,32083.5,54
19,76,8,150,1.56762e+06,1.58144e+06,17814.2,34
20,185,7,122,1.56825e+06,1.56933e+06,991.328,65
21,52,1,96,1.57842e+06,1.58735e+06,6909.79,17
22,184,3,57,1.57717e+06,1.59603e+06,18817,33
23,43,9,105,1.59195e+06,1.62182e+06,23258.3,15
24,41,7,16,1.65595e+06,1.70659e+06,35854.1,3
25,184,5,79,1.5672e+06,1.57654e+06,7155.63,43
26,159,9,63,1.57848e+06,1.58408e+06,4079.95,32
27,130,4,12,1.61007e+06,1.61895e+06,6779.9,7
28,50,10,108,1.57032e+06,1.57677e+06,4713.36,18
29,44,15,193,1.56787e+06,1.58785e+06,28035.2,28
30,97,3,116,1.56512e+06,1.57034e+06,6819.78,37
31,89,13,26,1.59427e+06,1.63663e+06,29956.2,9
32,112,15,45,1.58979e+06,1.59678e+06,6095.47,18
33,105,5,123,1.56226e+06,1.5685e+06,5977.19,41
34,69,2,85,1.57346e+06,1.57976e+06,8913.5,20
35,153,7,50,1.56666e+06,1.57822e+06,12840.2,25
36,162,14,76,1.57383e+06,1.58672e+06,15526.3,38
37,49,8,46,1.6158e+06,1.63526e+06,25058.4,9
38,129,1,82,1.56942e+06,1.57552e+06,7282.07,32
39,100,13,117,1.56961e+06,1.57232e+06,3223.65,36
40,122,1,66,1.59057e+06,1.59805e+06,8024.05,25
41,158,11,96,1.56338e+06,1.56794e+06,3317.34,46
42,110,8,112,1.56191e+06,1.56959e+06,5656.11,40
43,94,8,86,1.56928e+06,1.57595e+06,4938.03,26
44,104,9,156,1.56911e+06,1.5776e+06,7191.19,51
45,39,2,44,1.58975e+06,1.61428e+06,17560.2,6
46,73,13,24,1.59195e+06,1.61467e+06,21928.6,7
47,190,12,81,1.56797e+06,1.57421e+06,5168.24,46
48,62,5,181,1.56315e+06,1.57954e+06,12155.4,36
49,133,8,88,1.56982e+06,1.58414e+06,16980.5,36
50,162,1,196,1.56614e+06,1.5679e+06,1270.21,93
51,39,13,146,1.57403e+06,1.59843e+06,18433.7,20
52,175,10,87,1.57289e+06,1.58176e+06,9018.6,45
53,15,9,52,1.59114e+06,1.62601e+06,26563.1,3
54,58,4,47,1.57383e+06,1.59024e+06,17295.6,10
55,138,8,13,1.5885e+06,1.60418e+06,11119.1,7
56,123,2,74,1.57214e+06,1.57494e+06,2079.87,30
57,162,9,44,1.57793e+06,1.58793e+06,12469.6,24
58,179,10,116,1.56934e+06,1.57406e+06,5823.45,63
59,55,11,28,1.59415e+06,1.61861e+06,20550.2,6
60,163,4,198,1.56124e+06,1.56917e+06,8181.5,94
61,147,10,173,1.56489e+06,1.59108e+06,24233.8,75
62,164,13,193,1.56032e+06,1.57071e+06,7527.63,92
63,85,15,137,1.56673e+06,1.58371e+06,18209.5,38
64,36,4,87,1.5823e+06,1.59423e+06,13355.6,12
65,65,5,181,1.56275e+06,1.56794e+06,5267.31,38
66,26,1,130,1.58611e+06,1.59336e+06,5197.82,13
67,26,12,49,1.60186e+06,1.62331e+06,16530.4,6
68,171,1,33,1.56964e+06,1.59413e+06,20522,19
69,44,14,121,1.58745e+06,1.61232e+06,25890,17
70,132,7,144,1.56378e+06,1.57803e+06,11233.8,56
71,180,14,166,1.56499e+06,1.56616e+06,1454.05,90
72,129,6,74,1.56695e+06,1.5819e+06,10775.4,32
73,59,13,82,1.585e+06,1.60728e+06,27744.9,16
74,79,9,16,1.63011e+06,1.64155e+06,11922.7,5
75,61,13,129,1.57366e+06,1.58211e+06,6319.43,26
76,75,7,157,1.56145e+06,1.56783e+06,7305.57,36
77,115,6,93,1.57112e+06,1.58352e+06,10990.2,33
78,174,5,51,1.57695e+06,1.59183e+06,11402.8,28
79,191,15,155,1.56519e+06,1.57177e+06,6796.72,88
80,158,3,31,1.58016e+06,1.59742e+06,21665.9,17
81,175,9,103,1.56559e+06,1.57151e+06,4280.58,53
82,198,14,99,1.56038e+06,1.57368e+06,9596.72,58
83,162,3,91,1.56781e+06,1.57771e+06,9713.26,45
84,102,1,107,1.58248e+06,1.58621e+06,5051.33,33
85,61,12,113,1.58353e+06,1.5937e+06,8253.83,23
86,143,10,86,1.58352e+06,1.58996e+06,6351.88,37
87,59,4,36,1.59958e+06,1.62042e+06,24704.2,9
88,133,13,90,1.57117e+06,1.57769e+06,7008.67,37
89,198,2,110,1.56792e+06,1.57163e+06,4686.44,64
90,182,3,142,1.56681e+06,1.57222e+06,5514.37,77
91,62,11,13,1.62847e+06,1.64808e+06,18932,3
92,167,14,111,1.57115e+06,1.573e+06,1397.79,57
93,32,13,120,1.57772e+06,1.58833e+06,7507.04,14
94,105,5,22,1.60333e+06,1.64281e+06,32045.2,8
95,115,7,134,1.56462e+06,1.5667e+06,2599.46,47
96,105,13,147,1.5682e+06,1.56923e+06,738.496,48
97,49,2,12,1.65243e+06,1.72022e+06,55628.2,3
98,36,3,60,1.59046e+06,1.61769e+06,23335,8
99,181,4,176,1.56428e+06,1.56565e+06,1344.27,91
100,149,9,57,1.58217e+06,1.58614e+06,2804.19,26
