iteration,shaken,after_local_search,best
1,4.85956e+06,2.36099e+06,2.36099e+06
2,2.34629e+06,2.20172e+06,2.20172e+06
3,2.23188e+06,2.10025e+06,2.10025e+06
4,2.31454e+06,1.73531e+06,1.73531e+06
5,1.73493e+06,1.72099e+06,1.72099e+06
6,1.7236e+06,1.70712e+06,1.70712e+06
7,1.76898e+06,1.70178e+06,1.70178e+06
8,1.7757e+06,1.69694e+06,1.69694e+06
9,1.76284e+06,1.52404e+06,1.52404e+06
10,1.52515e+06,1.42202e+06,1.42202e+06
11,1.43549e+06,1.40105e+06,1.40105e+06
12,1.48124e+06,1.46749e+06,1.40105e+06
13,1.49094e+06,1.46721e+06,1.40105e+06
14,1.63002e+06,1.57019e+06,1.40105e+06
15,1.41393e+06,1.39387e+06,1.39387e+06
16,1.38749e+06,1.36897e+06,1.36897e+06
17,1.37447e+06,1.3519e+06,1.3519e+06
18,1.36185e+06,1.355e+06,1.3519e+06
19,1.37564e+06,1.34676e+06,1.34676e+06
20,1.35599e+06,1.35555e+06,1.34676e+06
21,1.37481e+06,1.35005e+06,1.34676e+06
22,1.43936e+06,1.43298e+06,1.34676e+06
23,1.40902e+06,1.39853e+06,1.34676e+06
24,1.36178e+06,1.35887e+06,1.34676e+06
25,1.35673e+06,1.35465e+06,1.34676e+06
26,1.39753e+06,1.38894e+06,1.34676e+06
27,1.36371e+06,1.32293e+06,1.32293e+06
28,1.61715e+06,1.60995e+06,1.32293e+06
29,1.43687e+06,1.4203e+06,1.32293e+06
30,1.40458e+06,1.39693e+06,1.32293e+06
31,1.35846e+06,1.32233e+06,1.32233e+06
32,1.3311e+06,1.32983e+06,1.32233e+06
33,1.47956e+06,1.45222e+06,1.32233e+06
34,1.34825e+06,1.34825e+06,1.32233e+06
35,1.32258e+06,1.30803e+06,1.30803e+06
36,1.31179e+06,1.30298e+06,1.30298e+06
37,1.44087e+06,1.40783e+06,1.30298e+06
38,1.31151e+06,1.27621e+06,1.27621e+06
39,1.38359e+06,1.37588e+06,1.27621e+06
40,1.40835e+06,1.40823e+06,1.27621e+06
41,1.37465e+06,1.36936e+06,1.27621e+06
42,1.29751e+06,1.29344e+06,1.27621e+06
43,1.33204e+06,1.32993e+06,1.27621e+06
44,1.40559e+06,1.28827e+06,1.27621e+06
45,1.32269e+06,1.27569e+06,1.27569e+06
46,1.30287e+06,1.29776e+06,1.27569e+06
47,1.29611e+06,1.29611e+06,1.27569e+06
48,1.29877e+06,1.28873e+06,1.27569e+06
49,1.30814e+06,1.29946e+06,1.27569e+06
50,1.35884e+06,1.35884e+06,1.27569e+06
51,1.30576e+06,1.30247e+06,1.27569e+06
52,1.27755e+06,1.25926e+06,1.25926e+06
53,1.25881e+06,1.25338e+06,1.25338e+06
54,1.28258e+06,1.28223e+06,1.25338e+06
55,1.2678e+06,1.26614e+06,1.25338e+06
56,1.2731e+06,1.2731e+06,1.25338e+06
57,1.25899e+06,1.25754e+06,1.25338e+06
58,1.33398e+06,1.25416e+06,1.25338e+06
59,1.34108e+06,1.273e+06,1.25338e+06
60,1.28859e+06,1.28204e+06,1.25338e+06
61,1.28641e+06,1.28072e+06,1.25338e+06
62,1.28061e+06,1.27526e+06,1.25338e+06
63,1.28897e+06,1.27791e+06,1.25338e+06
64,1.30518e+06,1.2962e+06,1.25338e+06
65,1.28876e+06,1.28198e+06,1.25338e+06
66,1.31871e+06,1.31759e+06,1.25338e+06
67,1.27917e+06,1.27082e+06,1.25338e+06
68,1.30267e+06,1.2774e+06,1.25338e+06
69,1.26208e+06,1.25031e+06,1.25031e+06
70,1.36414e+06,1.34843e+06,1.25031e+06
71,1.3291e+06,1.32504e+06,1.25031e+06
72,1.27586e+06,1.26091e+06,1.25031e+06
73,1.29007e+06,1.26007e+06,1.25031e+06
74,1.43576e+06,1.25907e+06,1.25031e+06
75,1.25513e+06,1.25513e+06,1.25031e+06
76,1.42721e+06,1.37309e+06,1.25031e+06
77,1.84883e+06,1.84449e+06,1.25031e+06
78,1.25437e+06,1.24878e+06,1.24878e+06
79,1.25425e+06,1.24433e+06,1.24433e+06
80,1.34877e+06,1.34156e+06,1.24433e+06
81,1.359e+06,1.27673e+06,1.24433e+06
82,1.26693e+06,1.26091e+06,1.24433e+06
83,1.27906e+06,1.27832e+06,1.24433e+06
84,1.26255e+06,1.26255e+06,1.24433e+06
85,1.29717e+06,1.28467e+06,1.24433e+06
86,1.33036e+06,1.3286e+06,1.24433e+06
87,2.46181e+06,1.44889e+06,1.24433e+06
88,1.68976e+06,1.68932e+06,1.24433e+06
89,1.24611e+06,1.24499e+06,1.24433e+06
90,1.84378e+06,1.39663e+06,1.24433e+06
91,1.5144e+06,1.51079e+06,1.24433e+06
92,1.30464e+06,1.26013e+06,1.24433e+06
93,1.26997e+06,1.26941e+06,1.24433e+06
94,1.32711e+06,1.32471e+06,1.24433e+06
95,1.27851e+06,1.27851e+06,1.24433e+06
96,1.34584e+06,1.33796e+06,1.24433e+06
97,1.3005e+06,1.27082e+06,1.24433e+06
98,1.26665e+06,1.25376e+06,1.24433e+06
99,1.27964e+06,1.27764e+06,1.24433e+06
100,1.28057e+06,1.26725e+06,1.24433e+06
101,1.31111e+06,1.24934e+06,1.24433e+06
102,1.30671e+06,1.30365e+06,1.24433e+06
103,1.26672e+06,1.23974e+06,1.23974e+06
104,1.23084e+06,1.22929e+06,1.22929e+06
105,1.31635e+06,1.3118e+06,1.22929e+06
106,1.24163e+06,1.2367e+06,1.22929e+06
107,2.12353e+06,2.11712e+06,1.22929e+06
108,1.31887e+06,1.31867e+06,1.22929e+06
109,1.24291e+06,1.23848e+06,1.22929e+06
110,1.23293e+06,1.22731e+06,1.22731e+06
111,1.23795e+06,1.23577e+06,1.22731e+06
112,1.75619e+06,1.61047e+06,1.22731e+06
113,1.33034e+06,1.32476e+06,1.22731e+06
