iteration,shaken,after_local_search,best
1,4.31787e+06,2.54514e+06,2.54514e+06
2,2.54514e+06,2.54181e+06,2.54181e+06
3,2.54298e+06,2.38109e+06,2.38109e+06
4,2.51455e+06,2.51455e+06,2.38109e+06
5,2.34666e+06,2.33094e+06,2.33094e+06
6,2.35778e+06,2.35778e+06,2.33094e+06
7,2.42099e+06,2.3491e+06,2.33094e+06
8,2.38219e+06,2.2953e+06,2.2953e+06
9,2.29584e+06,2.13785e+06,2.13785e+06
10,2.14624e+06,2.14427e+06,2.13785e+06
11,2.1547e+06,2.14544e+06,2.13785e+06
12,2.21557e+06,2.06207e+06,2.06207e+06
13,2.06789e+06,1.86145e+06,1.86145e+06
14,1.91004e+06,1.86631e+06,1.86145e+06
15,2.11198e+06,2.1087e+06,1.86145e+06
16,1.88635e+06,1.81764e+06,1.81764e+06
17,1.80727e+06,1.80715e+06,1.80715e+06
18,1.81788e+06,1.80749e+06,1.80715e+06
19,2.00731e+06,1.83632e+06,1.80715e+06
20,1.8514e+06,1.70982e+06,1.70982e+06
21,1.77703e+06,1.75937e+06,1.70982e+06
22,1.70906e+06,1.70028e+06,1.70028e+06
23,1.73342e+06,1.68843e+06,1.68843e+06
24,1.81158e+06,1.70556e+06,1.68843e+06
25,1.67393e+06,1.60387e+06,1.60387e+06
26,2.08741e+06,2.06167e+06,1.60387e+06
27,1.62873e+06,1.621e+06,1.60387e+06
28,1.60296e+06,1.58291e+06,1.58291e+06
29,1.61601e+06,1.54825e+06,1.54825e+06
30,1.57428e+06,1.55517e+06,1.54825e+06
31,1.69675e+06,1.61095e+06,1.54825e+06
32,1.58733e+06,1.56624e+06,1.54825e+06
33,1.58388e+06,1.56856e+06,1.54825e+06
34,1.53927e+06,1.53131e+06,1.53131e+06
35,1.53657e+06,1.53015e+06,1.53015e+06
36,1.53466e+06,1.45195e+06,1.45195e+06
37,1.74781e+06,1.53746e+06,1.45195e+06
38,1.52949e+06,1.48315e+06,1.45195e+06
39,1.45728e+06,1.45728e+06,1.45195e+06
40,1.59333e+06,1.57162e+06,1.45195e+06
41,1.44274e+06,1.44028e+06,1.44028e+06
42,1.48665e+06,1.48665e+06,1.44028e+06
43,1.43803e+06,1.42905e+06,1.42905e+06
44,1.44969e+06,1.41246e+06,1.41246e+06
45,1.78827e+06,1.78232e+06,1.41246e+06
46,1.44014e+06,1.4355e+06,1.41246e+06
47,1.42469e+06,1.40689e+06,1.40689e+06
48,1.64593e+06,1.637e+06,1.40689e+06
49,1.41145e+06,1.38549e+06,1.38549e+06
50,1.40415e+06,1.39161e+06,1.38549e+06
51,1.40615e+06,1.39977e+06,1.38549e+06
52,1.37245e+06,1.35214e+06,1.35214e+06
53,1.36975e+06,1.36266e+06,1.35214e+06
54,1.35519e+06,1.34899e+06,1.34899e+06
55,1.73121e+06,1.52674e+06,1.34899e+06
56,1.54714e+06,1.54013e+06,1.34899e+06
57,1.37539e+06,1.3666e+06,1.34899e+06
58,1.38447e+06,1.37142e+06,1.34899e+06
59,1.36895e+06,1.36619e+06,1.34899e+06
60,1.40057e+06,1.39881e+06,1.34899e+06
61,1.36531e+06,1.36531e+06,1.34899e+06
62,1.41031e+06,1.41031e+06,1.34899e+06
63,1.40332e+06,1.37298e+06,1.34899e+06
64,1.35811e+06,1.35528e+06,1.34899e+06
65,1.4003e+06,1.38701e+06,1.34899e+06
66,1.34432e+06,1.33981e+06,1.33981e+06
67,1.40065e+06,1.38389e+06,1.33981e+06
68,2.18097e+06,2.14345e+06,1.33981e+06
69,1.35948e+06,1.35948e+06,1.33981e+06
70,1.35008e+06,1.34925e+06,1.33981e+06
71,1.35099e+06,1.34928e+06,1.33981e+06
72,1.32891e+06,1.31166e+06,1.31166e+06
