iteration,shaken,after_local_search,best
1,3.20536e+06,2.91581e+06,2.91581e+06
2,3.31763e+06,2.50877e+06,2.50877e+06
3,2.4448e+06,2.44192e+06,2.44192e+06
4,2.44204e+06,2.2424e+06,2.2424e+06
5,2.30113e+06,2.21449e+06,2.21449e+06
6,2.23424e+06,2.15157e+06,2.15157e+06
7,2.12828e+06,2.09742e+06,2.09742e+06
8,2.10669e+06,2.10573e+06,2.09742e+06
9,2.25261e+06,2.25243e+06,2.09742e+06
10,2.56608e+06,2.43839e+06,2.09742e+06
11,2.10146e+06,2.02005e+06,2.02005e+06
12,2.03165e+06,1.96642e+06,1.96642e+06
13,1.98736e+06,1.98451e+06,1.96642e+06
14,2.1192e+06,2.09037e+06,1.96642e+06
15,2.2601e+06,2.22744e+06,1.96642e+06
16,2.5126e+06,2.5075e+06,1.96642e+06
17,2.28465e+06,2.2204e+06,1.96642e+06
18,2.01175e+06,1.92274e+06,1.92274e+06
19,2.01432e+06,2.00391e+06,1.92274e+06
20,1.93705e+06,1.91338e+06,1.91338e+06
21,1.91079e+06,1.90382e+06,1.90382e+06
22,1.91415e+06,1.90121e+06,1.90121e+06
23,1.90876e+06,1.74125e+06,1.74125e+06
24,1.74406e+06,1.71044e+06,1.71044e+06
25,1.73521e+06,1.73176e+06,1.71044e+06
26,1.76562e+06,1.75671e+06,1.71044e+06
27,1.71737e+06,1.70612e+06,1.70612e+06
28,1.71074e+06,1.69699e+06,1.69699e+06
29,1.71544e+06,1.71223e+06,1.69699e+06
30,1.70738e+06,1.69432e+06,1.69432e+06
31,1.70385e+06,1.70319e+06,1.69432e+06
32,1.70781e+06,1.70781e+06,1.69432e+06
33,1.72693e+06,1.7264e+06,1.69432e+06
34,1.78772e+06,1.765e+06,1.69432e+06
35,1.7318e+06,1.71703e+06,1.69432e+06
36,2.19549e+06,2.15868e+06,1.69432e+06
37,1.70237e+06,1.6816e+06,1.6816e+06
38,1.72538e+06,1.7038e+06,1.6816e+06
39,1.68711e+06,1.68279e+06,1.6816e+06
40,1.85398e+06,1.84459e+06,1.6816e+06
41,1.69217e+06,1.69217e+06,1.6816e+06
42,2.95095e+06,2.04789e+06,1.6816e+06
43,2.10893e+06,1.75359e+06,1.6816e+06
44,1.69028e+06,1.68651e+06,1.6816e+06
45,1.70843e+06,1.70748e+06,1.6816e+06
46,1.68586e+06,1.67604e+06,1.67604e+06
47,1.69181e+06,1.66682e+06,1.66682e+06
48,1.68959e+06,1.68674e+06,1.66682e+06
49,1.67752e+06,1.67752e+06,1.66682e+06
50,1.68316e+06,1.66843e+06,1.66682e+06
51,1.68258e+06,1.66474e+06,1.66474e+06
52,1.6796e+06,1.67e+06,1.66474e+06
53,1.73019e+06,1.70525e+06,1.66474e+06
54,1.67755e+06,1.65136e+06,1.65136e+06
55,1.66336e+06,1.65621e+06,1.65136e+06
56,1.68455e+06,1.63713e+06,1.63713e+06
57,1.64454e+06,1.64279e+06,1.63713e+06
58,1.65048e+06,1.64293e+06,1.63713e+06
59,1.66729e+06,1.65429e+06,1.63713e+06
60,1.68605e+06,1.67212e+06,1.63713e+06
61,1.66438e+06,1.65386e+06,1.63713e+06
62,2.02202e+06,2.00071e+06,1.63713e+06
63,1.64878e+06,1.64775e+06,1.63713e+06
64,1.64119e+06,1.6403e+06,1.63713e+06
65,2.06081e+06,2.02772e+06,1.63713e+06
66,1.63788e+06,1.63788e+06,1.63713e+06
67,1.66139e+06,1.63182e+06,1.63182e+06
68,1.65023e+06,1.64173e+06,1.63182e+06
69,1.79586e+06,1.78552e+06,1.63182e+06
70,2.53028e+06,2.08058e+06,1.63182e+06
71,1.74233e+06,1.73439e+06,1.63182e+06
72,1.64673e+06,1.64062e+06,1.63182e+06
73,2.02141e+06,1.97361e+06,1.63182e+06
74,1.99184e+06,1.74331e+06,1.63182e+06
75,1.72353e+06,1.70373e+06,1.63182e+06
76,1.75398e+06,1.73384e+06,1.63182e+06
77,1.6506e+06,1.6506e+06,1.63182e+06
78,1.68373e+06,1.67998e+06,1.63182e+06
79,1.63585e+06,1.63551e+06,1.63182e+06
80,1.63927e+06,1.62714e+06,1.62714e+06
81,1.7021e+06,1.69645e+06,1.62714e+06
82,1.85745e+06,1.85616e+06,1.62714e+06
83,1.63507e+06,1.63481e+06,1.62714e+06
84,1.79477e+06,1.76642e+06,1.62714e+06
85,1.69504e+06,1.65636e+06,1.62714e+06
86,1.63335e+06,1.63335e+06,1.62714e+06
87,1.64556e+06,1.64548e+06,1.62714e+06
88,1.64242e+06,1.6334e+06,1.62714e+06
89,2.03342e+06,2.00193e+06,1.62714e+06
90,1.63847e+06,1.63385e+06,1.62714e+06
91,2.02372e+06,1.98713e+06,1.62714e+06
92,1.77515e+06,1.62714e+06,1.62714e+06
93,1.64097e+06,1.63583e+06,1.62714e+06
94,2.03216e+06,1.99802e+06,1.62714e+06
95,1.71426e+06,1.68878e+06,1.62714e+06
