iteration,shaken,after_local_search,best
1,3.29682e+06,2.81402e+06,2.81402e+06
2,2.80866e+06,2.71048e+06,2.71048e+06
3,2.69944e+06,2.6798e+06,2.6798e+06
4,2.65285e+06,2.49682e+06,2.49682e+06
5,2.50216e+06,2.42676e+06,2.42676e+06
6,2.52798e+06,2.13905e+06,2.13905e+06
7,2.16093e+06,2.14434e+06,2.13905e+06
8,2.15191e+06,2.07261e+06,2.07261e+06
9,2.03573e+06,1.83934e+06,1.83934e+06
10,2.27235e+06,2.25448e+06,1.83934e+06
11,1.84091e+06,1.82435e+06,1.82435e+06
12,1.83506e+06,1.82493e+06,1.82435e+06
13,1.8621e+06,1.85894e+06,1.82435e+06
14,1.84335e+06,1.84332e+06,1.82435e+06
15,1.83207e+06,1.83207e+06,1.82435e+06
16,2.05921e+06,2.05631e+06,1.82435e+06
17,1.82371e+06,1.81512e+06,1.81512e+06
18,1.85588e+06,1.84329e+06,1.81512e+06
19,1.86798e+06,1.85794e+06,1.81512e+06
20,1.86008e+06,1.86008e+06,1.81512e+06
21,1.83943e+06,1.83943e+06,1.81512e+06
22,1.982e+06,1.87271e+06,1.81512e+06
23,1.85507e+06,1.85191e+06,1.81512e+06
24,1.83766e+06,1.82481e+06,1.81512e+06
25,2.24414e+06,2.23164e+06,1.81512e+06
26,1.87984e+06,1.8793e+06,1.81512e+06
27,1.83989e+06,1.8334e+06,1.81512e+06
28,1.82091e+06,1.81233e+06,1.81233e+06
29,1.8193e+06,1.81393e+06,1.81233e+06
30,1.82433e+06,1.82019e+06,1.81233e+06
31,1.81516e+06,1.81355e+06,1.81233e+06
32,1.81683e+06,1.81528e+06,1.81233e+06
33,1.8121e+06,1.8121e+06,1.8121e+06
34,1.8137e+06,1.80294e+06,1.80294e+06
35,2.22764e+06,2.22764e+06,1.80294e+06
36,1.80639e+06,1.80594e+06,1.80294e+06
37,1.87783e+06,1.84319e+06,1.80294e+06
38,1.82794e+06,1.82695e+06,1.80294e+06
39,1.82958e+06,1.82958e+06,1.80294e+06
40,1.79531e+06,1.79531e+06,1.79531e+06
41,1.80188e+06,1.79818e+06,1.79531e+06
42,1.98123e+06,1.9232e+06,1.79531e+06
43,1.80343e+06,1.80076e+06,1.79531e+06
44,1.81679e+06,1.81679e+06,1.79531e+06
45,1.9817e+06,1.78809e+06,1.78809e+06
46,1.78774e+06,1.78442e+06,1.78442e+06
47,1.81514e+06,1.81514e+06,1.78442e+06
48,2.30101e+06,2.27952e+06,1.78442e+06
49,1.82483e+06,1.82483e+06,1.78442e+06
50,1.8084e+06,1.8084e+06,1.78442e+06
51,1.84653e+06,1.8082e+06,1.78442e+06
52,1.78958e+06,1.78293e+06,1.78293e+06
53,1.78304e+06,1.77829e+06,1.77829e+06
54,1.78424e+06,1.78424e+06,1.77829e+06
55,2.25313e+06,2.24276e+06,1.77829e+06
56,1.78183e+06,1.78068e+06,1.77829e+06
57,1.78721e+06,1.7855e+06,1.77829e+06
58,1.79454e+06,1.7944e+06,1.77829e+06
59,1.84706e+06,1.82342e+06,1.77829e+06
60,1.83855e+06,1.83679e+06,1.77829e+06
61,1.8407e+06,1.83914e+06,1.77829e+06
62,1.77671e+06,1.75154e+06,1.75154e+06
63,1.75875e+06,1.75574e+06,1.75154e+06
64,1.76436e+06,1.76432e+06,1.75154e+06
65,2.26471e+06,2.25771e+06,1.75154e+06
66,1.77169e+06,1.77154e+06,1.75154e+06
67,2.22802e+06,2.22682e+06,1.75154e+06
68,1.83991e+06,1.83188e+06,1.75154e+06
69,1.75132e+06,1.75132e+06,1.75132e+06
70,1.78769e+06,1.7731e+06,1.75132e+06
71,2.21751e+06,2.21667e+06,1.75132e+06
72,1.80802e+06,1.80073e+06,1.75132e+06
73,1.7598e+06,1.75923e+06,1.75132e+06
74,2.29971e+06,2.20554e+06,1.75132e+06
75,2.23394e+06,2.21854e+06,1.75132e+06
76,2.2105e+06,2.19362e+06,1.75132e+06
77,1.75178e+06,1.75174e+06,1.75132e+06
78,1.79473e+06,1.79283e+06,1.75132e+06
79,1.75862e+06,1.75862e+06,1.75132e+06
80,1.78304e+06,1.70269e+06,1.70269e+06
81,1.73439e+06,1.7233e+06,1.70269e+06
82,1.82383e+06,1.79731e+06,1.70269e+06
83,2.59806e+06,2.16491e+06,1.70269e+06
84,1.74544e+06,1.74522e+06,1.70269e+06
85,2.28113e+06,2.28051e+06,1.70269e+06
86,1.70073e+06,1.70073e+06,1.70073e+06
