iteration,shaken,after_local_search,best
1,3.38212e+06,2.75702e+06,2.75702e+06
2,3.12334e+06,2.97751e+06,2.75702e+06
3,2.75511e+06,2.64374e+06,2.64374e+06
4,2.37645e+06,2.3182e+06,2.3182e+06
5,2.34215e+06,2.25968e+06,2.25968e+06
6,2.28318e+06,2.08367e+06,2.08367e+06
7,2.08783e+06,2.08403e+06,2.08367e+06
8,2.19162e+06,2.17219e+06,2.08367e+06
9,2.1172e+06,2.03529e+06,2.03529e+06
10,2.03657e+06,2.02985e+06,2.02985e+06
11,2.06348e+06,2.05199e+06,2.02985e+06
12,2.0884e+06,2.07961e+06,2.02985e+06
13,2.06421e+06,2.0461e+06,2.02985e+06
14,2.03897e+06,1.80245e+06,1.80245e+06
15,1.8232e+06,1.80903e+06,1.80245e+06
16,1.99191e+06,1.89504e+06,1.80245e+06
17,2.38091e+06,2.27456e+06,1.80245e+06
18,1.95422e+06,1.94314e+06,1.80245e+06
19,1.95975e+06,1.95441e+06,1.80245e+06
20,1.84783e+06,1.80775e+06,1.80245e+06
21,1.81524e+06,1.79867e+06,1.79867e+06
22,1.82173e+06,1.81984e+06,1.79867e+06
23,1.82182e+06,1.82065e+06,1.79867e+06
24,1.82774e+06,1.76493e+06,1.76493e+06
25,1.78165e+06,1.78053e+06,1.76493e+06
26,1.82121e+06,1.82121e+06,1.76493e+06
27,1.74586e+06,1.73323e+06,1.73323e+06
28,1.74421e+06,1.72552e+06,1.72552e+06
29,1.75302e+06,1.73944e+06,1.72552e+06
30,1.79501e+06,1.78682e+06,1.72552e+06
31,1.86543e+06,1.81162e+06,1.72552e+06
32,1.72477e+06,1.72187e+06,1.72187e+06
33,1.72433e+06,1.71455e+06,1.71455e+06
34,1.71241e+06,1.68432e+06,1.68432e+06
35,1.69254e+06,1.69254e+06,1.68432e+06
36,1.78862e+06,1.76965e+06,1.68432e+06
37,1.70094e+06,1.69762e+06,1.68432e+06
38,1.69169e+06,1.69169e+06,1.68432e+06
39,1.70182e+06,1.70053e+06,1.68432e+06
40,1.78751e+06,1.76275e+06,1.68432e+06
41,1.68901e+06,1.68901e+06,1.68432e+06
42,1.92603e+06,1.9243e+06,1.68432e+06
43,1.80779e+06,1.69887e+06,1.68432e+06
44,1.72652e+06,1.72652e+06,1.68432e+06
45,2.23866e+06,2.21632e+06,1.68432e+06
46,1.79096e+06,1.69828e+06,1.68432e+06
47,1.6926e+06,1.69237e+06,1.68432e+06
48,2.23207e+06,2.22622e+06,1.68432e+06
49,1.84544e+06,1.77333e+06,1.68432e+06
50,1.79864e+06,1.79864e+06,1.68432e+06
51,2.19774e+06,2.15688e+06,1.68432e+06
52,2.25178e+06,2.17634e+06,1.68432e+06
53,1.69952e+06,1.69588e+06,1.68432e+06
54,1.68362e+06,1.68294e+06,1.68294e+06
55,1.72016e+06,1.72016e+06,1.68294e+06
56,1.792e+06,1.75861e+06,1.68294e+06
57,1.83391e+06,1.75091e+06,1.68294e+06
58,1.74371e+06,1.69547e+06,1.68294e+06
59,1.69384e+06,1.6903e+06,1.68294e+06
60,1.74355e+06,1.73558e+06,1.68294e+06
61,1.68571e+06,1.68539e+06,1.68294e+06
62,2.32401e+06,2.2683e+06,1.68294e+06
63,1.69996e+06,1.67638e+06,1.67638e+06
64,1.69092e+06,1.68041e+06,1.67638e+06
65,1.79152e+06,1.78705e+06,1.67638e+06
66,1.68536e+06,1.6733e+06,1.6733e+06
67,2.09159e+06,1.79079e+06,1.6733e+06
68,1.68605e+06,1.68587e+06,1.6733e+06
69,1.8587e+06,1.85643e+06,1.6733e+06
70,1.68504e+06,1.68471e+06,1.6733e+06
71,1.74393e+06,1.74135e+06,1.6733e+06
