config_id,pop,gen_actual,tour,pm,px,bias,eval_budget,runs,best,avg,std,time_ms
1,277,360,2,0.4004,0.5180,0.7040,99997,10,1559753.8875,1565000.090,3928.597,873
2,30,3332,6,0.8556,0.8392,0.6462,99990,10,1559753.8875,1571314.151,17570.488,1189
3,76,1314,8,0.8394,0.6908,0.3974,99940,10,1559753.8875,1563935.733,4569.774,1142
4,252,395,12,0.8849,0.8246,0.7837,99792,10,1559753.8875,1565972.904,5286.861,1125
5,213,468,2,0.7128,0.6431,0.7301,99897,10,1562490.7625,1565821.494,1562.301,1003
6,138,723,15,0.9316,0.7986,0.5278,99912,10,1562714.6250,1574562.326,20371.778,1370
7,24,4165,10,0.8839,0.5329,0.4679,99984,10,1559753.8875,1572331.920,15174.491,1082
8,112,891,15,0.8643,0.8019,0.4726,99904,10,1561715.7500,1567924.611,5710.630,1347
9,15,6665,3,0.5365,0.5039,0.3982,99990,10,1560419.1250,1567365.173,5632.980,908
10,195,511,8,0.3240,0.7234,0.6368,99840,10,1559753.8875,1564982.526,3756.372,985
11,136,734,15,0.4009,0.8204,0.3656,99960,10,1563241.9375,1570593.165,8700.142,1118
12,269,370,6,0.3947,0.7471,0.3500,99799,10,1562701.8250,1565654.164,2120.824,1006
13,43,2324,7,0.3213,0.8812,0.5571,99975,10,1559753.8875,1568093.653,4709.179,1129
14,133,750,2,0.2951,0.8712,0.4242,99883,10,1565339.2000,1576221.736,9148.169,1139
15,215,464,13,0.5345,0.6034,0.7511,99975,10,1559753.8875,1569260.750,6114.715,918
16,179,557,8,0.5594,0.5996,0.7116,99882,10,1559753.8875,1564606.144,2459.984,923
17,258,386,2,0.1089,0.5717,0.6173,99846,10,1559926.9250,1567021.634,3789.097,806
18,139,718,2,0.4939,0.6753,0.6564,99941,10,1559753.8875,1564218.881,3987.514,987
19,165,605,8,0.4595,0.7080,0.6081,99990,10,1563241.9375,1568356.179,5147.013,1056
20,157,635,5,0.8985,0.5996,0.4689,99852,10,1559753.8875,1562998.539,2862.873,1160
21,129,774,4,0.4711,0.5627,0.4525,99975,10,1560851.8125,1566411.958,4235.209,956
22,8,12499,8,0.5260,0.5684,0.3483,100000,10,1559753.8875,1566878.623,6973.551,920
23,20,4999,15,0.2279,0.9287,0.7934,100000,10,1562714.6250,1571807.673,7164.967,917
24,269,370,6,0.2273,0.8279,0.4512,99799,10,1563241.9375,1565492.354,4249.275,1089
25,225,443,11,0.5238,0.7944,0.7111,99900,10,1561851.1500,1566218.653,5287.943,1048
26,171,583,4,0.8308,0.8273,0.6929,99864,10,1559753.8875,1561522.895,2364.004,1168
27,68,1469,14,0.7414,0.8189,0.3006,99960,10,1561851.1500,1567147.100,5134.942,1149
28,9,11110,9,0.7644,0.7468,0.5420,99999,10,1559753.8875,1563763.084,4633.048,1205
29,261,382,13,0.9106,0.6349,0.3728,99963,10,1559753.8875,1564622.493,3500.391,1169
30,130,768,14,0.3476,0.6230,0.3756,99970,10,1559753.8875,1568918.763,6561.375,948
31,279,357,15,0.3066,0.7605,0.7664,99882,10,1561744.0000,1569839.526,16241.293,924
32,277,360,4,0.3267,0.8452,0.3348,99997,10,1562714.6250,1568780.108,7586.965,1052
33,172,580,8,0.4056,0.8081,0.6521,99932,10,1559753.8875,1566309.566,4755.305,1058
34,12,8332,11,0.4730,0.9077,0.7098,99996,10,1563878.8500,1569900.228,6647.672,1081
35,78,1281,14,0.2710,0.9171,0.4097,99996,10,1562701.8250,1567458.546,6319.968,1153
36,217,459,3,0.5766,0.8013,0.3444,99820,10,1563990.6250,1568123.129,2984.184,1113
37,292,341,5,0.8608,0.9206,0.5589,99864,10,1559753.8875,1563480.505,4682.863,1387
38,195,511,8,0.5804,0.7635,0.6275,99840,10,1560851.8125,1565798.864,2909.720,1113
39,92,1085,7,0.6095,0.8531,0.7965,99912,10,1563241.9375,1569647.480,7401.980,995
40,300,332,5,0.3021,0.6558,0.5356,99900,10,1562416.3125,1564829.030,1715.788,994
41,120,832,13,0.3818,0.5823,0.3893,99960,10,1563241.9375,1572878.164,16341.356,945
42,109,916,4,0.5639,0.8771,0.6840,99953,10,1562714.6250,1568678.341,4789.234,1084
43,299,333,12,0.6741,0.6585,0.6200,99866,10,1562714.6250,1563754.683,1134.960,1101
44,295,337,12,0.6085,0.5178,0.6332,99710,10,1561851.1500,1568646.484,7391.963,967
45,278,358,3,0.6314,0.7467,0.3717,99802,10,1560589.2375,1565165.120,4253.102,1138
46,141,708,11,0.4056,0.6279,0.4079,99969,10,1563241.9375,1567844.835,5775.102,1008
47,139,718,3,0.8749,0.6715,0.4658,99941,10,1565147.7000,1571500.853,5720.267,1222
48,106,942,7,0.6359,0.5941,0.7738,99958,10,1562714.6250,1565417.304,3244.777,908
49,297,335,3,0.3312,0.5640,0.7962,99792,10,1562714.6250,1568422.808,5017.290,790
50,279,357,7,0.7545,0.9484,0.4085,99882,10,1559753.8875,1566036.628,6600.204,1453
51,170,587,7,0.2668,0.5657,0.3962,99960,10,1563241.9375,1566910.020,4010.153,902
52,276,361,4,0.1129,0.7334,0.6226,99912,10,1562714.6250,1567810.228,4947.406,937
53,202,494,15,0.2752,0.7908,0.4040,99990,10,1561851.1500,1569654.505,6449.365,1117
54,234,426,2,0.2323,0.8564,0.3162,99918,10,1569656.7250,1576455.103,4852.775,1124
55,216,461,5,0.2985,0.8621,0.3562,99792,10,1562535.7750,1564086.305,1460.015,1119
56,36,2776,3,0.8393,0.7929,0.4109,99972,10,1562140.7625,1570143.439,4789.515,1329
57,163,612,5,0.8772,0.7589,0.5646,99919,10,1559753.8875,1562780.385,3218.115,1322
58,11,9089,3,0.9473,0.8952,0.4516,99990,10,1570797.2375,1578163.625,3544.748,1384
59,217,459,6,0.2551,0.6949,0.6087,99820,10,1562701.8250,1567669.235,4609.303,950
60,5,19999,5,0.4113,0.7257,0.6195,100000,10,1559753.8875,1565860.273,3367.852,982
61,78,1281,10,0.5815,0.6257,0.3207,99996,10,1560851.8125,1568423.229,6590.008,960
62,158,631,5,0.3546,0.8436,0.6138,99856,10,1563241.9375,1566876.321,2401.519,1078
63,49,2039,2,0.4486,0.5267,0.7042,99960,10,1562094.0250,1567050.073,6420.821,790
64,234,426,6,0.9420,0.6921,0.5226,99918,10,1559753.8875,1561487.284,2422.533,1260
65,76,1314,15,0.2372,0.8667,0.7622,99940,10,1561851.1500,1574001.623,16276.115,940
66,117,853,4,0.4950,0.8621,0.4773,99918,10,1560390.8000,1564431.989,2764.171,1215
67,245,407,11,0.8227,0.6141,0.6906,99960,10,1559753.8875,1572026.145,16028.798,1062
68,282,353,5,0.7955,0.6199,0.6799,99828,10,1559753.8875,1562891.659,3164.509,1038
69,110,908,12,0.1654,0.8974,0.4615,99990,10,1562714.6250,1567435.676,5383.331,1126
70,207,482,11,0.1278,0.8107,0.4881,99981,10,1564781.3375,1573334.679,15117.793,1061
71,208,479,11,0.1852,0.6544,0.7392,99840,10,1564432.3125,1567675.296,3742.473,810
72,199,501,3,0.4037,0.5334,0.5155,99898,10,1559753.8875,1565280.903,3998.333,943
73,47,2126,2,0.2197,0.5666,0.3255,99969,10,1566536.7000,1593058.411,22735.467,752
74,39,2563,14,0.6968,0.7285,0.7649,99996,10,1563878.8500,1572380.618,6471.294,1023
75,243,410,14,0.2209,0.5083,0.4479,99873,10,1561079.0875,1569575.888,6304.718,877
76,297,335,8,0.3770,0.6086,0.7668,99792,10,1565833.7500,1572297.943,7116.855,833
77,233,428,2,0.7143,0.6079,0.7453,99957,10,1562416.3125,1566996.211,4253.748,984
78,183,545,11,0.7540,0.9493,0.6504,99918,10,1559753.8875,1565438.736,3274.155,1311
79,51,1959,7,0.7208,0.6355,0.4897,99960,10,1562714.6250,1567960.075,5948.340,1092
80,37,2701,13,0.3873,0.9358,0.5374,99974,10,1562714.6250,1568972.775,4060.759,1246
81,29,3447,15,0.7840,0.6726,0.7660,99992,10,1563241.9375,1569783.789,5340.821,1037
82,79,1264,15,0.6204,0.6721,0.7490,99935,10,1559753.8875,1573043.531,11236.843,1007
83,45,2221,14,0.9447,0.6215,0.5377,99990,10,1559753.8875,1574372.121,26098.172,1223
84,147,679,5,0.4723,0.7919,0.5786,99960,10,1562094.0250,1564532.243,1981.902,1117
85,254,392,15,0.6009,0.6373,0.4735,99822,10,1559753.8875,1567753.966,7836.212,1128
86,166,601,6,0.6195,0.5251,0.6308,99932,10,1559753.8875,1566313.099,5123.548,946
87,61,1638,14,0.6156,0.8129,0.5982,99979,10,1563241.9375,1571849.511,17756.221,1189
88,68,1469,8,0.1753,0.6043,0.3348,99960,10,1564339.8625,1569287.646,2780.513,800
89,84,1189,10,0.4272,0.7350,0.4438,99960,10,1563241.9375,1568522.553,3509.345,1068
90,78,1281,7,0.8034,0.6739,0.5114,99996,10,1559753.8875,1563772.246,4255.391,1163
91,117,853,15,0.2432,0.8362,0.4208,99918,10,1559753.8875,1566174.635,4016.606,1103
92,48,2082,7,0.6331,0.7866,0.3149,99984,10,1562701.8250,1566097.064,3944.189,1044
93,22,4544,12,0.5956,0.7402,0.4670,99990,10,1562345.7000,1572774.098,9112.474,1163
94,50,1999,15,0.2678,0.5947,0.7937,100000,10,1562714.6250,1568668.126,4663.891,778
95,195,511,10,0.8308,0.8733,0.6509,99840,10,1561715.7500,1567083.290,6445.889,1265
96,248,402,14,0.3344,0.5255,0.5048,99944,10,1559753.8875,1565643.579,2574.978,944
97,201,496,15,0.5018,0.6194,0.5913,99897,10,1559753.8875,1569148.203,8596.767,1048
98,168,594,8,0.6514,0.8554,0.4553,99960,10,1559753.8875,1564827.858,3656.318,1273
99,52,1922,10,0.1742,0.6017,0.6090,99996,10,1564564.7625,1576399.919,10588.638,842
100,132,756,9,0.4691,0.5241,0.4789,99924,10,1563241.9375,1566520.700,4840.773,952
