config_id,iter,rcl,ls_actual,eval_budget_approx,runs,best,avg,std,time_ms
1,608,1,163,99712,10,1.6066e+06,1619789.990,5666.897,303
2,883,2,112,99779,10,1.62876e+06,1642073.964,8012.936,381
3,773,1,128,99717,10,1.6097e+06,1621226.404,7373.532,305
4,794,4,124,99250,10,1.6727e+06,1693177.795,13665.254,381
5,396,6,251,99792,10,1.63434e+06,1689462.904,26412.563,338
6,133,2,750,99883,10,1.58591e+06,1594813.729,6533.387,317
7,996,4,99,99600,10,1.68248e+06,1708478.494,13929.254,397
8,769,5,129,99970,10,1.69789e+06,1723973.056,19538.030,379
9,172,1,580,99932,10,1.5742e+06,1584091.903,6176.876,302
10,579,5,171,99588,10,1.67009e+06,1696795.215,18608.429,362
11,358,5,278,99882,10,1.63074e+06,1665971.555,21540.205,335
12,209,4,477,99902,10,1.6089e+06,1623399.318,8969.424,323
13,87,1,1148,99963,10,1.5688e+06,1574086.238,2741.621,296
14,974,3,101,99348,10,1.66378e+06,1674517.123,8234.180,396
15,344,5,289,99760,10,1.63387e+06,1665339.140,13227.973,334
16,283,4,352,99899,10,1.61208e+06,1638367.846,17766.378,330
17,288,6,346,99936,10,1.59875e+06,1659038.469,25913.624,324
18,161,3,620,99981,10,1.59021e+06,1606757.474,12101.584,315
19,877,2,113,99978,10,1.62588e+06,1637785.966,9224.735,384
20,125,6,799,100000,10,1.5904e+06,1618870.574,13720.719,307
21,858,5,115,99528,10,1.69083e+06,1720110.829,19187.778,386
22,189,3,528,99981,10,1.59518e+06,1612559.184,11083.346,320
23,769,5,129,99970,10,1.68673e+06,1704858.694,12014.691,382
24,456,5,218,99864,10,1.65785e+06,1683854.110,22532.336,347
25,832,3,119,99840,10,1.6581e+06,1667150.030,10709.122,388
26,667,6,148,99383,10,1.67884e+06,1724682.988,19105.523,366
27,45,5,2221,99990,10,1.57084e+06,1578790.670,4626.411,293
28,232,1,430,99992,10,1.57969e+06,1593812.930,8464.433,301
29,252,2,395,99792,10,1.59209e+06,1607163.646,6869.229,331
30,600,3,165,99600,10,1.63478e+06,1653801.051,11791.409,364
31,259,1,385,99974,10,1.58873e+06,1593402.276,3160.165,299
32,106,5,942,99958,10,1.58731e+06,1600631.681,7824.011,306
33,884,6,112,99892,10,1.71432e+06,1745114.011,20108.410,391
34,756,4,131,99792,10,1.66345e+06,1699387.246,18804.591,378
35,322,5,309,99820,10,1.60972e+06,1657531.336,21853.087,330
36,828,4,119,99360,10,1.65831e+06,1694602.739,17115.449,384
37,136,4,734,99960,10,1.6004e+06,1608614.869,4643.888,312
38,505,4,197,99990,10,1.64602e+06,1673801.772,18462.150,355
39,376,6,264,99640,10,1.6518e+06,1686871.473,18389.525,338
40,704,1,141,99968,10,1.60878e+06,1619936.528,6394.967,304
41,609,6,163,99876,10,1.67432e+06,1718948.306,18187.385,364
42,451,2,220,99671,10,1.60685e+06,1624024.531,8454.852,352
43,258,3,386,99846,10,1.60679e+06,1622567.210,9590.225,329
44,797,1,124,99625,10,1.60167e+06,1614812.388,6318.295,309
