config_id,T0,cool,min_T,ipt,eval_budget,runs,best,avg,std,time_ms
1,562140.9,0.98894,2.42,14,100000,10,1563499.79,1575045.154,9804.222,75
2,465115.8,0.98699,7.65,10,100000,10,1565050.71,1578814.258,8437.094,61
3,479217.8,0.93258,10.44,7,100000,10,1612840.84,1707637.618,86811.492,5
4,225903.6,0.99727,14.89,15,100000,10,1559753.89,1562281.395,1747.412,253
5,270650.9,0.94116,8.13,8,100000,10,1629668.95,1717022.047,90722.153,9
6,444676.5,0.99735,6.63,2,100000,10,1570722.30,1591537.625,18305.233,46
7,530463.2,0.91536,7.40,20,100000,10,1612222.38,1661191.661,39440.937,12
8,527540.9,0.98950,1.94,14,100000,10,1559753.89,1577208.033,17552.842,76
9,498187.5,0.91558,5.77,17,100000,10,1583069.33,1643594.790,33483.357,31
10,77170.5,0.97520,18.82,16,100000,10,1568511.41,1591470.334,24963.276,27
11,538880.8,0.97926,2.36,15,100000,10,1564114.64,1584436.543,17438.128,42
12,618083.4,0.95706,4.69,10,100000,10,1584430.14,1635615.518,44595.404,12
13,388294.2,0.97591,19.21,3,100000,10,1606321.61,1696988.713,74715.726,5
14,336432.5,0.91337,19.27,10,100000,10,1627944.76,1721676.150,84443.854,5
15,610836.6,0.99901,2.00,6,100000,10,1559753.89,1561180.810,1930.862,361
16,92956.7,0.95388,9.23,6,100000,10,1624889.69,1696543.015,61707.287,5
17,760129.8,0.96790,5.78,13,100000,10,1584050.66,1609643.431,25902.719,22
18,542830.3,0.95850,8.88,12,100000,10,1586086.43,1640276.774,41248.628,14
19,128114.8,0.97705,7.46,5,100000,10,1589773.88,1620527.795,42085.881,10
20,199602.3,0.99908,10.84,8,100000,10,1559753.89,1561131.888,1719.427,393
21,157218.0,0.94417,14.51,11,100000,10,1581058.35,1645958.335,52911.922,8
22,697219.3,0.91111,7.02,14,100000,10,1620589.60,1697129.459,41066.467,8
23,244140.4,0.92401,16.34,8,100000,10,1639593.49,1716465.269,73058.204,4
24,556110.1,0.91194,1.71,8,100000,10,1653877.01,1728424.243,56705.939,5
25,540453.5,0.94474,0.42,3,100000,10,1650415.50,1765392.631,57229.996,3
26,552044.3,0.91605,19.33,20,100000,10,1588492.46,1633516.289,30920.437,11
27,257890.2,0.96210,18.43,4,100000,10,1641306.70,1714445.019,53648.340,4
28,170293.6,0.96789,5.67,6,100000,10,1601343.29,1649537.103,29063.367,8
29,166130.3,0.99827,2.91,17,100000,10,1559753.89,1560788.155,1553.229,455
30,567627.7,0.97763,6.15,20,100000,10,1562744.56,1585805.991,21839.905,47
31,462356.1,0.94916,18.84,8,100000,10,1600780.86,1673363.819,53980.966,7
32,169135.5,0.94389,13.05,8,100000,10,1609463.16,1676726.756,45106.304,6
33,285977.7,0.98514,7.23,19,100000,10,1559753.89,1567048.298,6670.386,61
34,29618.4,0.97464,12.33,3,100000,10,1620886.30,1770675.555,110490.576,4
35,251751.0,0.93623,8.34,4,100000,10,1668360.48,1795395.824,115895.260,2
36,745619.5,0.92276,6.55,5,100000,10,1724586.98,1874961.460,174419.814,3
37,582055.2,0.92170,15.48,9,100000,10,1616654.43,1687683.399,70388.278,5
38,423556.1,0.96984,0.36,14,100000,10,1568684.83,1586239.434,14852.098,28
39,152274.5,0.97394,18.87,4,100000,10,1611186.93,1684873.353,51726.416,6
40,700082.7,0.96225,12.22,3,100000,10,1647726.65,1742031.940,43966.865,4
41,610724.2,0.95779,12.30,18,100000,10,1578465.58,1606341.838,21803.901,20
42,419756.2,0.95880,4.66,19,100000,10,1568368.55,1593265.188,24716.885,23
43,50006.1,0.96478,4.90,13,100000,10,1580628.08,1627252.766,45175.163,15
44,531067.4,0.94660,3.81,15,100000,10,1576766.60,1618049.351,33295.151,14
45,632728.3,0.98513,18.49,6,100000,10,1587889.68,1611036.601,13786.373,19
46,418715.4,0.95350,10.51,15,100000,10,1575480.43,1628602.719,32073.726,15
47,747596.1,0.99935,0.94,13,100000,10,1590876.49,1599806.995,6476.041,474
48,774573.3,0.92130,12.68,2,100000,10,1741126.38,2006632.254,174635.787,1
49,461857.6,0.94230,11.47,8,100000,10,1603453.78,1679578.896,43655.328,6
50,598675.4,0.92820,3.37,6,100000,10,1616986.15,1765438.150,117951.055,4
51,672926.6,0.92667,11.03,11,100000,10,1615175.03,1680522.671,59060.029,7
52,478607.3,0.93694,11.59,6,100000,10,1654569.34,1782403.434,89946.725,4
53,344993.4,0.91136,18.80,13,100000,10,1629096.08,1690675.076,43705.154,6
54,214468.0,0.92847,8.44,8,100000,10,1634899.11,1704309.974,50351.807,6
55,92836.3,0.96663,12.41,3,100000,10,1601898.83,1758169.010,119953.380,3
56,552292.4,0.94475,19.11,20,100000,10,1578589.55,1619699.216,30481.492,17
57,473522.2,0.96115,18.58,11,100000,10,1577718.54,1636613.906,32517.619,13
58,640171.9,0.93955,17.00,9,100000,10,1631369.79,1687488.454,54918.057,7
59,512125.2,0.92197,17.36,15,100000,10,1601168.46,1654972.964,47949.705,8
60,502039.4,0.96477,3.66,11,100000,10,1578168.75,1622734.789,21170.396,17
61,237181.9,0.97427,12.06,19,100000,10,1563012.25,1584170.626,20026.710,33
62,674791.7,0.93751,15.16,14,100000,10,1595319.28,1641229.955,23533.438,10
63,361199.7,0.96021,5.36,9,100000,10,1587405.19,1631433.698,33790.314,11
64,643624.0,0.99871,16.03,16,100000,10,1559753.89,1562229.251,2139.207,466
65,573061.7,0.98314,14.04,15,100000,10,1565669.56,1589842.393,23561.817,43
66,767352.4,0.92091,10.79,1,100000,10,1929417.00,2422624.263,422898.180,0
67,580881.9,0.99482,4.89,2,100000,10,1576102.94,1618119.890,38057.409,20
68,625776.2,0.95883,3.80,10,100000,10,1575614.96,1605400.345,26635.247,13
69,235651.2,0.96806,4.13,12,100000,10,1575764.83,1612432.993,21790.010,18
70,30752.6,0.92420,7.05,17,100000,10,1584545.05,1620723.384,28659.765,8
71,611224.8,0.91204,17.25,7,100000,10,1685327.69,1792465.609,82940.987,3
72,48577.0,0.98525,5.05,2,100000,10,1624919.56,1695786.005,64051.187,6
73,685212.6,0.94373,17.26,3,100000,10,1710162.02,1851558.718,81179.349,2
74,792093.1,0.95022,9.31,20,100000,10,1582638.04,1616358.093,21138.030,20
75,195406.2,0.93162,6.72,15,100000,10,1591920.20,1646151.776,36222.977,10
76,319700.3,0.94808,19.34,6,100000,10,1632940.40,1709984.374,61058.298,5
77,472633.2,0.90788,2.13,6,100000,10,1596793.34,1763857.971,119656.201,3
78,121135.5,0.96738,1.15,12,100000,10,1567315.68,1596729.751,15246.984,19
79,634833.2,0.94795,19.51,12,100000,10,1593022.48,1654175.798,45036.569,11
80,210263.5,0.98462,16.57,16,100000,10,1566881.45,1574258.054,10089.526,45
81,603162.0,0.90547,12.89,8,100000,10,1624346.03,1712308.755,88931.442,4
82,396291.1,0.90496,11.56,19,100000,10,1599372.44,1659860.571,47522.053,9
83,495626.8,0.98473,7.47,4,100000,10,1588791.18,1637823.979,49428.034,13
84,268871.5,0.97882,6.46,2,100000,10,1611497.03,1695312.854,98723.400,4
85,5848.1,0.97904,2.66,1,100000,10,1775876.59,1874510.555,73200.970,1
86,23355.2,0.94002,10.19,8,100000,10,1664175.38,1736448.344,69897.426,4
87,681586.2,0.95918,6.44,12,100000,10,1591844.89,1616574.590,21143.993,15
88,299061.1,0.93055,14.26,13,100000,10,1594089.89,1633509.576,25417.695,8
89,681602.4,0.92695,16.11,4,100000,10,1681102.81,1856620.158,138193.647,2
90,171846.3,0.92734,7.53,5,100000,10,1645543.63,1782606.695,102747.225,3
91,462154.2,0.99385,7.61,5,100000,10,1559753.89,1586938.134,21809.740,42
92,474543.9,0.91675,14.97,5,100000,10,1706866.60,1859862.238,84786.250,2
93,675845.4,0.95701,15.95,11,100000,10,1621438.66,1654154.135,30492.349,12
94,491902.9,0.91221,14.16,8,100000,10,1629213.14,1768525.431,98990.422,4
95,333230.5,0.93414,14.79,2,100000,10,1745520.00,2160400.520,423545.649,1
96,484880.7,0.99247,3.35,2,100000,10,1569637.33,1617819.246,40251.243,14
97,389181.3,0.90171,12.06,13,100000,10,1591378.93,1674283.666,57499.254,6
98,561144.4,0.97969,12.86,19,100000,10,1562311.40,1579782.086,14310.833,46
99,394845.9,0.91797,12.43,10,100000,10,1612052.76,1714623.674,120260.487,5
100,581614.2,0.92850,1.89,2,100000,10,1725701.16,2022595.936,249505.703,1
