config_id,iter,shake,ls_actual,eval_budget_approx,runs,best,avg,std,time_ms
1,653,14,139,99909,10,1.55975e+06,1563570.223,3408.886,847
2,1000,11,89,100000,10,1.56108e+06,1571063.304,15764.887,838
3,488,9,195,99552,10,1.55975e+06,1562066.358,3047.902,877
4,422,3,233,99592,10,1.55975e+06,1562667.410,2877.403,904
5,212,7,464,99852,10,1.55975e+06,1561389.809,1833.428,943
6,98,12,1008,99960,10,1.55975e+06,1560715.174,1234.138,954
7,230,13,421,99820,10,1.55975e+06,1561807.176,3364.430,909
8,781,5,123,99968,10,1.55975e+06,1565112.834,5958.164,898
9,663,9,141,99450,10,1.55975e+06,1562846.883,2144.521,881
10,24,15,4151,99984,10,1.55975e+06,1560756.159,1280.401,621
11,777,9,119,99456,10,1.55975e+06,1563292.891,2253.021,875
12,268,10,363,99964,10,1.55975e+06,1562455.336,2110.147,899
13,289,15,331,99994,10,1.55975e+06,1563233.200,5004.798,882
14,989,13,88,99889,10,1.56032e+06,1564471.038,2773.422,840
15,915,13,96,99735,10,1.55975e+06,1562531.489,2141.875,864
16,133,4,747,99883,10,1.55975e+06,1561774.018,2741.478,954
17,798,10,115,99750,10,1.55975e+06,1563795.444,3117.587,891
18,580,10,162,99760,10,1.55975e+06,1566524.600,5816.786,877
19,110,1,908,99990,10,1.55975e+06,1561102.953,2311.710,926
20,605,2,163,99825,10,1.55975e+06,1563523.084,4074.582,916
21,748,6,127,99484,10,1.55975e+06,1563207.070,3191.589,925
22,399,8,242,99750,10,1.55975e+06,1563432.053,3859.566,886
23,541,12,172,99544,10,1.55993e+06,1563482.168,4408.406,875
24,608,3,161,99712,10,1.55975e+06,1564293.969,4722.031,978
25,2,10,49990,100000,10,1.55975e+06,1565095.469,5005.782,103
26,287,14,334,99876,10,1.55975e+06,1561239.851,1217.746,884
27,137,4,725,99873,10,1.55975e+06,1560960.934,1296.563,915
28,998,10,90,99800,10,1.56085e+06,1566309.774,5255.863,844
29,76,1,1314,99940,10,1.55975e+06,1559753.888,0.000,934
30,55,15,1803,99990,10,1.55975e+06,1560634.925,2300.545,867
31,346,8,281,99994,10,1.55975e+06,1563733.223,4225.218,888
32,60,9,1657,99960,10,1.55975e+06,1560959.913,1540.107,899
33,707,10,131,99687,10,1.55975e+06,1562442.695,2346.198,861
34,928,2,105,99296,10,1.55975e+06,1563453.920,3636.908,918
35,35,2,2855,99995,10,1.55975e+06,1560123.026,746.801,884
36,857,1,115,99412,10,1.55975e+06,1564530.223,6558.421,1052
37,341,10,283,99913,10,1.55975e+06,1563602.186,6628.368,901
38,441,7,219,99666,10,1.55975e+06,1565569.923,5498.872,958
39,699,6,137,99957,10,1.55975e+06,1563806.533,5359.004,915
40,852,1,116,99684,10,1.55975e+06,1564819.324,3229.507,926
41,233,2,427,99957,10,1.55975e+06,1560563.905,1405.132,919
42,541,11,173,99544,10,1.55975e+06,1566318.884,5400.525,865
43,389,13,244,99973,10,1.55975e+06,1562859.095,4188.802,878
44,590,7,162,99710,10,1.55975e+06,1562170.773,1530.428,890
45,83,2,1202,99932,10,1.55975e+06,1562909.135,2334.284,919
46,176,4,564,99968,10,1.55975e+06,1562337.399,3691.814,913
47,945,10,95,99225,10,1.55975e+06,1564353.035,3375.949,850
48,599,1,165,99434,10,1.56117e+06,1564004.686,3856.199,917
49,16,2,6248,100000,10,1.55975e+06,1560780.299,1377.718,482
50,449,11,211,99678,10,1.55975e+06,1561468.305,2417.198,883
51,848,9,108,99216,10,1.56271e+06,1566238.255,4370.916,863
52,298,5,330,99830,10,1.55975e+06,1563180.690,4579.796,911
53,556,14,165,99524,10,1.56085e+06,1565066.259,4964.890,848
54,468,3,210,99684,10,1.55975e+06,1562560.869,2308.559,908
55,959,15,89,99736,10,1.56185e+06,1568288.713,6447.226,809
56,671,12,137,99979,10,1.55975e+06,1562590.280,1785.577,857
57,924,9,99,99792,10,1.55981e+06,1563635.788,2420.114,870
58,380,15,248,99940,10,1.55975e+06,1562889.160,4560.850,871
59,248,7,396,99944,10,1.55975e+06,1562658.575,2494.641,904
60,360,13,264,99720,10,1.55975e+06,1563864.110,5721.379,887
61,512,9,186,99840,10,1.55975e+06,1561641.800,1731.981,884
62,148,7,668,99900,10,1.55975e+06,1561686.771,2307.023,919
63,615,10,152,99630,10,1.55975e+06,1563884.370,5675.129,873
64,245,15,393,99960,10,1.55975e+06,1561516.668,1473.122,894
65,391,12,243,99705,10,1.55975e+06,1563751.608,4325.803,873
66,15,15,6651,99990,10,1.55975e+06,1561726.070,1340.142,430
67,530,6,182,99640,10,1.55975e+06,1562340.691,1578.022,897
68,459,8,209,99603,10,1.56004e+06,1564110.263,3257.474,891
69,195,15,497,99840,10,1.55975e+06,1563450.054,3987.670,896
70,878,9,104,99214,10,1.55975e+06,1562361.153,1805.380,867
71,969,2,101,99807,10,1.55975e+06,1566780.085,5696.832,928
72,388,7,250,99716,10,1.55975e+06,1565711.943,6162.734,892
73,104,12,949,99944,10,1.55975e+06,1561910.009,1840.907,915
74,552,11,170,99912,10,1.55975e+06,1563536.223,2002.745,872
75,798,10,115,99750,10,1.56024e+06,1565246.686,3896.802,868
76,176,1,567,99968,10,1.55975e+06,1562386.818,2626.257,917
77,688,11,134,99760,10,1.55975e+06,1565408.634,5422.768,860
78,64,1,1561,99968,10,1.55975e+06,1561482.971,2238.508,909
79,302,6,325,99962,10,1.55975e+06,1564047.701,4359.188,911
80,741,1,133,99294,10,1.55975e+06,1564290.233,4858.158,914
81,535,2,184,99510,10,1.55975e+06,1564488.949,3453.002,908
82,754,5,127,99528,10,1.55975e+06,1563306.896,2694.046,894
83,483,15,192,99981,10,1.55975e+06,1564673.728,5156.817,864
84,388,2,255,99716,10,1.55975e+06,1564500.013,4590.074,914
85,480,8,200,99840,10,1.55975e+06,1563881.368,4904.504,880
86,288,15,332,99936,10,1.55975e+06,1562855.224,3687.562,871
87,176,3,565,99968,10,1.55975e+06,1560542.655,1273.375,924
88,156,6,635,99996,10,1.55975e+06,1561709.316,1872.438,914
89,774,3,126,99846,10,1.55975e+06,1563734.678,4064.364,914
90,836,13,106,99484,10,1.5627e+06,1565337.741,3485.653,840
91,974,11,91,99348,10,1.55975e+06,1564939.498,5890.778,849
92,775,11,118,99975,10,1.55993e+06,1564273.971,3799.803,862
93,622,13,147,99520,10,1.56006e+06,1562846.461,3448.320,857
94,734,14,122,99824,10,1.56032e+06,1564827.513,3732.997,841
95,553,8,172,99540,10,1.55975e+06,1567487.300,7177.597,877
96,573,14,160,99702,10,1.55975e+06,1565213.271,6605.815,853
97,419,11,227,99722,10,1.55975e+06,1564683.420,5488.766,875
98,180,2,553,99900,10,1.55975e+06,1561323.823,1861.661,910
99,560,7,171,99680,10,1.55975e+06,1564264.991,4771.192,883
100,824,14,107,99704,10,1.55975e+06,1562402.518,2713.290,836
